Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Prinsius martinii	Placozygus sigmoides	Ericsonia subpertusa	Ericsonia cava	Ellipsolithus bollii	Cruciplacolithus tenuis	Cruciplacolithus primus	Chiasmolithus danicus	Prinsius tenuiculum	Neochiastozygus modestus	Chiasmolithus edentulus	Praeprinsius tenuiculus	Ellipsolithus macellus	Chiastozygus ultimus	Neocrepidolithus neocrassus	Neochiastozygus imbriei	Lanternithus duocavus	Prinsius bisulcus	Neochiastozygus saepes	Chiasmolithus edwardsii	Chiasmolithus bidens	Sphenolithus primus	Bomolithus elegans	Ericsonia robusta	Cruciplacolithus edwardsii	Chiastozygus tenuis	Braarudosphaera bigelowii	Fasciculithus ulii	Fasciculithus tympaniformis	Fasciculithus pileatus	Chiasmolithus consuetus	Fasciculithus stonehengei	Toweius pertusus	Thoracosphaera spp.	Heliolithus cantabriae	Sphenolithus anarrhopus	Heliolithus kleinpellii	Toweius eminens	Discoaster bramlettei	Heliolithus riedelii	Discoaster nobilis	Discoaster mohleri	Markalius inversus	Fasciculithus involutus	Ellipsolithus distichus	Toweius tovae	Discoaster multiradiatus	Heliolithus floris	Fasciculithus aubertae	Campylosphaera eodela	Tribrachiatus bramlettei	Rhomboaster cuspis	Discoaster diastypus	Discoaster salisburgensis	Rhomboaster bramlettei	Lophodolithus nascens	Tribrachiatus contortus	Tribrachiatus digitalis	Tribrachiatus orthostylus	Sphenolithus editus	Sphenolithus radians	Sphenolithus orphanknollensis	Discoaster lodoensis	Chiasmolithus solitus	Discoaster lenticularis	Discoaster kuepperi	Transversopontis pulcher	Toweius magnicrassus	Toweius gammation	Lophodolithus mochlophorus	Ericsonia formosa	Toweius crassus	Zygrhablithus bijugatus	Helicosphaera seminulum	Helicosphaera lophota	Discoaster sublodoensis	Coccolithus pelagicus	Campylosphaera dela	Reticulofenestra dictyoda	Chiasmolithus expansus	Rhabdosphaera inflata	Discoaster barbadiensis	Coccolithus eopelagicus	Pseudotriquetrorhabdulus inversus	Discoaster strictus	Neococcolithes dubius	Nannotetrina fulgens	Chiasmolithus grandis	Discoaster saipanensis	Chiasmolithus gigas	Sphenolithus furcatolithoides	Neococcolithes minutus	Lanternithus minutus	Nannotetrina quadrata	Nannotetrina pappii	Sphenolithus spiniger	Reticulofenestra umbilica	Discoaster bifax	Pemma papillatum	Cribrocentrum reticulatum	Ericsonia obruta	Helicosphaera compacta	Sphenolithus predistentus	Discoaster tanii	Dictyococcites bisectus	Bramletteius serraculoides	Discoaster nodifer	Comment

  IR	                 	Middle Eocene    	                  	CP13          	171	1051	A	 38	X	 3	  67.00	    354.0700	Mita     	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	C                        	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	R                    	                       	                   	                        	                    	                 	                          	R                	               	R                      	                       	                     	                       	                     	R                  	F                        	R                     	                     	R                      	R                      	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	no  R.inflata

  IR	                 	Middle Eocene    	                  	CP12b         	171	1051	A	 38	X	 4	  66.00	    355.5600	Mita     	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	C                        	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	R                   	                             	                    	R                    	                       	                   	                        	                    	                 	                          	R                	               	R                      	                       	                     	                       	                     	                   	R                        	R                     	R                    	R                      	R                      	                                 	                   	R                    	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	L.O of R.inflata

  IR	                 	Middle Eocene    	                  	CP12b         	171	1051	A	 38	X	CC	  26.00	    359.8100	Watkins  	Nannofossils                                 	C              	P                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	+                      	                     	                   	                         	+                     	+                    	+                      	                       	+                                	+                  	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP12b         	171	1051	A	 39	X	CC	  35.00	    369.7200	Watkins  	Nannofossils                                 	F              	P                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	+                      	                     	                   	                         	                      	+                    	+                      	                       	+                                	+                  	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP12          	171	1051	A	 40	X	CC	  38.00	    377.1800	Mita     	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	R                	                          	F                	               	                       	                       	                     	                       	R                    	R                  	F                        	R                     	R                    	R                      	R                      	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	F.O of R.inflata

  IR	                 	Early Eocene     	                  	CP12          	171	1051	A	 41	X	 1	  51.00	    379.8100	Mita     	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	C                        	                  	                           	                      	R                      	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	R                   	                             	R                   	                     	                       	                   	                        	                    	                 	                          	R                	               	                       	R                      	                     	                       	R                    	R                  	F                        	R                     	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	no R.inflata

  IR	                 	Early Eocene     	                  	CP12a         	171	1051	A	 41	X	CC	  16.00	    380.5800	Watkins  	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	+                   	                             	+                   	+                    	                       	+                  	+                       	                    	+                	                          	+                	+              	+                      	+                      	+                    	+                      	+                    	+                  	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Early Eocene     	                  	CP11          	171	1051	A	 42	X	 1	  65.00	    390.5500	Watkins  	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	+                        	                   	                    	                             	+                   	                     	                       	                   	                        	                    	                 	                          	                 	+              	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Early Eocene     	                  	CP11          	171	1051	A	 42	X	 3	  68.00	    393.5800	Watkins  	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	+                        	                   	                    	                             	+                   	                     	                       	                   	                        	                    	                 	                          	                 	+              	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Early Eocene     	                  	CP11          	171	1051	A	 42	X	CC	  38.00	    399.7900	Watkins  	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	+                        	                   	                    	+                            	+                   	                     	                       	                   	                        	                    	                 	                          	                 	+              	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP11          	171	1051	A	 43	X	CC	  47.00	    409.4600	Watkins  	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	+                        	                   	                    	                             	+                   	                     	                       	+                  	                        	                    	                 	                          	                 	+              	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP11          	171	1051	A	 44	X	CC	  42.00	    418.9700	Watkins  	Nannofossils                                 	C              	P                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	F                        	                   	                    	F                            	R                   	                     	                       	F                  	                        	                    	R                	                          	                 	+              	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Early Eocene     	                  	CP10          	171	1051	A	 45	X	CC	  41.00	    428.5800	Watkins  	Nannofossils                                 	C              	P                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	R                    	                       	                       	F                        	                   	                    	                             	R                   	                     	                       	R                  	R                       	F                   	R                	R                         	C                	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Early Eocene     	                  	CP9b          	171	1051	A	 46	X	 2	  67.00	    430.4700	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	R                    	                       	                       	F                        	                   	                    	                             	                    	                     	R                      	R                  	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	No D. lodoensis

  IR	                 	Early Eocene     	                  	CP11          	171	1051	A	 46	X	 6	  70.00	    436.5000	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	F                        	                   	F                   	R                            	R                   	R                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	Subzone CP11a

  IR	                 	Early Eocene     	                  	CP9b          	171	1051	A	 46	X	CC	  33.00	    438.1600	Watkins  	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	+                        	                      	                     	                       	+                      	+                        	+                  	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Early Eocene     	                  	CP9b          	171	1051	A	 48	X	CC	  52.00	    457.3000	Watkins  	Nannofossils                                 	C              	P                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	+                       	                  	                      	                     	                        	                  	+                   	+                        	                      	                     	                       	+                      	+                        	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Early Eocene     	                  	CP9a          	171	1051	A	 49	X	 1	  66.00	    457.7600	Watkins  	Nannofossils                                 	A              	P                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	R                       	                  	                      	                     	                        	                  	                    	R                        	                      	                     	R                      	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	No D. lodoensis
