Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Xitus spp.,Tricolocapsa sp. B,Tricolocapsa sp. A,Nassellaria taxa (cryptocephalic and cryptothoracic),Holocryptocanium barbui,Eusyringium sp. A,Cyrtocapsa (?) sp. aff. C. pseudacerra,Cyrtocapsa (?) sp. A,Cryptamphorella sp. A,Archaeodictyomitra spp. (slender group),Archaeodictyomitra brouweri var. alpha,Archaeodictyomitra brouweri s.l.,Tripocalpis laboriosus,Spongocapsula (?) sp. A,Sethocapsa sp. B,Sethocapsa sp. A,Cryptamphorella sp. aff. C. macropora,Archaeodictyomitra sp. A,Archaeodictyomitra brouweri typica,Archaeodictyomitra brouweri gamma,Archaeodictyomitra aff. A. apiarium,Spongocapsula (?) sp. B,Sethocapsa orca,Ristola sp. A,Praeconocaryomma (?) sp. A,Parvicingula sp. E,Parvicingula sp. A,Paronaella (?) sp. A,Paronaella spp.,Pantanellium squinaboli cantuchapai,Eusyringium sp. B,Eucyrtis hanni,Cenosphaera spp.,Acaeniotyle (?) sp. A,Sethocapsa spp.,Pseudoeucyrtis sp. A,Podocapsa amphitreptera,Parvicingula sp. B,Napora spp.,Angulobracchia (?) sp. A,Sethocapsa dorysphaeroides,Patellula sp. A,Parvicingula sp. D,Pantanellium squinaboli squinaboli,Obesacapsula verbana,Crucella spp.,Pseudoeucyrtis sp. C,Tricolocapsa spp.,Sethocapsa leiostraca,Praeconocaryomma spp.,Parvicingula sphaerica,Eucyrtis micropora,Cryptamphorella spp.,Angulobracchia spp.,Acaeniotyle umbilicata,Parvicingula sp. C,Orbiculiforma spp.,Sethocapsa cetia,Pseudoeucyrtis sp. B,Praeconocaryomma sp. aff. P. prisca,Podocapsa sp. A,Eusyringium sp. C,Eusyringium sp. D,Crucella sp. aff. C. espartoensis,Acaeniotyle diaphorogona,Cecrops septemporatus,Angulobracchia (?)  media,Amphipyndax mediocris,Alievium helenae,Acanthocircus trizonalis,Stichocapsa perspicua,Mirifusus chenodes,Histiastrum cruciferum,Cyclastrum infundibuliforme,Triactoma echiodes,Lithatractus pusillus,Parvicingulid sp. A,Eucyrtis columbaria,Petasiforma sp.,Parvicingulid sp. B,Stephanastrum orbiculare,Orbiculiforma railensis,Eucyrtis tenuis,Cyclastrum sp. A,Acanthocircus trizonalis dicranacanthos,Parvicingulid sp. C,Pseudodictyomitra lilyae,Stephanastrum inflexum,Spongotripus trigonus,Parvicingula malleola,Crucella cachensis,Foremanella diamphidia hipposidericus,Foremanella diamphidia diamphidia,Parvicingulid sp. D,Vitorfus brustolensis,Cyrtocapsa grutterinki,Comment
  SR,                 ,                 ,                  ,              ,123, 765,C, 52,R, 1,  86.00,    835.3600,Baumgartner,Radiolarians                                 ,A              ,M                 ,R         ,                  ,                  ,A                                                   ,                       ,F                ,                                      ,                    ,                     ,R                                      ,                                      ,R                               ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,              ,R               ,                     ,               ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,R            ,                    ,                 ,                     ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,                  ,                ,                    ,                                   ,               ,                 ,A                ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,R                  ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 52,R, 2,  66.00,    836.6600,Baumgartner,Radiolarians                                 ,A              ,M                 ,          ,                  ,                  ,                                                    ,                       ,                 ,                                      ,                    ,                     ,                                       ,                                      ,                                ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,              ,                ,                     ,               ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,             ,                    ,                 ,                     ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,                  ,                ,                    ,                                   ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,F                    ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Tables 1 & 2 pp 304-305 & taxonomy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 52,R, 2,  68.00,    836.6800,Baumgartner,Radiolarians                                 ,A              ,M                 ,          ,                  ,                  ,C                                                   ,                       ,F                ,                                      ,                    ,                     ,R                                      ,R                                     ,                                ,                      ,                       ,                ,F               ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,R              ,                                   ,                 ,              ,F               ,                     ,C              ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,R                                 ,                    ,             ,                    ,F                ,                     ,                     ,                      ,                  ,                    ,R                  ,R                     ,                  ,R                 ,                ,                    ,R                                  ,               ,F                ,A                ,R                                ,VR                      ,                     ,R                        ,                     ,                ,                        ,                     ,                  ,VR                    ,                           ,                  ,                     ,R                  ,R                  ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 52,R, 3,  57.00,    838.0700,Baumgartner,Radiolarians                                 ,A              ,G                 ,F         ,                  ,                  ,A                                                   ,                       ,F                ,                                      ,                    ,                     ,R                                      ,                                      ,R                               ,R                     ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,              ,R               ,                     ,F              ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,R            ,                    ,                 ,R                    ,                     ,                      ,                  ,                    ,R                  ,                      ,                  ,                  ,                ,                    ,                                   ,               ,F                ,A                ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,VR                ,F                    ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Tables 1 & 2 pp 304-305 & taxonomy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 53,R, 1,  93.00,    845.0300,Baumgartner,Radiolarians                                 ,A              ,G                 ,F         ,                  ,                  ,A                                                   ,                       ,F                ,                                      ,                    ,                     ,R                                      ,                                      ,                                ,R                     ,                       ,                ,                ,                                     ,                        ,R                                 ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,R              ,                                   ,                 ,              ,                ,                     ,R              ,                    ,                       ,                  ,           ,                        ,R                         ,               ,                  ,                                  ,                    ,R            ,                    ,                 ,                     ,                     ,                      ,                  ,                    ,R                  ,R                     ,                  ,R                 ,                ,                    ,F                                  ,               ,A                ,A                ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,R                    ,R                 ,VR                    ,R                          ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 53,R, 2, 102.00,    846.6200,Baumgartner,Radiolarians                                 ,A              ,G                 ,          ,                  ,                  ,F                                                   ,                       ,                 ,                                      ,                    ,                     ,R                                      ,                                      ,                                ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,R              ,                                   ,                 ,              ,                ,                     ,               ,                    ,                       ,                  ,R          ,                        ,                          ,               ,                  ,R                                 ,                    ,R            ,                    ,                 ,                     ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,R                 ,                ,                    ,                                   ,               ,C                ,R                ,R                                ,R                       ,F                    ,R                        ,R                    ,F               ,VR                      ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Tables 1 & 2 pp 304-305 & taxonomy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 53,R, 5,  67.00,    850.7700,Baumgartner,Radiolarians                                 ,A              ,G                 ,          ,                  ,                  ,C                                                   ,                       ,R                ,                                      ,                    ,                     ,                                       ,                                      ,                                ,                      ,                       ,                ,R               ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,R              ,R                                  ,                 ,              ,                ,                     ,F              ,                    ,                       ,R                 ,           ,                        ,                          ,               ,                  ,R                                 ,                    ,R            ,F                   ,                 ,R                    ,                     ,                      ,VR                ,                    ,R                  ,                      ,                  ,                  ,                ,                    ,R                                  ,R              ,A                ,R                ,VR                               ,R                       ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 54,R, 1, 127.00,    854.7700,Baumgartner,Radiolarians                                 ,C              ,M                 ,R         ,                  ,                  ,A                                                   ,                       ,C                ,                                      ,                    ,                     ,F                                      ,                                      ,F                               ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,              ,                ,                     ,F              ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,             ,                    ,                 ,                     ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,                  ,                ,                    ,                                   ,               ,F                ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 54,R, 3,  41.00,    856.9100,Baumgartner,Radiolarians                                 ,A              ,G                 ,R         ,                  ,                  ,A                                                   ,                       ,F                ,                                      ,                    ,                     ,R                                      ,R                                     ,F                               ,R                     ,R                      ,                ,                ,                                     ,                        ,                                  ,R                                ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,              ,                ,                     ,F              ,                    ,                       ,F                 ,           ,                        ,                          ,               ,                  ,                                  ,                    ,             ,R                   ,                 ,F                    ,                     ,                      ,                  ,                    ,R                  ,                      ,                  ,                  ,                ,A                   ,F                                  ,F              ,R                ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 54,R, 4,  21.00,    858.2100,Baumgartner,Radiolarians                                 ,A              ,G                 ,R         ,                  ,                  ,R                                                   ,                       ,F                ,                                      ,                    ,                     ,                                       ,                                      ,                                ,                      ,F                      ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,VR                ,                  ,                    ,R              ,                                   ,                 ,              ,                ,                     ,               ,                    ,                       ,                  ,           ,                        ,                          ,               ,F                 ,                                  ,                    ,             ,R                   ,                 ,F                    ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,R                 ,                ,A                   ,R                                  ,F              ,C                ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 54,R,CC,   0.00,    859.4100,Baumgartner,Radiolarians                                 ,A              ,G                 ,R         ,R                 ,                  ,F                                                   ,                       ,                 ,                                      ,                    ,                     ,R                                      ,R                                     ,R                               ,                      ,F                      ,                ,R               ,                                     ,                        ,                                  ,R                                ,                                   ,                       ,               ,             ,                          ,VR                ,                  ,                    ,               ,                                   ,                 ,              ,                ,                     ,F              ,R                   ,R                      ,R                 ,           ,                        ,                          ,               ,                  ,                                  ,                    ,             ,F                   ,R                ,F                    ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,R                 ,                ,A                   ,F                                  ,R              ,F                ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 55,R, 2, 123.00,    865.7300,Baumgartner,Radiolarians                                 ,F              ,M                 ,          ,                  ,                  ,C                                                   ,                       ,                 ,                                      ,                    ,                     ,F                                      ,C                                     ,A                               ,R                     ,                       ,                ,                ,                                     ,F                       ,                                  ,C                                ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,R                ,              ,                ,                     ,F              ,C                   ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,             ,                    ,                 ,R                    ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,                  ,                ,                    ,                                   ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 56,R, 2,  18.00,    874.1800,Baumgartner,Radiolarians                                 ,A              ,M                 ,          ,                  ,                  ,R                                                   ,                       ,F                ,                                      ,                    ,                     ,R                                      ,                                      ,R                               ,                      ,F                      ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,F                         ,                  ,                  ,                    ,               ,                                   ,R                ,              ,                ,                     ,R              ,R                   ,VR                     ,R                 ,           ,                        ,                          ,               ,                  ,                                  ,                    ,             ,                    ,                 ,                     ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,VR                ,                ,                    ,C                                  ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 57,R, 1,  67.00,    882.3700,Baumgartner,Radiolarians                                 ,A              ,G                 ,          ,                  ,                  ,R                                                   ,                       ,                 ,                                      ,R                   ,                     ,R                                      ,R                                     ,R                               ,                      ,R                      ,                ,                ,                                     ,                        ,                                  ,R                                ,                                   ,                       ,               ,             ,F                         ,                  ,                  ,                    ,               ,                                   ,                 ,              ,R               ,                     ,               ,A                   ,                       ,                  ,           ,                        ,                          ,               ,A                 ,                                  ,                    ,VR           ,R                   ,                 ,R                    ,                     ,                      ,                  ,                    ,                   ,                      ,R                 ,                  ,                ,                    ,A                                  ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 57,R, 4,  51.00,    886.7100,Baumgartner,Radiolarians                                 ,A              ,M                 ,          ,                  ,                  ,F                                                   ,F                      ,F                ,                                      ,C                   ,                     ,R                                      ,R                                     ,                                ,                      ,F                      ,                ,                ,                                     ,                        ,R                                 ,                                 ,                                   ,                       ,               ,             ,R                         ,                  ,R                 ,                    ,               ,                                   ,R                ,              ,                ,                     ,R              ,A                   ,R                      ,F                 ,           ,                        ,                          ,               ,A                 ,                                  ,                    ,             ,                    ,                 ,R                    ,                     ,                      ,                  ,                    ,                   ,                      ,R                 ,                  ,                ,                    ,A                                  ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 57,R, 6, 112.00,    890.3200,Baumgartner,Radiolarians                                 ,F              ,M                 ,          ,R                 ,                  ,F                                                   ,                       ,F                ,R                                     ,F                   ,F                    ,R                                      ,                                      ,R                               ,C                     ,R                      ,R               ,R               ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,R                         ,                  ,                  ,                    ,               ,                                   ,F                ,              ,R               ,                     ,F              ,F                   ,                       ,C                 ,           ,                        ,                          ,               ,F                 ,                                  ,                    ,             ,F                   ,                 ,                     ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,                  ,                ,C                   ,C                                  ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 58,R, 2,  65.00,    893.3500,Baumgartner,Radiolarians                                 ,A              ,M                 ,R         ,R                 ,                  ,A                                                   ,F                      ,F                ,R                                     ,R                   ,                     ,R                                      ,                                      ,R                               ,R                     ,F                      ,                ,R               ,                                     ,                        ,                                  ,                                 ,                                   ,F                      ,               ,R            ,                          ,                  ,                  ,                    ,               ,                                   ,R                ,              ,R               ,                     ,F              ,R                   ,R                      ,C                 ,           ,                        ,                          ,               ,R                 ,                                  ,                    ,             ,                    ,                 ,VR                   ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,                  ,                ,R                   ,                                   ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 58,R, 3,  31.00,    894.5100,Baumgartner,Radiolarians                                 ,A              ,M                 ,          ,                  ,                  ,A                                                   ,                       ,                 ,R                                     ,R                   ,                     ,                                       ,                                      ,                                ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,R            ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,              ,                ,                     ,               ,R                   ,                       ,                  ,           ,                        ,                          ,               ,F                 ,                                  ,                    ,             ,                    ,                 ,                     ,                     ,                      ,                  ,                    ,                   ,                      ,R                 ,                  ,                ,R                   ,                                   ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 58,R, 3,  89.00,    895.0900,Baumgartner,Radiolarians                                 ,A              ,G                 ,R         ,R                 ,                  ,A                                                   ,F                      ,F                ,F                                     ,F                   ,F                    ,R                                      ,R                                     ,R                               ,R                     ,F                      ,                ,R               ,                                     ,                        ,                                  ,                                 ,                                   ,F                      ,               ,             ,F                         ,                  ,                  ,                    ,R              ,                                   ,F                ,              ,R               ,                     ,F              ,                    ,F                      ,A                 ,           ,                        ,                          ,               ,                  ,                                  ,R                   ,             ,                    ,F                ,R                    ,R                    ,                      ,                  ,F                   ,R                  ,R                     ,R                 ,R                 ,R               ,                    ,                                   ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 58,R, 4,   0.00,    895.7000,Baumgartner,Radiolarians                                 ,A              ,M                 ,R         ,                  ,                  ,A                                                   ,F                      ,F                ,C                                     ,C                   ,F                    ,R                                      ,R                                     ,R                               ,R                     ,R                      ,                ,F               ,                                     ,                        ,                                  ,                                 ,                                   ,R                      ,               ,F            ,A                         ,                  ,                  ,R                   ,R              ,                                   ,F                ,              ,R               ,                     ,F              ,R                   ,F                      ,A                 ,           ,                        ,                          ,               ,R                 ,                                  ,                    ,             ,                    ,                 ,                     ,                     ,                      ,                  ,                    ,R                  ,                      ,R                 ,R                 ,                ,                    ,                                   ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
