Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Verneuilina spp.	Stensioina beccariiformis	Spiroplectammina spp.	Saracenaria spp.	Pullenia cretacea	Pullenia coryelli	Pullenia americana	Praebulimina spp.	Pleurostomella spp.	Osangularia velascoensis	Oridorsalis sp. 1	Oolina spp.	Nuttallinella florealis	Nuttallides truempyi (thin shaped)	Nodosaria soluta	Nodosarella spp.	Marginulina spp.	Lenticulina spp.	Gyroidinoides quadratus	Gyroidinoides planulatus	Gyroidinoides globulosus	Gyroidina soldanii	Gravellina sp.	Gaudryina cf. laevigata	Frondicularia spp.	Fissurina spp.	Dorothia trochoides	Dentalina spp.	Coryphostoma midwayensis	Cibicidoides velascoensis	Cibicidoides spp.	Cibicidoides hyphalus	Cibicidoides dayi	Bulimina triangularis	Bolivinoides draco	Astrononion stelligerum	Anomalinoides spp.	Anomalinoides grosserugosus	Anomalina praeacuta	Valvulineria spp.	Vaginulina spp.	Reussella ? sp. 	Pyramidina sp.	Pullenia spp.	Pullenia reussi	Orthomorphina spp.	Lagena spp.	Gyroidinoides spp.	Guttulina sp.	Ellipsoidina sp.	Cibicidoides cf. velascoensis	Spiroplectammina spectabilis	Oridorsalis umbonatus	Nodosaria spp.	Guttulina problema	Dorothia spp.	Cibicides cf. ribbingi	Pseudonodosaria sp.	Nodosaria vertebralis	Guttulina cf. trigonula	Globulina gibba	Ellipsoidella spp.	Buliminella sp. 1	Pyrulina sp.	Oridorsalis sp.	Bulimina sp.	Astacolus spp.	Nuttallides truempyi	Coryphostoma incrassata	Neoflabellina reticulata	Eouvigerina americana ?	Nonionella unspecified taxon	Globorotalites conicus	Siphotextularia ? sp.	Praebulimina navarroensis	Lingulina sp.	Dorothia conicula	Ammodiscus sp.	Stilostomella spp.	Osangularia cordieriana	Dorothia bulletta	Glabratella sp.	Nuttallides ? sp.	Marssonella sp.	Glandulina ? sp.	Osangularia sp. 1	Ellipsoidina ellipsoides	Alabamina creta	Cibicidoides cf. pseudoperlucidus	Gyroidinoides cf. globulosus	Bolivinoides delicatulus	Anomalinoides undulatus	Allomorphina sp.	Gavelinella sp.	Discorbis sp.	Cibicides spp.	Tritaxia globulifera	Ramulina sp.	Gaudryina sp.	Dorothia cf. oxycona	Conorbina sp.	Bulimina trinitatensis	Quadrimorphina allomorphinoides	Nonion spp.	Massilina sp.	Clavulina spp.	Bathysiphon sp. 	Eponides sp.	Remesella varians	Gyroidinoides cf. exsertus	Gyroidina noda	Anomalinoides capitatus/danicus	Saccammina ? sp.	Aragonia aragonensis	Tritaxia cf. globulifera	Anomalinoides semicribratus	Sphaeroidina sp.	Uvigerina spp.	Tritaxia ? sp.	Tritaxia paleocenica	Pleurostomella alternans	Lenticulina whitei	Stilostomella gracillima	Gaudryina pyramidata	Cibicides excavata	Astrononion sp.	Comment
  SR	                 	                 	                  	              	121	 752	B	 14	R	 5	  62.00	    390.2200	Nomura   	Benthic Foraminifers                         	               	                  	3               	39                       	                     	2               	2                	2                	                  	                 	1                  	                        	2                	1          	                       	21                                	                	1               	                	6               	3                      	2                       	5                       	                  	              	                       	1                 	              	                   	4             	                        	12                       	3                	56                   	5                	                     	16                	                       	                  	                           	11                 	                 	               	                	              	             	2              	                  	2          	3                 	             	                	4                            	                            	16                   	1             	2                 	             	                      	                   	                     	                       	               	                  	11               	            	1              	            	6             	                    	                       	                        	                       	                            	                      	2                    	3                        	1            	1                	1             	                  	                       	                 	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 257 miscellaneous species 2 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 15	R	 1	 119.00	    394.4900	Nomura   	Benthic Foraminifers                         	               	                  	                	13                       	                     	1               	1                	8                	                  	4                	                   	                        	4                	           	                       	11                                	                	1               	2               	4               	3                      	                        	8                       	                  	              	                       	                  	              	                   	              	                        	3                        	10               	19                   	2                	                     	                  	                       	                  	                           	5                  	                 	               	                	              	1            	               	                  	           	3                 	1            	                	1                            	                            	2                    	              	                  	1            	                      	                   	                     	                       	               	                  	19               	            	2              	            	1             	                    	35                     	                        	2                      	1                           	1                     	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 166 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 15	R	 5	 112.00	    400.4200	Nomura   	Benthic Foraminifers                         	               	                  	1               	62                       	2                    	5               	1                	6                	                  	6                	                   	1                       	10               	           	                       	8                                 	                	2               	                	11              	15                     	5                       	4                       	1                 	              	                       	                  	              	                   	3             	4                       	10                       	5                	21                   	6                	                     	                  	                       	                  	                           	11                 	                 	               	                	              	             	2              	                  	           	                  	             	                	                             	                            	13                   	              	                  	             	                      	                   	                     	                       	               	1                 	                 	            	1              	            	1             	                    	1                      	1                       	4                      	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 224 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 16	R	 1	  15.00	    403.1500	Nomura   	Benthic Foraminifers                         	               	                  	4               	69                       	                     	                	2                	7                	                  	3                	                   	                        	8                	           	                       	4                                 	                	3               	                	4               	4                      	3                       	17                      	                  	              	                       	                  	              	                   	              	1                       	12                       	4                	46                   	5                	                     	                  	                       	                  	                           	7                  	                 	               	                	              	             	               	                  	           	                  	             	                	3                            	                            	                     	2             	1                 	             	                      	1                  	                     	                       	               	                  	1                	            	               	            	1             	11                  	40                     	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 264 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 16	R	 3	 136.00	    407.3600	Nomura   	Benthic Foraminifers                         	               	                  	                	71                       	                     	                	2                	7                	                  	8                	                   	                        	1                	1          	                       	16                                	                	4               	                	12              	8                      	4                       	2                       	                  	              	                       	                  	              	                   	5             	                        	                         	9                	19                   	5                	1                    	                  	                       	                  	                           	10                 	                 	               	                	              	             	2              	                  	           	11                	             	                	19                           	5                           	                     	1             	                  	2            	                      	                   	                     	                       	               	                  	                 	2           	2              	1           	3             	                    	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 237 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 17	R	 1	 103.00	    413.6300	Nomura   	Benthic Foraminifers                         	               	                  	                	69                       	                     	                	                 	20               	                  	                 	                   	                        	14               	2          	                       	11                                	                	                	1               	5               	7                      	2                       	14                      	15                	              	                       	                  	              	                   	8             	                        	7                        	5                	6                    	3                	2                    	4                 	                       	                  	                           	6                  	3                	               	                	              	             	2              	                  	1          	4                 	             	                	                             	                            	9                    	4             	                  	1            	                      	1                  	1                    	1                      	1              	1                 	12               	            	               	            	              	                    	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 240 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 17	R	 5	  66.00	    419.2600	Nomura   	Benthic Foraminifers                         	               	                  	                	63                       	                     	                	1                	12               	2                 	4                	1                  	1                       	11               	1          	                       	1                                 	                	                	                	4               	21                     	6                       	                        	                  	              	                       	                  	              	1                  	3             	                        	18                       	12               	34                   	1                	19                   	2                 	                       	3                 	                           	12                 	                 	               	                	              	             	               	                  	           	9                 	             	                	                             	1                           	5                    	3             	1                 	3            	1                     	                   	                     	                       	               	                  	                 	            	               	            	              	                    	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 255 miscellaneous species 1 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 19	R	 1	  42.00	    432.0200	Nomura   	Benthic Foraminifers                         	               	                  	                	46                       	1                    	1               	                 	                 	                  	                 	                   	17                      	37               	1          	1                      	                                  	1               	                	1               	7               	3                      	3                       	10                      	                  	              	                       	                  	2             	2                  	4             	2                       	22                       	7                	15                   	1                	                     	                  	                       	                  	                           	16                 	2                	1              	1               	6             	4            	4              	2                 	2          	1                 	1            	1               	5                            	                            	                     	              	                  	             	                      	                   	                     	                       	               	                  	                 	            	               	            	              	                    	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 231 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 19	R	 3	  49.00	    435.0900	Nomura   	Benthic Foraminifers                         	               	                  	9               	33                       	1                    	1               	6                	10               	1                 	1                	2                  	1                       	4                	2          	3                      	1                                 	1               	2               	1               	9               	25                     	18                      	11                      	1                 	1             	1                      	2                 	1             	3                  	3             	3                       	21                       	3                	27                   	1                	5                    	5                 	2                      	2                 	4                          	12                 	                 	               	                	              	             	               	                  	           	                  	             	                	                             	                            	                     	              	                  	             	                      	                   	                     	                       	               	                  	                 	            	               	            	              	                    	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 231 from ODP Leg 121 SR Chapter 1 Table 1

