taxon_group,verbatim_name,name,Comment,Notes (change to Internal only notes?),Any taxon above genus modifier,Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,Corrections to pbdb_taxon_rank,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,Corrections to pbdb_taxon,family_taxon_id,family_taxon_name,superfamily_taxon_id,superfamily_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name,unranked clade_taxon_id,unranked clade_taxon_name,genus_taxon_id,genus_taxon_name,species_taxon_id,species_taxon_name
benthic_forams,Anomalina affinis,,,,,,,Anomalina,,,,affinis,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina alazensis,,,,,,,Anomalina,,,,alazensis,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina alazensis spissiformis,,,,,,,Anomalina,,,,alazensis,,spissiformis,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina aragonensis,,,,,,,Anomalina,,,,aragonensis,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina capita,,,,,,,Anomalina,,,,capita,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina cicatricosus,,,,,,,Anomalina,,,,cicatricosus,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina cubana,,,,,,,Anomalina,,,,cubana,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina dorri aragonensis,,,,,,,Anomalina,,,,dorri,,aragonensis,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina flintii,,,,,,,Anomalina,,,,flintii,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina globulosa,,,,,,,Anomalina,,,,globulosa,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina helicina,,,,,,,Anomalina,,,,helicina,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina illingi,,,,,,,Anomalina,,,,illingi,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina midwayensis,,,,,,,Anomalina,,,,midwayensis,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina pompilioides,,,,,,,Anomalina,,,,pompilioides,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina praespissiformis,,,,,,,Anomalina,,,,praespissiformis,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina semicribrata,,,,,,,Anomalina,,,,semicribrata,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina spissiformis,,,,,,,Anomalina,,,,spissiformis,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina spissiformis (q),? Anomalina spissiformis,,,,,?,Anomalina,,,,spissiformis,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina subbadensis,,,,,,,Anomalina,,,,subbadensis,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalina welleri,,,,,,,Anomalina,,,,welleri,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
benthic_forams,Anomalinoides acuta,,,,,,,Anomalinoides,,,,acuta,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides alazanensis,,,,,,,Anomalinoides,,,,alazanensis,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides aragonensis,,,,,,,Anomalinoides,,,,aragonensis,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides badensis,,,,,,,Anomalinoides,,,,badensis,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides cicatricosus,,,,,,,Anomalinoides,,,,cicatricosus,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides ciperensis,,,,,,,Anomalinoides,,,,ciperensis,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides flinti,,,,,,,Anomalinoides,,,,flinti,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides globulosa,,,,,,,Anomalinoides,,,,globulosa,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides howelli,,,,,,,Anomalinoides,,,,howelli,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides macroglabra (q),? Anomalinoides macroglabra,,,,,?,Anomalinoides,,,,macroglabra,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides nobilis,,,,,,,Anomalinoides,,,,nobilis,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides pinguiglabra,,,,,,,Anomalinoides,,,,pinguiglabra,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides pinguiglabra (q),? Anomalinoides pinguiglabra,,,,,?,Anomalinoides,,,,pinguiglabra,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides pompilioides,,,,,,,Anomalinoides,,,,pompilioides,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides praespissiformis,,,,,,,Anomalinoides,,,,praespissiformis,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides pseudogrosserugosa,,,,,,,Anomalinoides,,,,pseudogrosserugosa,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides semicribrata,,,,,,,Anomalinoides,,,,semicribrata,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides semiteres,,,,,,,Anomalinoides,,,,semiteres,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Anomalinoides trinitalensis,,,,,,,Anomalinoides,,,,trinitalensis,,,,,,859,Anomalinoides,genus,,155878,Heterolepidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,859,Anomalinoides,,
benthic_forams,Aragonia anauna,,,,,,,Aragonia,,,,anauna,,,,,,865,Aragonia,genus,,432106,Loxostomatidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,865,Aragonia,,
benthic_forams,Aragonia capdevilensis,,,,,,,Aragonia,,,,capdevilensis,,,,,,865,Aragonia,genus,,432106,Loxostomatidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,865,Aragonia,,
benthic_forams,Aragonia semi-reticulata,,,,,,,Aragonia,,,,semi-reticulata,,,,,,865,Aragonia,genus,,432106,Loxostomatidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,865,Aragonia,,
benthic_forams,Aragonia trinitatensis,,,,,,,Aragonia,,,,trinitatensis,,,,,,865,Aragonia,genus,,432106,Loxostomatidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,865,Aragonia,,
benthic_forams,Aragonia velascoensis,,,,,,,Aragonia,,,,velascoensis,,,,,,865,Aragonia,genus,,432106,Loxostomatidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,865,Aragonia,,
benthic_forams,Aragonina aragonensis,Aragonia aragonensis,genus misspelled; WoRMS (JAS),,,,,Aragonia,,,,aragonensis,,,,,,865,Aragonia,genus,,432106,Loxostomatidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,865,Aragonia,,
benthic_forams,Aragonina velascoensis,Aragonia velascoensis,genus misspelled; WoRMS (JAS),,,,,Aragonia,,,,velascoensis,,,,,,865,Aragonia,genus,,432106,Loxostomatidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,865,Aragonia,,
benthic_forams,Arenobulimina cuskleyae (q),? Arenobulimina cuskleyae,,,,,?,Arenobulimina,,,,cuskleyae,,,,,,879,Arenobulimina,genus,,112207,Globotextulariidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,879,Arenobulimina,,
