Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum triommata,Distephanus speculum speculum,Distephanus speculum hemisphaericus,Distephanus speculum binoculus,Distephanus sp. aff. D. slavincii,Distephanus crux stradneri,Distephanus crux scutulatus,Distephanus crux longispinus,Distephanus crux lockerii,Distephanus crux crux,Dictyocha varia,Dictyocha fibula,Corbisema triacantha,Bachmannocena elliptica elliptica,Bachmannocena apiculata curvata,Naviculopsis eobiapiculata,Distephanus schulzii,Distephanus crux crux (rounded),Dictyocha arcuata,Distephanus crux parvus,Distephanus boliviensis boliviensis,Distephanus boliviensis binoculus,Bachmannocena diodon diodon,Bachmannocena apiculata apiculata,Distephanus speculum pentagonus,Caryocha depressa,Distephanus boliviensis major,Dictyocha subclinata,Dictyocha sp. cf. D. rhombica,Bachmannocena d. diodon (unspined),Distephanus quinarius (regular),Caryocha picassoi,Naviculopsis lata,Distephanus quinarius (4-sided),Bachmannocena elliptica miniformis,Dictyocha sp. 1,Bachmannocena circulus apiculata,Distephanus stauracanthus f. octagonus,Distephanus stauracanthus f. stauracanthus,Caryocha ernestinae,Bachmannocena circulus circulus,Bachmannocena triangula,Bachmannocena diodon nodosa,Distephanus polyactis,Distephanus xenus,Bachmannocena sp. cf. B. diodon borderlandensis,Bachmannocena diodon triodon,Distephanus speculum minutus (regular),Distephanus crux hannai,Dictyocha brevispina ausonia,Bachmannocena diodon borderlandensis,Distephanus speculum minutus (equant spines),Dictyocha messanensis stapedia f. stapedia,Bachmannocena quadrangula,Comment
  IR,Middle Miocene   ,                 ,B. c. ap./Cary. spp,              ,162, 982,B, 48,X, 4,  99.00,    447.2900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,                  ,                              ,14                           ,1                                  ,                              ,                                 ,6                         ,15                         ,2                           ,                         ,33                   ,3              ,                ,1                   ,1                                ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,                           ,3                                ,                               ,1                ,                             ,8                   ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,92                              ,                                      ,1                                         ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 181; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,B. c. ap./Cary. spp,              ,162, 982,B, 48,X, 5,  99.00,    448.7900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,                              ,57                           ,                                   ,4                             ,                                 ,29                        ,56                         ,1                           ,                         ,28                   ,5              ,                ,1                   ,1                                ,7                              ,                          ,                    ,5                              ,                 ,5                      ,1                                  ,                                 ,12                         ,2                                ,                               ,10               ,                             ,5                   ,                             ,                                  ,                               ,1                ,                 ,                               ,                                  ,16             ,70                              ,3                                     ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 319; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,B. c. ap./Cary. spp,              ,162, 982,B, 49,X, 2,  99.00,    453.8900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,                              ,69                           ,                                   ,5                             ,                                 ,11                        ,78                         ,1                           ,1                        ,5                    ,               ,1               ,2                   ,                                 ,3                              ,                          ,                    ,1                              ,                 ,5                      ,                                   ,                                 ,28                         ,1                                ,                               ,5                ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,5                                 ,8              ,77                              ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 306; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,upper C. triacantha,              ,162, 982,B, 50,X, 3,  99.00,    464.9900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,                  ,                              ,1                            ,                                   ,1                             ,                                 ,1                         ,6                          ,                            ,                         ,2                    ,               ,                ,2                   ,                                 ,4                              ,                          ,                    ,                               ,2                ,                       ,                                   ,                                 ,44                         ,4                                ,                               ,2                ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,2                                 ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 71; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,upper C. triacantha,              ,162, 982,B, 51,X, 3,  99.00,    474.5900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,                  ,                              ,7                            ,                                   ,2                             ,                                 ,1                         ,3                          ,                            ,                         ,                     ,               ,                ,                    ,2                                ,4                              ,                          ,                    ,                               ,5                ,                       ,                                   ,                                 ,146                        ,3                                ,                               ,40               ,                             ,                    ,                             ,                                  ,20                             ,                 ,r1               ,1                              ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 235; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,upper C. triacantha,              ,162, 982,B, 52,X, 2,  99.00,    482.6900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,                              ,12                           ,3                                  ,                              ,                                 ,32                        ,6                          ,81                          ,                         ,3                    ,               ,1               ,1                   ,9                                ,14                             ,                          ,                    ,                               ,32               ,7                      ,4                                  ,2                                ,56                         ,6                                ,                               ,20               ,                             ,                    ,                             ,                                  ,10                             ,1                ,                 ,                               ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 300; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,upper C. triacantha,              ,162, 982,B, 52,X, 5,  99.00,    487.1900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,                  ,                              ,6                            ,1                                  ,                              ,                                 ,3                         ,10                         ,21                          ,                         ,2                    ,               ,1               ,8                   ,2                                ,                               ,r1                        ,                    ,                               ,5                ,3                      ,                                   ,                                 ,6                          ,                                 ,                               ,6                ,                             ,                    ,                             ,                                  ,1                              ,                 ,                 ,                               ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 76; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,upper C. triacantha,              ,162, 982,B, 53,X, 4,  99.00,    495.1900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,                  ,                              ,8                            ,1                                  ,5                             ,                                 ,11                        ,9                          ,69                          ,                         ,13                   ,               ,1               ,2                   ,4                                ,                               ,r1                        ,                    ,2                              ,17               ,12                     ,                                   ,                                 ,10                         ,                                 ,                               ,10               ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 175; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,upper C. triacantha,              ,162, 982,B, 54,X, 2,  99.00,    501.7900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,VR             ,                  ,                              ,                             ,1                                  ,                              ,                                 ,                          ,3                          ,1                           ,                         ,                     ,               ,1               ,                    ,1                                ,                               ,                          ,                    ,                               ,2                ,                       ,                                   ,                                 ,                           ,                                 ,                               ,1                ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 10; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,upper C. triacantha,              ,162, 982,B, 55,X, 1,  99.00,    509.8900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,9                             ,8                            ,33                                 ,4                             ,14                               ,34                        ,43                         ,27                          ,                         ,26                   ,1              ,5               ,3                   ,19                               ,6                              ,                          ,5                   ,7                              ,4                ,19                     ,7                                  ,15                               ,33                         ,                                 ,                               ,29               ,5                            ,1                   ,3                            ,7                                 ,                               ,                 ,                 ,                               ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 367; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,upper C. triacantha,              ,162, 982,B, 55,X, 4,  99.00,    514.3900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,                              ,6                            ,4                                  ,5                             ,6                                ,96                        ,34                         ,11                          ,                         ,7                    ,18             ,7               ,2                   ,34                               ,30                             ,                          ,7                   ,6                              ,                 ,11                     ,                                   ,                                 ,7                          ,3                                ,1                              ,4                ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 299; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,upper C. triacantha,              ,162, 982,B, 56,X, 1,  99.00,    519.4900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,                  ,                              ,2                            ,9                                  ,                              ,5                                ,45                        ,11                         ,40                          ,1                        ,19                   ,3              ,1               ,                    ,15                               ,6                              ,r1                        ,                    ,2                              ,1                ,2                      ,1                                  ,1                                ,5                          ,3                                ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 173; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,lower C.triacantha,              ,162, 982,B, 56,X, 5,  99.00,    525.4900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,4                             ,19                           ,20                                 ,3                             ,11                               ,91                        ,47                         ,31                          ,36                       ,9                    ,2              ,                ,                    ,                                 ,7                              ,r1                        ,18                  ,5                              ,11               ,                       ,                                   ,                                 ,                           ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 315; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,lower C.triacantha,              ,162, 982,B, 57,X, 2,  99.00,    530.5900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,                  ,5                             ,8                            ,7                                  ,4                             ,7                                ,12                        ,9                          ,8                           ,1                        ,13                   ,4              ,14              ,2                   ,2                                ,12                             ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,                           ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 108; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
