Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella reissi	Subbotinid gen. et sp. indet (with abortive chambers)	Subbotina triloculinoides	Subbotina triangularis	Subbotina patagonica	Subbotina eocaenica	Planorotalites spp.	Planorotalites compressus	Chiloguembelinid  gen. et sp. indet <150 µm	Acarinina praepentacamerata	Acarinina nitida	Acarinina mckannai	Acarinina aquiensis	Acarinina acarinata	Subbotina pseudobulloides	Morozovella hispidicidaris	Morozovella convexa	Acarinina whitei	Acarinina velascoensis	Acarinina subsphaerica	Acarinina intermedia	Acarinina esnaensis	Planorotalites chapmani	Morozovella tadjikistanensis dianensis	Acarinina chascanona	Morozovella nicoli	Acarinina rotundimarginata	Zeauvigerina spp.	Planorotalites planoconicus	Acarinina trichotrocha	Acarinina soldadoensis	Subbotina pseudoeocaena compacta	Subbotina pseudoeocaena	Subbotina eocaenica irregularis	Planorotalites pseudoscitulus elongatus	Planorotalites pseudoscitulus	Globorotaloides spp.	Globorotaloides sp. 1	Globorotalia praecentralis	Globigerinatheka senni	Acarinina triplex	Acarinina primitiva	Acarinina praetopilensis	Subbotina sp. aff. S.hornibrooki	Subbotina pseudoeocaena trilobata	Subbotina crociapertura	Pseudohastigerina wilcoxensis	Planorotalites australiformis	Morozovella subbotinae	Morozovella nicoli ex. group (biconvex)	Morozovella lensiformis	Morozovella dolabrata	Globorotaloides sp. aff. G.suteri	Acarinina pseudotopilensis	Acarinina interposita	Subbotina higginsi	Pseudohastigerina micra <150 µm	Morozovella broedermanni	Guembelitria spp. <150 µm	Acarinina rugosoaculeata	Acarinina pentacamerata	Acarinina collactea	Acarinina bullbrooki/matthewsae	Acarinina sp. aff. mattseensis alticonica	Acarinina appressocamerata	Subbotina ratusa	Subbotina inaequispira	Subbotina corpulenta	Subbotina eocaena	Acarinina decepta	Morozovella crater	Acarinina sp. cf. A.quadratoseptata	Catapsydrax taroubaensis	Pseudohastigerina danvillensis	Acarinina spinuloinflata	Cassigerinelloita amekiensis	Subbotina hagni	Globigerina venezuelana	Dentoglobigerina pseudovenezuelana	Catapsydrax spp.	Globorotaloides suteri	Globorotaloides oregonensis	Whiteinella sp.	Subbotina utilisindex	Subbotina sp. cf. S. azerbadjanica	Subbotina angiporoides	Globigerinatheka subconglobata	Subbotina angiporoides minima	Globigerinatheka index	Subbotina linaperta	Paragloborotalia opima nana	Tenuitella gemma / munda	Catapsydrax globiformis	Globigerina labiacrassata	Catapsydrax unicavus	Catapsydrax dissimilis ciperoensis	Catapsydrax dissimilis	Globigerinids sp.	Globigerina senilis	Globigerina euapertura	Globigerina praebulloides	? Prosphaeroidinella sp.	Globigerina praebulloides leroyi	Globigerina officinalis	Cassigerinella chipolensis	Comment

  SR	Late Eocene      	                 	P15               	P17           	114	 699	A	 36	X	 6	  85.00	    333.9500	Nocchi   	Planktonic Foraminifers                      	VR             	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	VR                    	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Late Eocene      	                 	P15               	P17           	114	 699	A	 36	X	 7	  45.00	    335.0500	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	R               	VR                    	                           	               	                     	                                  	                      	                              	                             	R                     	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Late Eocene      	                 	P15               	P17           	114	 699	A	 36	X	CC	  26.00	    335.3800	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	VR              	VR                    	                           	               	                     	                                  	                      	                              	                             	F                     	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Late Eocene      	                 	P15               	P17           	114	 699	A	 37	X	 2	  94.00	    337.5400	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	C               	A                     	                           	               	A                    	                                  	C                     	                              	F                            	F                     	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Late Eocene      	                 	P15               	P17           	114	 699	A	 37	X	 3	  94.00	    339.0400	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	VR                  	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	R               	A                     	                           	               	                     	                                  	C                     	                              	F                            	F                     	                   	VR                         	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Late Eocene      	                 	P15               	P17           	114	 699	A	 37	X	 4	  94.00	    340.5400	Nocchi   	Planktonic Foraminifers                      	F              	P                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	F                     	                           	               	                     	                                  	C                     	                              	F                            	F                     	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Late Eocene      	                 	P15               	P17           	114	 699	A	 38	X	 4	 141.00	    350.5100	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	R               	VR                    	                           	               	VR                   	                                  	R                     	                              	VR                           	VR                    	                   	VR                         	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P12               	P14           	114	 699	A	 39	X	 2	  66.00	    356.2600	Nocchi   	Planktonic Foraminifers                      	C              	P                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	                     	                          	                      	                 	F                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	C               	F                     	                           	               	                     	                                  	F                     	                              	                             	C                     	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P12               	P14           	114	 699	A	 39	X	CC	  17.00	    357.1800	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	R                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	                      	                           	               	VR                   	                                  	                      	                              	VR                           	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P12               	P14           	114	 699	A	 40	X	 1	  78.00	    364.3800	Nocchi   	Planktonic Foraminifers                      	A              	P                 	F                	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	A               	F                     	                           	               	C                    	                                  	F                     	                              	                             	C                     	VR                 	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P12               	P14           	114	 699	A	 40	X	 2	  78.00	    365.8800	Nocchi   	Planktonic Foraminifers                      	               	P                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	                     	                          	                      	                 	F                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	C               	F                     	                           	               	C                    	                                  	F                     	                              	C                            	C                     	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P12               	P14           	114	 699	A	 40	X	 3	  78.00	    367.3800	Nocchi   	Planktonic Foraminifers                      	VR             	P                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	VR                        	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P12               	P14           	114	 699	A	 40	X	 4	  78.00	    368.8800	Nocchi   	Planktonic Foraminifers                      	C              	P                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	C               	                      	                           	               	R                    	                                  	F                     	                              	                             	C                     	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P12               	P14           	114	 699	A	 40	X	 5	  78.00	    370.3800	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	C               	VR                    	                           	               	F                    	                                  	F                     	VR                            	                             	A                     	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P12               	P14           	114	 699	A	 40	X	 6	  78.00	    371.8800	Nocchi   	Planktonic Foraminifers                      	C              	P                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	                     	                          	                      	                 	F                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	C               	                      	                           	               	                     	                                  	F                     	                              	                             	C                     	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P12               	P14           	114	 699	A	 40	X	CC	  30.00	    373.0500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                	                                                     	                         	                      	                    	                   	                   	                         	VR                                         	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	VR                        	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	                     	                          	                      	                 	F                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	C                       	                       	R                  	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	C               	F                     	C                          	               	F                    	                                  	F                     	                              	C                            	A                     	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket
