Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis (?) annikae,Stylosphaera coronata coronata,Spongurus (?) regularis group,Phormocyrtis striata praexquisita,Cromyomma riedeli,Buryella tetradica,Buryella pentadica,Bathropyramis woodringi,Xiphosphaera circularis,Periphaena decora,Entapium regulare,Phormocyrtis striata exquisita,Stylotrochus alveatus,Spongurus quadratus,Bekoma campechensis,Stylosphaera goruna,Astrosphaerin sp. E,Lithomespilus mendosa,Lamptonium pennatum,Astrosphaerin sp. F,Lamptonium fabaeforme chaunothorax,Bekoma bidartensis,Theocotylissa alpha,Pterocodon (?) anteclinata,Pterocodon (?) ampla,Lamptonium fabaeforme fabaeforme,Calocycloma castum,Theocotyle nigriniae,Spongatractus balbis,Lithocyclia ocellus,Buryella clinata,Podocyrtis papalis,Calocyclas hispida,Thyrsocyrtis rhizodon,Thyrsocyrtis hirsuta,Phormocyrtis striata striata,Thyrsocyrtis tarsipes,Theocotylissa ficus,Thyrsocyrtis tensa,Theocotyle cryptocephala,Podocyrtis sinuosa,Podocyrtis diamesa,Thyrsocyrtis robusta,Theocotyle venezuelensis,Dictyoprora mongolfieri,Theocotyle conica,Thyrsocyrtis triacantha,Eusyringium lagena,Spongatractus pachystylus,Podocyrtis phyxis,Eusyringium fistuligerum,Podocyrtis  ampla,Lychnocanoma bellum,Podocyrtis trachodes,Podocyrtis dorus,Sethochytris triconiscus,Podocyrtis mitra,Thyrsocyrtis lochites,Podocyrtis fasciolata,Podocyrtis chalara,Tristylospyris triceros,Thyrsocyrtis  tetracantha,Lithocyclia aristotelis group,Cryptocarpium ornatum,Lophocyrtis jacchia,Dictyoprora pirum,Comment
  IR,                 ,Middle Eocene    ,                  ,D. mongolfieri,,171,1051,A,36,X,CC,34.00,340.8900,Blome    ,Radiolarians                                 ,A              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,F                               ,                  ,F                   ,                    ,                   ,                ,C                 ,F                 ,R                    ,R                   ,C                           ,                     ,                   ,R                 ,                        ,F                 ,F                 ,                    ,R                       ,A                      ,R                ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. cryptocephala,,171,1051,A,37,X,CC,13.00,347.0600,Blome    ,Radiolarians                                 ,F              ,P                 ,                        ,F                             ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,R                               ,                  ,F                   ,                    ,                   ,                ,                  ,R                 ,F                    ,R                   ,C                           ,                     ,                   ,F                 ,R                       ,F                 ,                  ,                    ,R                       ,C                      ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,"Fair to poor preservation, abundant clay detritus"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. cryptocephala,,171,1051,A,38,X,CC,26.00,359.8100,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,C                             ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,F                               ,                  ,R                   ,                    ,                   ,                ,C                 ,F                 ,R                    ,R                   ,C                           ,                     ,                   ,R                 ,R                       ,F                 ,F                 ,R                   ,R                       ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. cryptocephala,,171,1051,A,39,X,CC,35.00,369.7200,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,A                             ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,R                                 ,                  ,                   ,                          ,                    ,R                               ,                  ,C                   ,                    ,                   ,                ,C                 ,                  ,                     ,                    ,C                           ,                     ,                   ,R                 ,R                       ,T                 ,R                 ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,P. striata striata,T. cryptocephala,,171,1051,A,41,X,CC,16.00,380.5800,Blome    ,Radiolarians                                 ,A              ,G                 ,                        ,A                             ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,R                               ,                  ,F                   ,F                   ,C                  ,F               ,C                 ,F                 ,F                    ,                    ,C                           ,R                    ,                   ,R                 ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,Abundant clay minerals
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,P. striata striata,,171,1051,A,42,X,CC,38.00,399.7900,Blome    ,Radiolarians                                 ,C              ,VG                ,                        ,C                             ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,C                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,R                                 ,                  ,                   ,                          ,                    ,                                ,R                 ,C                   ,F                   ,C                  ,F               ,C                 ,R                 ,R                    ,                    ,C                           ,R                    ,R                  ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,P. striata striata,,171,1051,A,43,X,CC,47.00,409.4600,Blome    ,Radiolarians                                 ,C              ,VG                ,                        ,C                             ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,R                                 ,                  ,                   ,                          ,                    ,A                               ,                  ,C                   ,F                   ,C                  ,R               ,C                 ,R                 ,R                    ,R                   ,C                           ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,P. striata striata,,171,1051,A,44,X,CC,42.00,418.9700,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,A                             ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,F                                 ,                  ,                   ,                          ,                    ,F                               ,R                 ,F                   ,R                   ,                   ,R               ,C                 ,                  ,                     ,F                   ,C                           ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,P. striata striata,,171,1051,A,45,X,CC,41.00,428.5800,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,C                             ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,R                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,R                   ,R                               ,R                 ,C                   ,F                   ,                   ,                ,F                 ,                  ,R                    ,F                   ,C                           ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,B. clinata    ,,171,1051,A,46,X,CC,33.00,438.1600,Blome    ,Radiolarians                                 ,F              ,P                 ,                        ,F                             ,                             ,                                 ,                 ,F                 ,                  ,                       ,                       ,                 ,                 ,R                             ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,F                               ,                  ,R                   ,F                   ,F                  ,                ,F                 ,R                 ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,B. clinata    ,,171,1051,A,47,X,CC,52.00,447.7600,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,C                             ,                             ,                                 ,                 ,F                 ,                  ,                       ,                       ,C                ,                 ,C                             ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,R                                 ,                  ,                   ,                          ,                    ,F                               ,                  ,F                   ,R                   ,F                  ,R               ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,B. clinata    ,,171,1051,A,48,X,CC,52.00,457.3000,Blome    ,Radiolarians                                 ,C              ,M                 ,                        ,C                             ,                             ,                                 ,                 ,F                 ,                  ,                       ,                       ,                 ,                 ,F                             ,                     ,C                  ,                   ,                   ,                   ,                     ,                   ,                   ,F                                 ,                  ,                   ,                          ,F                   ,F                               ,R                 ,F                   ,F                   ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,"Abundant detritus, moderate to poor fauna"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Eocene     ,                  ,B. bidartensis,,171,1051,A,49,X,CC,33.00,460.4600,Blome    ,Radiolarians                                 ,C              ,M                 ,                        ,C                             ,                             ,                                 ,                 ,F                 ,                  ,                       ,                       ,                 ,                 ,C                             ,                     ,F                  ,                   ,F                  ,                   ,                     ,                   ,                   ,F                                 ,R                 ,                   ,                          ,C                   ,                                ,R                 ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,Moderately preserved fauna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Eocene     ,                  ,B. bidartensis,,171,1051,A,50,X,CC,47.00,467.4000,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,C                             ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,C                             ,                     ,F                  ,                   ,                   ,                   ,                     ,                   ,                   ,R                                 ,R                 ,                   ,                          ,F                   ,F                               ,R                 ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,Fauna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Eocene     ,                  ,B. bidartensis,,171,1051,A,52,X,CC,41.00,486.3900,Blome    ,Radiolarians                                 ,C              ,M                 ,                        ,C                             ,                             ,                                 ,                 ,C                 ,                  ,                       ,                       ,C                ,                 ,F                             ,                     ,A                  ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,F                         ,                    ,F                               ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,A lot of reworking of younger forms into sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Eocene     ,                  ,B. bidartensis,,171,1051,A,54,X,CC,43.00,504.1500,Blome    ,Radiolarians                                 ,F              ,M                 ,                        ,A                             ,                             ,                                 ,                 ,C                 ,                  ,                       ,                       ,                 ,                 ,C                             ,                     ,C                  ,                   ,                   ,                   ,                     ,                   ,                   ,F                                 ,R                 ,R                  ,R                         ,F                   ,                                ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,Most radiolarians recrystallized
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,                  ,B. bidartensis,,171,1051,A,56,X,CC,52.00,524.7200,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,                              ,                             ,                                 ,                 ,C                 ,                  ,                       ,                       ,                 ,R                ,C                             ,R                    ,C                  ,F                  ,R                  ,                   ,                     ,                   ,                   ,R                                 ,F                 ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,Fauna assigned to bottom of the B. bidartensis Zone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,                  ,B. bidartensis,,171,1051,A,57,X,CC,48.00,534.3800,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,A                             ,                             ,                                 ,                 ,C                 ,                  ,                       ,                       ,C                ,                 ,C                             ,F                    ,C                  ,F                  ,                   ,                   ,F                    ,F                  ,C                  ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,                  ,B. campechensis,,171,1051,A,58,X,CC,34.00,543.9100,Blome    ,Radiolarians                                 ,C              ,M                 ,                        ,C                             ,                             ,                                 ,                 ,C                 ,F                 ,                       ,                       ,                 ,C                ,C                             ,F                    ,                   ,F                  ,F                  ,                   ,                     ,F                  ,F                  ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleogene        ,                  ,B. campechensis,,171,1051,A,60,X,CC,34.00,556.1600,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,C                             ,                             ,                                 ,                 ,                  ,R                 ,                       ,                       ,C                ,                 ,F                             ,C                    ,C                  ,F                  ,C                  ,                   ,F                    ,F                  ,C                  ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,Deepest core catcher with best preservation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,                  ,B. campechensis,,171,1051,A,62,X,CC,60.00,572.6300,Blome    ,Radiolarians                                 ,F              ,M                 ,                        ,C                             ,                             ,                                 ,                 ,                  ,R                 ,                       ,                       ,                 ,C                ,R                             ,                     ,F                  ,R                  ,F                  ,F                  ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,"Few radiolarians preserved, mostly broken, fragmentary"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,                  ,B. campechensis,,171,1051,A,64,X,CC,62.00,592.1500,Blome    ,Radiolarians                                 ,R              ,P                 ,                        ,R                             ,                             ,                                 ,                 ,R                 ,                  ,                       ,R                      ,                 ,                 ,                              ,                     ,                   ,                   ,R                  ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,"Mostly clay preserved in strewn slide view, very few radiolarians, all poorly preserved"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,                  ,B. campechensis,,171,1051,A,66,X,CC,42.00,611.3000,Blome    ,Radiolarians                                 ,F              ,P                 ,                        ,F                             ,                             ,                                 ,                 ,R                 ,R                 ,                       ,                       ,R                ,R                ,                              ,                     ,                   ,R                  ,R                  ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,"Poorly preserved fauna, few whole"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,                  ,B. campechensis,,171,1051,A,68,X,CC,47.00,624.8300,Blome    ,Radiolarians                                 ,F              ,P                 ,                        ,F                             ,                             ,                                 ,                 ,                  ,                  ,                       ,R                      ,                 ,                 ,                              ,R                    ,R                  ,R                  ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,"Fe stained forms, abundant sponge spicules, few radiolarians whole"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,                  ,B. campechensis,,171,1051,A,70,X,CC,11.00,630.9000,Blome    ,Radiolarians                                 ,C              ,P                 ,                        ,C                             ,                             ,                                 ,                 ,F                 ,R                 ,R                      ,                       ,                 ,                 ,R                             ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,"Mostly broken, recrystallized tests"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,                  ,B. campechensis,,171,1051,A,72,X,CC,20.00,642.4700,Blome    ,Radiolarians                                 ,F              ,P                 ,                        ,C                             ,                             ,F                                ,                 ,F                 ,R                 ,                       ,F                      ,F                ,F                ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,"Fe-stained fauna, poorly preserved, recrystallized tests"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,                  ,B. campechensis,,171,1051,A,73,X,CC,20.00,643.9500,Blome    ,Radiolarians                                 ,C              ,M                 ,F                       ,C                             ,C                            ,C                                ,F                ,C                 ,F                 ,R                      ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,                  ,                  ,                     ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,"This fauna is assignable to the Peritiviator (?)  dumitricai Subzone (Dumitrica, 1992) of the Bekoma campechensis Zone"
