Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rutherfordoides sp. A,Suggrunda eckisi,Pullenia bulloides,Globocassidulina spp.,Elphidium spp.,Buliminella elegantissima,Buccella sp. A,Bolivina pacifica,Spirosigmoilina tenuis,Elphidium excavatum,Uvigerina senticosa,Triloculina sp. A,Textularia sp. A,Stainforthia complanata,Sphaeroidina bulloides,Nonionella turgida,Lagenid taxa,Gyroidina spp.,Globobulimina ovula,Globobulimina affinis,Cibicides wuellerstorfi,Melonis pompilioides,Gyroidina sp. A,Eggerella bradyi,Bolivina spp.,Valvulineria spp.,Valvulineria sp. A,Valvulineria laevigata,Melonis quadalupe,Gyroidinoides planulatus,Cibicides kullenbergi,Uvigerina dirupta,Stainforthia rotunda,Nodosariid taxa,Melonis barleeanus,Karreriella sp. A,Eponides turgida,Cibicides lobatulus,Cassidulina laevigata carinata,Pyrgo spp.,Pyrgo murrhina,Miliolina spp.,Chilostomellina fimbriata (?),Chilostomella oolina,Nonionella spp.,Cribroelphidium subarcticum,Bolivina seminuda,Rosalina sp. A,Pullenia quinqueloba,Oridorsalis tener,Nonionella cf. N. miocenica,Globobulimina pacifica,Cassidulinoides spp.,Valvulineria cf. V. inequalis,Gyroidina quinqueloba,Eggerella spp.,Eggerella parkerae,Nonion sp.,Baggina sp. A,Spirosigmoilinella spp.,Pullenia salisburyi,Lenticulina spp.,Gyroidinoides altiformis,Bulimina cf. B. inflata,Valvulineria inaequalis,Strebloides sp. A,Quinqueloculina sp.,Nonionellina labradorica,Chilostomella ovoidea,Buliminella tenuata,Stainforthia spp.,Nonionella digitata,Cibicidoides sp. A,Cibicidoides mckannai,Cribroelphidium foraminosum,Gyroidina gemma,Uvigerina cf. U. juncea,Martinottiella sp. A,Dentalina frobisherensis,Uvigerina hispida,Cibicidina cf. C. basiloba,Quinqueloculina akneriana,Agglutinated spp. (indeterminate),Bulimina barbata,Pullenia spp.,Miliolids species,Hoeglundina elegans,Bulimina rostrata,Comment
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H, 1, 104.00,     22.9400,Brunner  ,Benthic Foraminifers                         ,A              ,                  ,                     ,                ,+                 ,+                    ,              ,                         ,              ,                 ,                      ,                   ,                   ,                 ,                ,+                      ,                      ,                  ,+           ,              ,+                  ,                     ,+                      ,+                   ,               ,                ,             ,                 ,                  ,                      ,                 ,+                       ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,+             ,                             ,                    ,               ,                           ,+                ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,+                  ,                ,                        ,                       ,+                      ,+                ,                   ,                        ,                     ,+                  ,                 ,                   ,                  ,                     ,+                          ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H, 2,  37.00,     23.7700,Brunner  ,Benthic Foraminifers                         ,A              ,M                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,                 ,                      ,                   ,                   ,                 ,                ,+                      ,                      ,                  ,+           ,              ,+                  ,+                    ,+                      ,+                   ,               ,                ,             ,+                ,                  ,                      ,                 ,                        ,                     ,                 ,+                   ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,+                  ,                ,                        ,                       ,+                      ,+                ,                   ,                        ,+                    ,+                  ,                 ,                   ,                  ,                     ,+                          ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H, 2, 105.00,     24.4500,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,+                ,                      ,                   ,                   ,+                ,                ,                       ,                      ,                  ,+           ,              ,+                  ,                     ,+                      ,+                   ,+              ,                ,             ,                 ,                  ,                      ,                 ,                        ,+                    ,                 ,                    ,               ,                  ,                 ,+               ,+                  ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,+                   ,                             ,                     ,              ,+                 ,          ,             ,                       ,+                  ,                ,                        ,                       ,+                      ,+                ,                   ,                        ,                     ,+                  ,                 ,                   ,                  ,+                    ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H, 2, 140.00,     24.8000,Brunner  ,Benthic Foraminifers                         ,F              ,M                 ,                     ,                ,                  ,                     ,              ,+                        ,              ,                 ,                      ,                   ,+                  ,                 ,                ,                       ,+                     ,                  ,            ,              ,                   ,+                    ,+                      ,+                   ,+              ,                ,             ,                 ,                  ,                      ,                 ,                        ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,+                            ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,+                   ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,+                  ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H, 3,  37.00,     25.2700,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                     ,                ,                  ,+                    ,              ,                         ,              ,                 ,                      ,                   ,                   ,+                ,                ,                       ,                      ,                  ,+           ,              ,                   ,+                    ,+                      ,+                   ,               ,                ,             ,                 ,                  ,                      ,                 ,                        ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,+                ,                           ,                      ,+                   ,                             ,                     ,              ,                  ,          ,             ,                       ,+                  ,                ,                        ,                       ,+                      ,+                ,                   ,                        ,+                    ,+                  ,                 ,+                  ,+                 ,+                    ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H, 3, 115.00,     26.0500,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                     ,                ,                  ,+                    ,              ,                         ,              ,                 ,                      ,                   ,                   ,+                ,                ,+                      ,                      ,                  ,+           ,              ,                   ,+                    ,                       ,+                   ,+              ,                ,             ,                 ,                  ,                      ,                 ,+                       ,                     ,                 ,+                   ,               ,                  ,                 ,+               ,                   ,                              ,          ,              ,              ,+                            ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,+                 ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,+                ,                   ,                        ,                     ,+                  ,+                ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H, 4,  49.00,     26.8900,Brunner  ,Benthic Foraminifers                         ,A              ,G                 ,                     ,                ,+                 ,                     ,              ,                         ,              ,                 ,                      ,                   ,+                  ,                 ,                ,                       ,                      ,                  ,+           ,              ,+                  ,+                    ,+                      ,+                   ,               ,                ,             ,                 ,                  ,                      ,+                ,+                       ,                     ,                 ,                    ,               ,                  ,                 ,+               ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,+                ,              ,                    ,+                ,                           ,                      ,+                   ,                             ,                     ,              ,                  ,          ,             ,+                      ,+                  ,                ,+                       ,+                      ,                       ,+                ,                   ,+                       ,+                    ,+                  ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H, 4, 111.00,     27.5100,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,                 ,                      ,                   ,                   ,+                ,                ,+                      ,                      ,                  ,+           ,              ,+                  ,+                    ,+                      ,+                   ,+              ,+               ,             ,                 ,+                 ,                      ,                 ,+                       ,                     ,                 ,                    ,               ,                  ,                 ,+               ,                   ,+                             ,          ,              ,              ,                             ,+                   ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,+                       ,                       ,+                      ,+                ,                   ,+                       ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H, 5,  71.00,     28.6100,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,                 ,                      ,                   ,                   ,+                ,                ,+                      ,+                     ,                  ,+           ,              ,+                  ,                     ,                       ,                    ,+              ,                ,             ,+                ,                  ,                      ,                 ,                        ,                     ,+                ,                    ,               ,+                 ,                 ,+               ,                   ,                              ,          ,              ,+             ,                             ,+                   ,               ,                           ,+                ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,+                      ,+                ,                   ,+                       ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H, 5, 127.00,     29.1700,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                     ,                ,                  ,+                    ,              ,                         ,              ,                 ,                      ,                   ,                   ,+                ,                ,+                      ,                      ,                  ,+           ,+             ,                   ,+                    ,+                      ,+                   ,+              ,+               ,             ,                 ,                  ,                      ,                 ,                        ,                     ,                 ,+                   ,               ,+                 ,                 ,+               ,                   ,                              ,          ,              ,              ,+                            ,+                   ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,+                      ,+                ,+                  ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H, 6,  86.00,     30.2600,Brunner  ,Benthic Foraminifers                         ,C              ,G                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,+                ,                      ,                   ,+                  ,+                ,+               ,+                      ,                      ,                  ,+           ,              ,+                  ,+                    ,+                      ,+                   ,+              ,                ,             ,                 ,                  ,                      ,                 ,+                       ,                     ,+                ,                    ,               ,+                 ,                 ,+               ,+                  ,+                             ,          ,+             ,              ,+                            ,+                   ,               ,                           ,                 ,              ,                    ,+                ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,+                      ,+                  ,+               ,+                       ,+                      ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H,CC,  52.00,     32.1800,Brunner  ,Benthic Foraminifers                         ,F              ,G                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,                 ,                      ,                   ,+                  ,+                ,                ,                       ,                      ,                  ,            ,              ,                   ,                     ,                       ,+                   ,+              ,                ,             ,                 ,                  ,                      ,                 ,                        ,                     ,                 ,                    ,               ,+                 ,                 ,                ,+                  ,+                             ,+         ,              ,              ,                             ,                    ,               ,                           ,                 ,+             ,                    ,                 ,                           ,+                     ,                    ,                             ,                     ,              ,                  ,+         ,+            ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  5,H, 4,   9.00,     35.9900,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                     ,                ,+                 ,                     ,              ,                         ,              ,                 ,                      ,                   ,+                  ,                 ,                ,+                      ,+                     ,                  ,+           ,              ,                   ,+                    ,+                      ,+                   ,+              ,+               ,+            ,                 ,                  ,                      ,                 ,                        ,+                    ,                 ,                    ,               ,                  ,                 ,+               ,+                  ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,+                ,                           ,+                     ,                    ,+                            ,+                    ,+             ,+                 ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  5,H,CC,  25.00,     41.5000,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                     ,                ,                  ,                     ,              ,                         ,              ,+                ,                      ,                   ,+                  ,                 ,                ,+                      ,                      ,                  ,+           ,              ,                   ,+                    ,+                      ,                    ,+              ,                ,             ,                 ,                  ,+                     ,                 ,                        ,                     ,                 ,                    ,               ,                  ,                 ,+               ,                   ,+                             ,          ,              ,              ,                             ,                    ,               ,                           ,+                ,+             ,+                   ,+                ,+                          ,+                     ,+                   ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  6,H, 5,  45.00,     47.3500,Brunner  ,Benthic Foraminifers                         ,R              ,M                 ,                     ,                ,                  ,                     ,+             ,                         ,              ,                 ,                      ,                   ,                   ,                 ,                ,                       ,                      ,                  ,            ,              ,                   ,                     ,                       ,                    ,               ,                ,             ,                 ,                  ,                      ,                 ,                        ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  6,H,CC,  22.00,     50.7600,Brunner  ,Benthic Foraminifers                         ,C              ,G                 ,+                    ,+               ,                  ,+                    ,              ,                         ,              ,+                ,                      ,                   ,                   ,                 ,                ,+                      ,                      ,                  ,            ,              ,                   ,                     ,                       ,                    ,               ,                ,             ,+                ,                  ,                      ,                 ,                        ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,+              ,+                          ,+                ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  7,H, 4,   1.00,     53.6300,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                     ,                ,                  ,+                    ,              ,                         ,              ,                 ,                      ,                   ,+                  ,                 ,+               ,+                      ,+                     ,                  ,+           ,              ,+                  ,+                    ,+                      ,                    ,+              ,+               ,             ,                 ,                  ,                      ,                 ,                        ,                     ,+                ,                    ,               ,                  ,                 ,+               ,                   ,                              ,+         ,+             ,+             ,+                            ,+                   ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  7,H,CC,   0.00,     57.6700,Brunner  ,Benthic Foraminifers                         ,A              ,M                 ,                     ,                ,+                 ,                     ,              ,                         ,              ,                 ,                      ,                   ,                   ,                 ,                ,                       ,                      ,                  ,            ,              ,                   ,                     ,                       ,                    ,               ,                ,             ,                 ,                  ,                      ,                 ,                        ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  8,H, 5, 114.00,     67.0400,Brunner  ,Benthic Foraminifers                         ,C              ,G                 ,                     ,                ,                  ,+                    ,              ,                         ,              ,+                ,                      ,                   ,                   ,+                ,+               ,+                      ,                      ,                  ,+           ,              ,                   ,                     ,+                      ,+                   ,+              ,                ,             ,                 ,+                 ,                      ,                 ,+                       ,                     ,+                ,+                   ,+              ,+                 ,+                ,+               ,+                  ,+                             ,          ,              ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  8,H,CC,  32.00,     70.0600,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                     ,                ,+                 ,                     ,              ,                         ,              ,                 ,                      ,                   ,                   ,                 ,                ,                       ,                      ,                  ,            ,              ,                   ,                     ,                       ,                    ,               ,                ,             ,                 ,                  ,                      ,                 ,                        ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  9,H, 5,  79.00,     76.1900,Brunner  ,Benthic Foraminifers                         ,C              ,G                 ,                     ,                ,                  ,+                    ,              ,                         ,              ,                 ,                      ,                   ,                   ,+                ,+               ,+                      ,                      ,                  ,+           ,              ,                   ,+                    ,+                      ,                    ,+              ,+               ,             ,+                ,+                 ,+                     ,+                ,+                       ,+                    ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  9,H,CC,  28.00,     79.4500,Brunner  ,Benthic Foraminifers                         ,F              ,P                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,                 ,                      ,                   ,                   ,                 ,                ,+                      ,                      ,                  ,+           ,              ,                   ,                     ,                       ,+                   ,+              ,+               ,+            ,                 ,                  ,                      ,                 ,                        ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A, 10,H, 2,  12.00,     80.5200,Brunner  ,Benthic Foraminifers                         ,F              ,M                 ,                     ,                ,                  ,                     ,              ,                         ,              ,                 ,                      ,                   ,+                  ,+                ,+               ,+                      ,+                     ,+                 ,+           ,+             ,+                  ,+                    ,+                      ,                    ,               ,                ,             ,                 ,                  ,                      ,                 ,                        ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
