Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ammonia beccarii	Cibicidoides spp.	Gyroidinoides umbonatus ex. gr.	Eggerella bradyi	Planulina wuellerstorfi	Uvigerinid taxa	Oridorsalis umbonatus	Nuttallides umbonifera	Eponides tumidulus	Epistominella exigua	Dentalina/Nodosaria spp.	Lagena taxa	Melonis pompilioides	Gyroidinoides spp.	Oolina spp.	Nonion barleeanum	Gyroidina soldanii	Eponides weddellensis	Bolivina spp.	Pullenia spp.	Pyrgo spp.	Textularia taxa	Pullenia bulloides	Pleurostomella spp.	Laticarinina pauperata	Cibicidoides bradyi	Anomalinoides spp.	Valvulineria laevigata	Valvulineria arctica	Tosaia hanzawai	Stilostomella sp.	Stetsonia horvathi	Pullenia subcarinata	Lenticulina sp.	Fursenkoina fusiformis	Fissurina spp.	Epistominella takayanagii	Dentalina spp.	Cassidulina subglobosa	Melonis nicobarense	Globocassidulina subglobosa	Cassidulina spp.	Buliminid taxa	Gyroidinoides  laevigatus ex. gr.	Hoeglundina elegans	Buliminella spp.	Bolivinid taxa	Karreriella bradyi	Rhizammina algaeformis	Lenticulina spp.	Florilus boueanus	Sphaeroidina bulloides	Cibicides robertsonianus	Chilostomella oolina	Heterolepa spp.	Ehrenbergina hystrix	Rosalina globularis	Hanzawaia boueana	Elphidium spp.	Miliolids species	Reussella spinulosa	Hyalina balthica	Karreriella sp.	Quinqueloculina seminulum	Praebulimina sp.	Patellina corrugata	Hyalinea balthica	Heterohelix spp.	Gavelinopsis translucens	Elphidium sp.	Ehrenbergina sp.	Discorbis sp.	Cassidulina laevigata	Buliminoides sp.	Bulimina marginata	Uvigerina peregrina	Lagena spp.	Nodosaria sp.	Reussella sp.	Nonionella spp.	Trifarina sp.	Guembelitria sp.	Stainforthia spp.	Plectofrondicularia spp.	Pararotalia spp.	Gyroidinoides altiformis	Cymbaloporetta sp.	Bolivinita quadrilatera	Frondicularia sp.	Gavelinopsis lobatulus	Astrononion sp.	Amphistegina sp.	Fursenkoina spp.	Glabratella sp.	Cyclogyra involvens	Spirillina vivipara	Laryngosigma spp.	Siphotextularia rolshauseni	Triloculina sp.	Pyrgo williamsoni	Karreriella novangliae	Bulimina striata	Robulus sp.	Quinqueloculina stalkeri	Hanzawaia mexicana	Rosalina sp. 	Robertinoides charlottensis	Pyramidina sp.	Oolina hexagona	Spiroloculina spp.	Uvigerina asperula	Haynesina spp.	Florilus spp.	Quinqueloculina cultrata	Comment

  SR	                 	                 	                  	              	116	 717	C	 22	X	 4	   3.00	    174.0300	Scott    	Benthic Foraminifers                         	               	                  	                	                 	                               	R               	3                      	               	R                    	14                    	R                 	5                   	                        	           	                    	                  	           	                 	1                 	7                    	r28          	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	r1               	                  	6                   	               	2                     	R             	                         	              	9                     	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	r10             	rR                      	             	                	r1           	r3                   	r2              	r2                	r2                 	           	             	             	               	rR           	r5              	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	r1                	              	             	                        	No of species 23 No of individuals per 10 cubic cm - 189 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 22	X	 5	   6.00	    175.5700	Scott    	Benthic Foraminifers                         	               	                  	                	                 	                               	                	6                      	               	2                    	8                     	                  	2                   	                        	           	                    	                  	           	                 	                  	4                    	r35          	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	r1               	                  	1                   	               	1                     	R             	                         	1             	9                     	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	2                        	                	                   	                 	r7              	                        	             	                	rR           	r10                  	r1              	r4                	                   	           	             	             	               	             	r2              	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	R          	                        	                  	             	                           	rR            	               	                  	                  	              	             	                        	No of species 22 No of individuals per 10 cubic cm - 476 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 22	X	 5	  28.00	    175.7900	Iaccarino	Benthic Foraminifers                         	               	                  	                	3                	                               	                	1                      	               	2                    	39                    	1                 	4                   	2                       	1          	4                   	4                 	           	                 	                  	                     	             	             	          	1              	2                 	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	1                          	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	1                	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	 22	X	 5	  37.00	    175.8800	Iaccarino	Benthic Foraminifers                         	               	                  	                	1                	                               	2               	4                      	               	                     	14                    	                  	2                   	                        	           	                    	                  	           	                 	                  	                     	             	2            	          	               	2                 	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	4                                	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	 23	X	 1	   3.00	    179.0300	Scott    	Benthic Foraminifers                         	               	                  	                	                 	                               	                	                       	               	                     	12                    	                  	3                   	                        	           	                    	                  	           	                 	                  	3                    	r28          	             	          	               	                  	                   	                      	                   	                  	r3                    	                    	               	r9               	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	r3              	                   	                 	r25             	                        	             	                	             	r6                   	r3              	                  	r2                 	           	             	             	               	r3           	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	No of species 11 No of individuals per 10 cubic cm - 32 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 23	X	 1	 146.00	    180.4600	Iaccarino	Benthic Foraminifers                         	               	                  	                	                 	                               	1               	1                      	               	1                    	1                     	                  	2                   	                        	1          	                    	                  	           	                 	                  	                     	             	1            	          	1              	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	 23	X	 2	   3.00	    180.5300	Scott    	Benthic Foraminifers                         	               	                  	                	                 	                               	                	5                      	               	1                    	4                     	R                 	2                   	                        	           	                    	                  	           	                 	3                 	6                    	r34          	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	r2               	R                 	2                   	               	1                     	2             	R                        	R             	8                     	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	1                        	                	rR                 	                 	r14             	                        	             	                	r1           	r6                   	r1              	r2                	                   	R          	r1           	             	r1             	rR           	rR              	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	rR             	                   	                   	                 	                           	               	                 	                      	                	R          	                        	                  	             	                           	rR            	               	R                 	                  	              	             	                        	No of species 32 No of individuals per 10 cubic cm - 446 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 23	X	 3	   3.00	    182.0300	Scott    	Benthic Foraminifers                         	               	                  	rR              	                 	                               	                	6                      	               	R                    	5                     	R                 	1                   	                        	           	                    	                  	           	                 	2                 	6                    	r32          	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	r1               	                  	2                   	               	1                     	1             	                         	R             	10                    	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	2                        	r1              	rR                 	                 	r4              	r4                      	r2           	                	r2           	r8                   	r1              	r2                	r2                 	           	             	rR           	rR             	rR           	rR              	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	1              	                 	                      	R               	1          	                        	rR                	r1           	R                          	rR            	rR             	                  	                  	              	             	                        	No of species 38 No of individuals per 10 cubic cm - 99200 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 23	X	 3	  98.00	    182.9800	Iaccarino	Benthic Foraminifers                         	               	                  	                	                 	                               	                	                       	5              	                     	                      	5                 	                    	                        	1          	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	2               	              	                                 	                   	                	4             	                  	                      	                	                 	                      	                        	                    	               	                    	                   	2                	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	1                 	                   	           	             	             	               	             	                	1                	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	 23	X	 7	   3.00	    188.0300	Scott    	Benthic Foraminifers                         	               	                  	rR              	                 	                               	                	2                      	               	                     	1                     	                  	1                   	                        	           	                    	                  	           	                 	1                 	3                    	r44          	             	          	               	                  	                   	                      	                   	                  	rR                    	                    	               	r1               	R                 	2                   	               	4                     	R             	R                        	R             	7                     	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	2                        	r1              	                   	                 	r15             	r1                      	             	                	2            	r4                   	r3              	r2                	rR                 	R          	             	             	r1             	rR           	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	No of species 28 No of individuals per 10 cubic cm - 1128 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 23	X	CC	  34.00	    188.6700	Iaccarino	Benthic Foraminifers                         	               	                  	                	                 	                               	                	                       	               	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	1               	              	                                 	                   	                	1             	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	1                       	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	 24	X	 1	   6.00	    188.5600	Scott    	Benthic Foraminifers                         	               	                  	r1              	                 	                               	                	3                      	               	R                    	2                     	                  	2                   	                        	           	                    	                  	           	                 	1                 	7                    	r44          	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	r1               	                  	2                   	               	1                     	1             	                         	              	9                     	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	3                        	rR              	rR                 	                 	r7              	r2                      	r1           	                	r1           	r8                   	r1              	r1                	r1                 	R          	             	rR           	rR             	rR           	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	rR                      	rR                	             	                           	              	               	                  	                  	              	             	                        	No of species 31 No of individuals per 10 cubic cm - 10096 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 24	X	 1	 104.00	    189.5400	Iaccarino	Benthic Foraminifers                         	               	                  	                	                 	                               	8               	14                     	               	5                    	93                    	2                 	41                  	                        	7          	3                   	1                 	           	                 	                  	                     	             	2            	3         	1              	2                 	                   	                      	5                  	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	1                  	2                          	                	              	3                                	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	3                	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	2                	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	 24	X	 2	  57.00	    190.5700	Iaccarino	Benthic Foraminifers                         	               	                  	                	3                	                               	3               	                       	               	2                    	38                    	                  	2                   	1                       	4          	3                   	                  	           	                 	                  	                     	             	4            	          	1              	1                 	                   	                      	2                  	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	2                          	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	3              	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	 24	X	 3	   5.00	    191.5500	Scott    	Benthic Foraminifers                         	               	                  	                	                 	                               	                	                       	               	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	100                   	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	No of species 1 No of individuals per 10 cubic cm - 1 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 24	X	 4	  91.00	    193.9100	Iaccarino	Benthic Foraminifers                         	               	                  	                	1                	                               	1               	                       	               	                     	2                     	                  	4                   	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	1                 	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	2                  	                           	1               	              	1                                	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	 24	X	 4	 100.00	    194.0000	Scott    	Benthic Foraminifers                         	               	                  	                	                 	                               	                	4                      	               	R                    	4                     	R                 	7                   	                        	           	                    	                  	           	                 	6                 	17                   	r27          	             	          	               	R                 	                   	                      	                   	                  	                      	                    	               	r1               	                  	6                   	               	R                     	2             	R                        	R             	11                    	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	R                        	                	                   	                 	r4              	                        	             	                	r2           	r2                   	                	                  	r1                 	           	             	             	r2             	             	rR              	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	R          	                        	                  	             	                           	              	               	                  	                  	              	             	                        	No of species 24 No of individuals per 10 cubic cm - 2488 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 24	X	 5	   9.00	    194.5900	Scott    	Benthic Foraminifers                         	               	                  	                	                 	                               	                	                       	               	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	100                   	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	No of species 1 No of individuals per 10 cubic cm - 44 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 24	X	 5	  20.00	    194.7000	Iaccarino	Benthic Foraminifers                         	               	                  	                	14               	                               	20              	35                     	               	85                   	117                   	1                 	10                  	4                       	24         	18                  	15                	           	                 	                  	                     	             	7            	3         	4              	22                	                   	                      	                   	10                	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	13                 	6                          	1               	1             	                                 	                   	                	              	                  	                      	2               	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221
