Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerina bulloides	Neogloboquadrina atlantica (sinistral)	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina atlantica (dextral)	Turborotalita quinqueloba	Neogloboquadrina pachyderma (dextral)	Globigerinita glutinata	Incertae sedis (planktonic foraminifer)	Globigerina quinqueloba	Comment
  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 52	R	 4	  30.00	    882.9000	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 52	R	 5	  32.00	    884.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	F                                     	                                       	R                                   	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 52	R	 6	  32.00	    885.9200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	F                                     	                                       	                                    	R                        	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 52	R	 7	  32.00	    887.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	                                       	R                                   	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 53	R	 1	  32.00	    887.9200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 53	R	 2	  32.00	    889.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	R                                   	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 53	R	 3	  32.00	    890.9200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 53	R	 4	  32.00	    892.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	R                                      	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 53	R	 5	  32.00	    893.9200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 53	R	 6	  32.00	    895.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 54	R	 1	  32.00	    897.6200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

