Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ventilabrella multicamerata,Rugoglobigerina rugosa,Rugoglobigerina rotundata,Rugoglobigerina pennyi,Rugoglobigerina hexacamerata,Racemiguembelina fructicosa,Pseudotextularia elegans,Pseudoguembelina hariaensis,Pseudoguembelina excolata,Pseudoguembelina costulata,Heterohelix rajagopalani,Heterohelix globulosa,Heterohelix dentata,Globotruncanita stuartiformis,Globotruncanita stuarti,Globotruncanita conica,Globotruncanella petaloidea,Globotruncanella havanensis,Globotruncana rosetta,Globotruncana orientalis,Globotruncana linneiana,Globotruncana arca,Contusotruncana walfischensis,Contusotruncana contusa,Abathomphalus mayaroensis,Abathomphalus intermedius,Pseudotextularia nuttalli,Praemurica uncinata,Praemurica inconstans,Parasubbotina pseudobulloides,Morozovella praeangulata,Morozovella conicotruncata,Morozovella angulata,Igorina pusilla,Morozovella velascoensis,Morozovella pasionensis,Igorina albeari,Globanomalina pseudomenardii,Subbotina velascoensis,Morozovella subbotinae,Morozovella occlusa,Morozovella apanthesma,Morozovella aequa,Acarinina nitida,Acarinina mckannai,Globanomalina australiformis,Acarinina soldadoensis,Acarinina coalingensis,Morozovella gracilis,Morozovella formosa,Morozovella aragonensis,Acarinina primitiva,Morozovella spinulosa,Igorina broedermanni,Acarinina pentacamerata,Morozovella caucasica,Globigerinatheka subconglobata,Globigerinatheka senni,Acarinina quetra,Truncorotaloides rohri,Acarinina bullbrooki,Hantkenina sp.,Guembelitrioides higginsi,Globigerinatheka mexicana,Subbotina angiporoides,Globigerina euapertura,Catapsydrax unicavus,Pseudohastigerina naguewichiensis,Pseudohastigerina micra,Globigerina angustiumbilicata,Catapsydrax dissimilis,Cassigerinella chipolensis,Sphaeroidinellopsis seminulina,Orbulina universa,Globoturborotalita druryi,Globorotalia scitula,Globorotalia miozea,Globoquadrina venezuelana,Globoquadrina dehiscens,Fohsella peripheroronda,Fohsella peripheroacuta,Dentoglobigerina altispira,Orbulina bilobata,Globoturborotalita woodi,Globoturborotalita nepenthes,Globoturborotalita decoraperta,Neogloboquadrina continuosa,Globorotalia plesiotumida,Globorotalia menardii,Globigerina bulloides,Neogloboquadrina acostaensis,Globorotalia tumida,Globorotalia margaritae,Globigerinoides sacculifer,Sphaeroidinella dehiscens s.l.,Globorotalia puncticulata,Globorotalia hirsuta,Globorotalia challengeri,Globoconella conomiozea,Neogloboquadrina pachyderma (dextral),Neogloboquadrina humerosa,Neogloboquadrina dutertrei,Globigerinoides trilobus,Globigerinoides conglobatus,Truncorotalia tosaensis,Truncorotalia crassaformis,Globorotalia crassula,Globigerinoides obliquus,Globigerinoides extremus,Globorotalia inflata,Globigerinoides ruber,Truncorotalia truncatulinoides,Pulleniatina primalis,Pulleniatina obliquiloculata,Orbulina suturalis,Comment
  IR,                 ,Middle Eocene    ,P9                ,P9            ,198,1210,A, 16,H,CC,   9.00,    148.5700,planks   ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,F                      ,R                  ,R                    ,F                   ,F                      ,F                    ,                              ,                      ,R               ,R                     ,F                   ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,P9                ,P9            ,198,1210,A, 17,H,CC,  15.00,    158.1300,planks   ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,F                     ,                      ,                    ,                   ,F                      ,                   ,                     ,                    ,F                      ,F                    ,F                             ,F                     ,R               ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,P8                ,P7            ,198,1210,A, 18,H,CC,  14.00,    167.4400,planks   ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,F                     ,                   ,                      ,                 ,                ,                  ,                            ,F                     ,                      ,                    ,F                  ,F                      ,R                  ,F                    ,F                   ,F                      ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,P7                ,P7            ,198,1210,A, 19,H,CC,  14.00,    177.1700,planks   ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,F                     ,                   ,                      ,                 ,                ,                  ,                            ,F                     ,                      ,F                   ,F                  ,F                      ,R                  ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Paleocene   ,P5                ,P5            ,198,1210,A, 20,H,CC,  12.00,    186.5900,planks   ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,F                       ,F                      ,               ,                            ,F                     ,F                     ,F                  ,                      ,                 ,                ,                  ,F                           ,F                     ,F                     ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Paleocene   ,P4c               ,P4b           ,198,1210,A, 21,H,CC,  14.00,    195.8800,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,F              ,F                       ,F                      ,               ,F                           ,F                     ,+                     ,F                  ,F                     ,R                ,F               ,F                 ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Paleocene   ,P4a               ,P3b           ,198,1210,A, 22,H,CC,  10.00,    205.6800,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,F                         ,F                   ,F              ,F                       ,F                      ,F              ,F                           ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,P3a               ,P3a           ,198,1210,A, 23,H,CC,  17.00,    215.1700,planks   ,Planktonic Foraminifers                      ,T              ,M                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,R                  ,F                    ,F                            ,F                       ,F                         ,F                   ,F              ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Paleocene  ,Maestrichtian    ,P1a               ,KS31          ,198,1210,A, 24,H,CC,  24.00,    224.1300,planks   ,Planktonic Foraminifers                      ,T              ,M                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,+                    ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,KS31              ,KS31          ,198,1210,A, 25,H,CC,  15.00,    234.1700,planks   ,Planktonic Foraminifers                      ,R              ,M                 ,R                          ,R                     ,F                        ,                      ,F                           ,F                          ,R                       ,                           ,F                        ,F                         ,F                       ,F                    ,                   ,                             ,R                      ,                      ,F                          ,F                          ,F                    ,                        ,                       ,                  ,R                            ,F                      ,R                        ,R                        ,R                        ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,white ooze with drk gry clyst clasts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,KS31              ,KS31          ,198,1210,A, 26,H,CC,   8.00,    235.1200,planks   ,Planktonic Foraminifers                      ,R              ,M                 ,R                          ,R                     ,                         ,                      ,F                           ,F                          ,R                       ,                           ,F                        ,F                         ,F                       ,F                    ,                   ,F                            ,F                      ,                      ,F                          ,F                          ,F                    ,                        ,                       ,                  ,                             ,F                      ,R                        ,F                        ,R                        ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,"chert bits, pyrite + pyritized burrows or charcoal(?)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,KS31              ,KS31          ,198,1210,A, 27,H,CC,   9.00,    242.3800,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,F                          ,R                     ,F                        ,F                     ,A                           ,F                          ,R                       ,R                          ,F                        ,F                         ,F                       ,F                    ,F                  ,F                            ,F                      ,R                     ,F                          ,F                          ,F                    ,F                       ,F                      ,R                 ,R                            ,F                      ,R                        ,R                        ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
