Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygodiscus diplogrammus	Watznaueria pseudomanivitae	Watznaueria communis	Watznaueria barnesae	Tranolithus manifestus	Tranolithus exiguus	Quadrum trifidum	Quadrum sissinghii	Quadrum gothicum	Quadrum gartneri	Prediscosphaera cretacea	Parhabdolithus angustus	Micula decussata	Microrhabdulus decoratus	Manivitella pemmatoidea	Lithraphidites carniolensis	Eiffellithus turriseiffelii	Cribrosphaerella ehrenbergii	Cretarhabdus surirellus	Cretarhabdus striatus	Cretarhabdus crenulatus	Cretarhabdus coronadventiis	Cretarhabdus conicus	Coccolithus crassus	Chiastozygus litterarius	Arkhangelskiella cymbiformis	Watznaueria britannica	Tranolithus phacelosus	Prediscosphaera spinosa	Prediscosphaera columnata	Vagalapilla stradneri	Tegumentum stradneri	Reinhardtites levis	Zygodiscus spiralis	Zygodiscus elegans	Tranolithus gabalus	Prediscosphaera grandis	Biscutum constans	Lucianorhabdus cayeuxii	Parhabdolithus asper	Parhabdolithus embergeri	Discorhabdus rotatorius	Watznaueria manivitae	Prediscosphaera honjoi	Ahmuellerella octoradiata	Eiffellithus sp.	Octocyclus sp.	Micula prinsii	Microrhabdulus attenuatus	Micula murus	Micula concava	Podorhabdus sp.	M. ondosus	Placozygus sigmoides	Markalius inversus	Thoracosphaera saxea	Thoracosphaera operculata	Prinsius martinii	Prinsius bisulcus	Markalius astroporus	Fasciculithus ulii	Fasciculithus tympaniformis	Fasciculithus involutus	Ericsonia subpertusa	Ericsonia robusta	Ericsonia ovalis	Ellipsolithus macellus	Cruciplacolithus tenuis	Cruciplacolithus intermedius	Cruciplacolithus edwardsii	Cruciplacolithus asymmetricus	Coccolithus pelagicus	Chiasmolithus danicus	Biantholithus sparsus	Neococcolithes protenus	Neochiastozygus saepes	Fasciculithus stonehengei	Fasciculithus janii	Biscutum sp.	T. crassa	Fasciculithus sp.	Braarudosphaera sp. 1	Fasciculithus pileatus	Zygrhablithus bijugatus	Toweius crassus	Thoracosphaera prolata	Sphenolithus radians	Sphenolithus moriformis	Pontosphaera versa	Discoaster sp. 1	Discoaster multiradiatus	Discoaster lodoensis	Discoaster lenticularis	Discoaster kuepperi	Discoaster gemmifer	Discoaster diastypus	Discoaster barbadiensis	Coronocyclus nitescens	Coccolithus formosus	Coccolithus eopelagicus	Chiasmolithus grandis	Chiasmolithus consuetus	Campylosphaera dela	Calcidiscus kingii	Ellipsolithus lajollaensis	Discoaster binodosus	Sphenolithus spiniger	Pedinocyclus larvalis	Coccolithus jugatus	Striatococcolithus pacificanus	Reticulofenestra dictyoda	Discolithina rimosa	Toweius gammation	Chiasmolithus bidens	Dictyococcites scrippsae	Neococcolithes dubius	Reticulofenestra pseudoumbilica	Discoaster variabilis	Discoaster moorei	Discoaster kugleri	Discoaster exilis	Discoaster druggii	Reticulofenestra sp. (small)	Discoaster subsurculus	Discoaster deflandrei	Dictyococcites productus	Catinaster calyculus	Triquetrorhabdulus rugosus	Triquetrorhabdulus carinatus	Discoaster musicus	Dictyococcites antarcticus	Cyclicargolithus floridanus	Coccolithus miopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster woodringii	Discoaster surculus	Discoaster pentaradiatus	Discoaster pansus	Catinaster coalitus	Discoaster challengeri	Minylitha convallis	Discoaster prepentaradiatus	Discoaster neohamatus	Discoaster calcaris	Discoaster brouweri	Discoaster blackstockae	Discoaster bellus	Sphenolithus abies	Discoaster icarus	Syracosphaera histrica	Discoaster quinqueramus	Discoaster braarudii	Discoaster berggrenii	Amaurolithus primus	Discoaster intercalaris	Amaurolithus delicatus	Helicosphaera granulata	Amaurolithus tricorniculatus	Scyphosphaera globulata	Ceratolithus armatus	Ceratolithus rugosus	Helicosphaera sellii	Helicosphaera carteri	Discoaster asymmetricus	Discoaster quadramus	Triquetrorhabdulus farnsworthii	Pontosphaera multipora	Discoaster triradiatus	Scyphosphaera pacifica	Rhabdosphaera stylifera	Pseudoemiliania lacunosa	Discoaster tamalis	Gephyrocapsa sp. (small)	Rhabdosphaera clavigera	Scapholithus fossilis	Gephyrocapsa oceanica s.l.	Ceratolithus cristatus	Umbilicosphaera sibogae	Ceratolithus telesmus	Scyphosphaera aranta	Gephyrocapsa sp. (large)	Scyphosphaera amphora	Pontosphaera scutellum	Gephyrocapsa sp. 3	Emiliania huxleyi	Comment

  SR	Middle Miocene   	                 	CN5               	              	132	 810	C	 12	H	 1	  23.00	     97.6300	Premoli Silva	Nannofossils                                 	A              	P/M               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	A                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	A                              	C                    	C                	R                 	F                	R                 	F                           	F                     	                     	F                       	                    	F                         	RR                          	                  	F                         	                           	F                       	R                     	C                     	R                    	RR                 	RR                      	F                	RR                 	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Common reworking. Questionable identity of Catinaster coalitus and Discoaster pentaradiatus and Discoaster surculus. from 132SR. Chapter 2. Figure 6. page 20.

  SR	Middle Miocene   	                 	CN5               	              	132	 810	C	 12	H	 1	  66.00	     98.0600	Premoli Silva	Nannofossils                                 	A              	P/M               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	R                      	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	A                              	C                    	R                	F                 	C                	F                 	F                           	F                     	                     	F                       	                    	F                         	                            	                  	C                         	                           	F                       	R                     	C                     	R                    	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Common reworking. from 132SR. Chapter 2. Figure 6. page 20.

  SR	Middle Miocene   	                 	CN5               	              	132	 810	C	 12	H	 1	 120.00	     98.6000	Premoli Silva	Nannofossils                                 	A              	P/M               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	F                      	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	C                              	C                    	R                	F                 	C                	F                 	F                           	                      	F                    	F                       	                    	R                         	                            	R                 	F                         	                           	                        	R                     	F                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Common reworking. from 132SR. Chapter 2. Figure 6. page 20.

  SR	Middle Miocene   	                 	CN5               	              	132	 810	C	 12	H	 2	   5.00	     98.9500	Premoli Silva	Nannofossils                                 	A              	M                 	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	R                      	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	C                              	C                    	F                	F                 	A                	F                 	F                           	                      	F                    	F                       	                    	R                         	R                           	F                 	F                         	RR                         	F                       	R                     	F                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Common to Abundant reworking. Questionable identity of Cyclicargolithus floridanus. from 132SR. Chapter 2. Figure 6. page 20.

  SR	Middle Miocene   	                 	CN5               	              	132	 810	C	 12	H	 2	  48.00	     99.3800	Premoli Silva	Nannofossils                                 	A              	M                 	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	F                   	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	C                      	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	F                              	C                    	R                	                  	C                	F                 	F                           	R                     	R                    	F                       	RR                  	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Very Abundant reworking. Questionable identity of Catinaster calyculus. from 132SR. Chapter 2. Figure 6. page 20.

  SR	Middle Miocene   	                 	CN5               	              	132	 810	C	 12	H	 2	  75.00	     99.6500	Premoli Silva	Nannofossils                                 	A              	M                 	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	F                   	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	R                      	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	F                              	F                    	F                	R                 	C                	F                 	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Very Abundant reworking. from 132SR. Chapter 2. Figure 6. page 20.

  SR	Early Eocene     	                 	CP11              	              	132	 810	C	 12	H	 2	 120.00	    100.1000	Premoli Silva	Nannofossils                                 	A              	M                 	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	F                   	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	A                      	               	                      	C                   	F                      	                  	                	                        	A                   	                       	C                  	F                  	                    	C                      	F                     	F                   	C                      	F                    	R                      	C                  	C                 	R                         	                    	C                    	F                    	C                  	R                             	F                        	F                  	                 	R                   	R                       	R                    	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 5. page 19.

  SR	Early Eocene     	                 	CP11              	              	132	 810	C	 12	H	 2	 147.00	    100.3700	Premoli Silva	Nannofossils                                 	A              	M                 	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	F                   	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	A                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	A                      	               	                      	R                   	F                      	                  	                	                        	A                   	                       	C                  	R                  	                    	C                      	F                     	F                   	C                      	C                    	R                      	A                  	C                 	                          	                    	C                    	F                    	C                  	R                             	R                        	F                  	                 	F                   	                        	R                    	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 5. page 19.

  SR	Early Eocene     	                 	CP11              	              	132	 810	C	 12	H	 3	  23.00	    100.6300	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	A                      	               	                      	F                   	F                      	                  	                	                        	C                   	                       	C                  	F                  	                    	C                      	F                     	C                   	C                      	C                    	R                      	A                  	C                 	                          	                    	C                    	F                    	F                  	R                             	F                        	F                  	                 	R                   	F                       	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 5. page 19.

  SR	Early Eocene     	                 	CP11              	              	132	 810	C	 12	H	 3	  75.00	    101.1500	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	F                   	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	A                      	               	                      	F                   	F                      	                  	                	                        	A                   	                       	C                  	                   	                    	F                      	F                     	C                   	A                      	C                    	F                      	A                  	C                 	                          	                    	C                    	F                    	F                  	F                             	F                        	F                  	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 5. page 19.

  SR	Early Eocene     	                 	CP11              	              	132	 810	C	 12	H	 3	 120.00	    101.6000	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	F                   	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	A                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	A                      	               	                      	F                   	F                      	                  	                	                        	A                   	                       	C                  	                   	R                   	R                      	F                     	C                   	C                      	C                    	R                      	A                  	C                 	                          	                    	F                    	F                    	F                  	F                             	F                        	R                  	R                	R                   	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 5. page 19.
