Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Thoracosphaera saxea,Sphenolithus spiniger,Sphenolithus radians,Sphenolithus moriformis,Sphenolithus furcatolithoides,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Pontosphaera multipora,Pemma stradnerii,Pemma basquensis,Nannotetrina cristata,Helicosphaera seminulum,Helicosphaera lophota,Ericsonia obruta,Ericsonia formosa,Discoaster strictus,Discoaster saipanensis,Discoaster deflandrei,Discoaster binodosus,Discoaster barbadiensis,Cyclicargolithus pseudogammation,Coronocyclus prionion,Coccolithus pelagicus,Chiasmolithus titus,Chiasmolithus solitus,Chiasmolithus grandis,Braarudosphaera discula,Braarudosphaera bigelowii,Umbellosphaera irregularis,Thoracosphaera spp.,Syracosphaera spp.,Scapholithus fossilis,Rhabdosphaera spp.,Reticulofenestra spp. (small - medium),Reticulofenestra spp. (large),Pseudoemiliania lacunosa E,Pseudoemiliania lacunosa C,Oolithotus antillarum,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Gephyrocapsa sp. 3,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Emiliania huxleyi,Cyclolithus annulus,Calcidiscus macintyrei,Calcidiscus leptoporus,Comment
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 4, 135.00,     13.3500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.0%0                      ,.2%1               ,.0%0              ,.2%1                 ,.0%0              ,.0%0                                  ,.0%0                         ,2.6%13                    ,.6%3                      ,.0%0                 ,.2%1                ,3.0%15               ,77.3%388                 ,2.4%12                   ,.0%0              ,4.8%24                    ,6.0%30                   ,.0%0             ,.4%2               ,.0%0                  ,2.2%11                ,Total count = 502; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 5,  25.00,     13.7500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.4%2                      ,.0%0               ,.0%0              ,.0%0                 ,.0%0              ,.0%0                                  ,.0%0                         ,2.1%11                    ,.4%2                      ,.2%1                 ,1.0%5               ,5.1%27               ,72.5%382                 ,.0%0                     ,.0%0              ,8.0%42                    ,7.0%37                   ,.0%0             ,.4%2               ,.0%0                  ,3.0%16                ,Total count = 527; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 5,  80.00,     14.3000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.9%5                      ,.2%1               ,.6%3              ,.0%0                 ,.0%0              ,2.0%11                                ,.0%0                         ,7.9%43                    ,1.5%8                     ,.0%0                 ,.4%2                ,1.3%7                ,67.1%365                 ,.0%0                     ,.0%0              ,3.9%21                    ,7.7%42                   ,.0%0             ,3.7%20             ,.0%0                  ,2.9%16                ,Total count = 544; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 5, 135.00,     14.8500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.7%4                      ,.0%0               ,.6%3              ,.0%0                 ,.2%1              ,1.3%7                                 ,.0%0                         ,13.4%72                   ,1.3%7                     ,.0%0                 ,1.1%6               ,.9%5                 ,66.9%360                 ,.0%0                     ,.0%0              ,1.5%8                     ,8.4%45                   ,.0%0             ,2.2%12             ,.0%0                  ,1.3%7                 ,Total count = 538; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 6,  25.00,     15.2500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,1.3%7                     ,.0%0               ,.8%4              ,.0%0                 ,.0%0              ,1.3%7                                 ,.0%0                         ,11.8%63                   ,2.8%15                    ,.0%0                 ,.8%4                ,1.9%10               ,68.1%365                 ,.0%0                     ,.0%0              ,1.9%10                    ,5.6%30                   ,.0%0             ,1.5%8              ,.0%0                  ,2.4%13                ,Total count = 536; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 6,  80.00,     15.8000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,1.1%6                     ,.0%0               ,.7%4              ,.0%0                 ,.0%0              ,2.2%12                                ,.0%0                         ,4.1%23                    ,.9%5                      ,2.0%11               ,.9%5                ,2.5%14               ,52.4%292                 ,.0%0                     ,.0%0              ,5.6%31                    ,22.8%127                 ,.0%0             ,1.3%7              ,.0%0                  ,3.6%20                ,Total count = 557; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 6, 135.00,     16.3500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.9%5                      ,.2%1               ,.5%3              ,.0%0                 ,.0%0              ,4.4%26                                ,.0%0                         ,5.4%32                    ,1.4%8                     ,4.6%27               ,1.9%11              ,1.9%11               ,47.9%283                 ,.0%0                     ,.0%0              ,3.1%18                    ,15.2%90                  ,.0%0             ,8.1%48             ,.5%3                  ,4.2%25                ,Total count = 591; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  3,H, 1,  25.00,     17.2500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.4%2                 ,                   ,                     ,                     ,                       ,                         ,.4%2                      ,.2%1               ,.2%1              ,.0%0                 ,.0%0              ,2.8%15                                ,.0%0                         ,17.4%92                   ,3.2%17                    ,.4%2                 ,4.0%21              ,3.2%17               ,55.7%295                 ,.0%0                     ,.0%0              ,1.3%7                     ,7.0%37                   ,.0%0             ,.2%1               ,.9%5                  ,2.8%15                ,Total count = 530; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  3,H, 1,  80.00,     17.8000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.9%5                 ,                   ,                     ,                     ,                       ,                         ,.4%2                      ,.0%0               ,.0%0              ,.0%0                 ,.0%0              ,16.5%93                               ,.0%0                         ,10.6%60                   ,3.0%17                    ,2.7%15               ,2.1%12              ,2.7%15               ,48.7%275                 ,.0%0                     ,.0%0              ,.0%0                      ,.5%3                     ,.0%0             ,2.7%15             ,2.0%11                ,7.4%42                ,Total count = 565; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  3,H, 1, 135.00,     18.3500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.0%0                      ,.2%1               ,.4%2              ,.0%0                 ,.0%0              ,43.2%229                              ,.0%0                         ,10.9%58                   ,1.3%7                     ,.9%5                 ,.8%4                ,1.3%7                ,36.8%195                 ,.0%0                     ,.0%0              ,.0%0                      ,.0%0                     ,.0%0             ,.9%5               ,1.5%8                 ,1.7%9                 ,Total count = 530; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CC13(Perch-Neilsen),              ,144, 871,A, 15,H,CC,  13.00,    139.2700,Watkins  ,Nannofossils                                 ,C              ,M                 ,R                      ,F                   ,A                    ,C                   ,A                      ,C                            ,C                        ,F                                ,R                     ,R               ,F               ,R                    ,R                      ,R                    ,R               ,A                ,F                  ,F                     ,R                    ,F                   ,F                      ,C                               ,R                    ,F                    ,R                  ,C                    ,R                    ,R                      ,R                        ,                          ,                   ,                  ,                     ,                  ,                                      ,                             ,                          ,                          ,                     ,                    ,                     ,                         ,                         ,                  ,                          ,                         ,                 ,                   ,                      ,                      ,from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
