Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitellinata angustiumbilicata,Tenuitella gemma,Tenuitella clemenciae,Paragloborotalia mayeri,Paragloborotalia continuosa,Globoturborotalita woodi s. I,Globoquadrina venezuelana,Globoquadrina praedehiscens,Globoquadrina binaiensis,Globigerinoides trilobus s.l.,Globigerinoides ruber  s. I. (white),Globigerinoides obliquus,Globigerinoides altiapertura,Globigerinita glutinata,Globigerinella praesiphonifera,Globigerina praebulloides,Globigerina ouachitaensis s. I,Dentoglobigerina larmeui,Dentoglobigerina baroemoenensis,Dentoglobigerina altispira,Catapsydrax unicavus,Cassigerinella chipolensis,Globorotaloides suteri,Globigerinita uvula,Globigerina angulisuturalis,Globoquadrina dehiscens,Globigerina ciperoensis,Paragloborotalia kugleri,Globigerinoides primordius,Globigerinatella sp.,Catapsydrax dissimilis,Globigerinatella insueta,Globigerinoides bisphericus,Fohsella peripheroronda,Globorotalia praescitula,Praeorbulina sicana,Globigerinoides mitra,Praeorbulina curva,Globorotalia archeomenardii,Praeorbulina glomerosa,Praeorbulina circularis,Orbulina suturalis,Clavatorella bermudezi,Fohsella peripheroacuta,Pulleniatina obliquiloculata,Orbulina universa,Fohsella praefohsi,Fohsella fohsi,Sphaeroidinellopsis disjuncta,Globorotalia praemenardii,Fohsella lobata,Globorotalia tumida,Globoturborotalita tenella,Globorotalia menardii s.l.,Globigerinoides conglobatus,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Globoturborotalita rubescens,Globorotalia hexagonus,Fohsella robusta,Globigerina bulloides s. I.,Sphaeroidinella dehiscens,Pulleniatina finalis,Globorotalia truncatulinoides,Sphaeroidinella excavata,Globorotalia crassaformis,Globigerinoides sacculifer,Globigerinoides fistulosus,Streptochilus spp.,Neogloboquadrina acostaensis,Globoturborotalita nepenthes,Globorotalia plesiotumida,Globorotalia limbata,Globigerinoides extremus,Globigerinella siphonifera,Globorotalia multicamerata,Sphaeroidinellopsis paenedehiscens,Pulleniatina primalis,Pulleniatina praecursor,Neogloboquadrina humerosa,Globorotalia ungulata,Globorotalia flexuosa,Globoquadrina sp.,Neogloboquadrina dutertrei,Globorotalia tosaensis,Globorotalia pertenuis,Candeina nitida,Tenuitella iota,Globorotalia scitula,Globorotalia hirsuta,Globigerinoides ruber (pink),Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,144, 871,A,  3,H,CC,  21.00,     25.8100,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,R                            ,                         ,                           ,                        ,F                            ,                                    ,R                       ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,F                         ,                    ,                          ,                      ,R                  ,                           ,R                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,                            ,F                ,                  ,              ,                             ,                         ,               ,                   ,                          ,C                         ,                           ,R                             ,                         ,                            ,                      ,                ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,R                 ,R                           ,R                           ,R                        ,F                   ,F                       ,F                         ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  4,H, 1, 124.00,     27.7400,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,F                      ,F                          ,R                            ,                         ,                           ,                        ,F                            ,F                                   ,R                       ,                            ,R                      ,F                             ,                         ,                              ,                        ,R                              ,F                         ,                    ,R                         ,                      ,R                  ,                           ,F                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,R                 ,                      ,                       ,R                           ,R                ,                  ,R             ,                             ,F                        ,R              ,R                  ,                          ,R                         ,R                          ,R                             ,                         ,R                           ,                      ,R               ,                           ,R                        ,R                   ,R                            ,R                       ,R                        ,R                         ,R                         ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,severe downhole contamination; from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  4,H, 2,  59.00,     28.5900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,F                      ,F                          ,R                            ,F                        ,                           ,                        ,F                            ,F                                   ,F                       ,                            ,R                      ,F                             ,                         ,                              ,                        ,R                              ,F                         ,                    ,R                         ,                      ,R                  ,                           ,F                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,R                      ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,R                 ,                      ,                       ,R                           ,R                ,                  ,R             ,                             ,F                        ,F              ,R                  ,                          ,R                         ,                           ,R                             ,R                        ,                            ,                      ,R               ,                           ,R                        ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,severe downhole contamination; from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  4,H, 3,  59.00,     30.0900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,F                      ,C                          ,R                            ,R                        ,                           ,                        ,R                            ,C                                   ,R                       ,                            ,R                      ,F                             ,                         ,                              ,                        ,F                              ,C                         ,                    ,                          ,                      ,R                  ,                           ,F                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,R                           ,R                ,                  ,F             ,                             ,                         ,F              ,R                  ,                          ,R                         ,                           ,R                             ,                         ,                            ,                      ,R               ,                           ,R                        ,R                   ,R                            ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,severe downhole contamination; from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  4,H, 4,  59.00,     31.5900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,F                      ,F                          ,R                            ,R                        ,                           ,                        ,R                            ,F                                   ,F                       ,                            ,R                      ,F                             ,                         ,                              ,                        ,C                              ,F                         ,                    ,R                         ,                      ,                   ,                           ,F                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,R                 ,                      ,                       ,                            ,F                ,                  ,F             ,                             ,                         ,F              ,                   ,                          ,                          ,R                          ,R                             ,                         ,R                           ,                      ,F               ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,moderate downhole contamination; from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  4,H, 5,  59.00,     33.0900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,R                      ,R                          ,R                            ,R                        ,                           ,                        ,F                            ,F                                   ,F                       ,                            ,R                      ,F                             ,                         ,                              ,                        ,F                              ,F                         ,                    ,R                         ,                      ,R                  ,                           ,R                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,                            ,R                ,                  ,F             ,                             ,R                        ,F              ,                   ,                          ,                          ,                           ,R                             ,                         ,R                           ,R                     ,F               ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  4,H,CC,   0.00,     34.6600,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,R                    ,R                      ,R                          ,R                            ,R                        ,                           ,                        ,C                            ,C                                   ,F                       ,                            ,R                      ,R                             ,                         ,                              ,                        ,F                              ,F                         ,                    ,                          ,                      ,R                  ,                           ,R                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,                            ,R                ,                  ,F             ,                             ,R                        ,R              ,                   ,                          ,                          ,                           ,                              ,R                        ,R                           ,R                     ,                ,R                          ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  5,H, 1,  59.00,     36.5900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,R                      ,R                          ,R                            ,                         ,                           ,                        ,R                            ,F                                   ,R                       ,                            ,R                      ,R                             ,                         ,                              ,                        ,F                              ,F                         ,                    ,R                         ,                      ,R                  ,                           ,R                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,                            ,R                ,                  ,F             ,                             ,                         ,R              ,                   ,                          ,                          ,                           ,                              ,                         ,R                           ,                      ,                ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  5,H, 2,  59.00,     38.0900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,F                      ,F                          ,R                            ,R                        ,                           ,                        ,R                            ,F                                   ,C                       ,                            ,R                      ,R                             ,                         ,                              ,                        ,R                              ,R                         ,                    ,R                         ,                      ,R                  ,                           ,F                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,                            ,R                ,                  ,F             ,                             ,R                        ,R              ,R                  ,                          ,                          ,                           ,R                             ,                         ,R                           ,R                     ,                ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  5,H, 3,  59.00,     39.5900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,F                      ,F                          ,R                            ,R                        ,                           ,                        ,R                            ,F                                   ,C                       ,                            ,R                      ,R                             ,                         ,                              ,                        ,F                              ,C                         ,                    ,R                         ,                      ,R                  ,                           ,R                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,R                          ,                      ,                       ,R                 ,                      ,                       ,                            ,R                ,                  ,F             ,                             ,                         ,R              ,                   ,                          ,                          ,                           ,R                             ,                         ,                            ,                      ,R               ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  5,H, 4,  59.00,     41.0900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,R                      ,F                          ,R                            ,F                        ,                           ,                        ,F                            ,F                                   ,F                       ,                            ,R                      ,F                             ,                         ,                              ,                        ,F                              ,F                         ,                    ,R                         ,                      ,                   ,                           ,F                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,R                          ,                      ,                       ,                  ,                      ,                       ,                            ,R                ,                  ,F             ,                             ,                         ,               ,                   ,                          ,                          ,                           ,                              ,R                        ,R                           ,                      ,                ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  5,H, 4, 148.00,     41.9800,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,C                      ,F                          ,R                            ,R                        ,                           ,                        ,F                            ,F                                   ,F                       ,                            ,R                      ,F                             ,                         ,                              ,                        ,F                              ,F                         ,                    ,R                         ,                      ,R                  ,                           ,F                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,R                          ,                      ,                       ,                  ,                      ,                       ,                            ,R                ,                  ,F             ,                             ,                         ,R              ,                   ,                          ,                          ,                           ,R                             ,R                        ,R                           ,R                     ,                ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  6,H, 1,  60.00,     46.1000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,C                      ,R                          ,R                            ,R                        ,                           ,                        ,F                            ,F                                   ,F                       ,                            ,R                      ,R                             ,                         ,                              ,                        ,F                              ,F                         ,                    ,R                         ,                      ,R                  ,R                          ,R                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,R                 ,                      ,R                      ,R                           ,R                ,R                 ,F             ,                             ,                         ,R              ,R                  ,R                         ,R                         ,R                          ,                              ,                         ,                            ,                      ,                ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,severe downhole contamination; moderate reworking; from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  6,H, 2,  60.00,     47.6000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,C                      ,F                          ,R                            ,                         ,                           ,                        ,F                            ,F                                   ,F                       ,                            ,R                      ,                              ,                         ,                              ,                        ,F                              ,C                         ,                    ,                          ,                      ,R                  ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,R                          ,                      ,                       ,R                 ,                      ,                       ,                            ,R                ,R                 ,R             ,                             ,                         ,               ,R                  ,                          ,                          ,                           ,                              ,                         ,                            ,                      ,                ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,moderate downhole contamination; light reworking; from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  6,H, 3,  60.00,     49.1000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,F                      ,R                          ,R                            ,R                        ,                           ,                        ,C                            ,R                                   ,F                       ,                            ,R                      ,R                             ,                         ,                              ,                        ,F                              ,R                         ,                    ,                          ,                      ,                   ,                           ,R                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,R                          ,                      ,                       ,R                 ,                      ,R                      ,                            ,R                ,R                 ,R             ,R                            ,R                        ,R              ,                   ,                          ,                          ,                           ,                              ,                         ,                            ,                      ,                ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,moderate reworking; from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  6,H, 4,  60.00,     50.6000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,R                      ,R                          ,R                            ,                         ,                           ,                        ,R                            ,R                                   ,F                       ,                            ,R                      ,R                             ,                         ,                              ,                        ,F                              ,R                         ,                    ,R                         ,                      ,R                  ,                           ,R                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,R                          ,                      ,                       ,R                 ,                      ,                       ,                            ,R                ,R                 ,R             ,R                            ,                         ,               ,                   ,                          ,                          ,                           ,                              ,                         ,                            ,                      ,                ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,144, 871,A,  6,H, 5,  60.00,     52.1000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,F                      ,R                          ,R                            ,F                        ,                           ,                        ,R                            ,R                                   ,R                       ,                            ,R                      ,R                             ,                         ,                              ,                        ,F                              ,F                         ,                    ,                          ,                      ,R                  ,                           ,R                      ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,R                          ,                      ,                       ,R                 ,R                     ,                       ,                            ,                 ,R                 ,R             ,                             ,                         ,               ,                   ,                          ,                          ,                           ,                              ,                         ,                            ,                      ,                ,                           ,                         ,                    ,                             ,                        ,                         ,                          ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,                          ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,                 ,                          ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
