Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Globorotalia siakensis,Globorotalia menardii menardii (sinistral),Globorotalia mayeri,Globoquadrina dehiscens,Globigerinoides trilobus,Globorotalia continuosa,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinoides obliquus obliquus,Globigerina druryi,Globigerinita glutinata,Sphaeroidinellopsis seminulina,Globorotalia scitula,Globorotalia lenguaensis,Globigerina decoraperta,Globorotalia cf. Gr. conoidea,Globigerina nepenthes,Globorotalia menardii cultrata (sinistral),Dentoglobigerina altispira,Globigerinoides obliquus extremus,Globigerina woodi,Neogloboquadrina cf. Nq. acostaensis,Globigerinoides quadrilobatus,Globorotalia plesiotumida (sinistral),Orbulina suturalis,Globorotalia miozea,Neogloboquadrina acostaensis (sinistral),Globigerinoides sacculifer,Neogloboquadrina humerosa,Globigerina falconensis,Globorotalia menardii menardii (dextral),Globorotalia juanai,Globigerinella aequilateralis,Globorotalia conomiozea,Globorotalia margaritae primitivae,Globigerinoides conglobatus,Neogloboquadrina acostaensis (dextral),Globorotalia cf. Gr. conomiozea,Globorotalia margaritae,Globorotalia tumida,Hastigerina siphonifera,Globorotalia cf. Gr. multicamerata,Globorotalia menardii cultrata (dextral),Globigerina quinqueloba,Neogloboquadrina dutertrei,Globigerinoides elongatus,Neogloboquadrina pachyderma (dextral),Globorotalia multicamerata,Globorotalia pseudomiocenica,Globigerinoides ruber,Globorotalia puncticulata,Globorotalia crassaformis,Globorotalia miocenica,Globigerinoides pyramidalis,Globorotalia hirsuta,Globorotalia exilis,Globorotalia cf. Gr. miocenica,Globigerina rubescens,Globigerina bulloides,Globorotalia inflata,Turborotalita humilis,Globigerina helicina,Globorotalia crassula,Globigerina apertura,Globorotaloides hexagona,Globorotalia pseudopima,Globigerina calida praecalida,Globigerina calida cf. calida,Neogloboquadrina pachyderma (sinistral),Globorotalia pertenuis,Globorotalia crassaformis viola,Globigerina eamsi,Sphaeroidinella dehiscens,Globigerina cf. Gg. bulloides,Globigerinella obesa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL2               ,              ,157, 953,C,  9,R,CC,   0.00,    258.8900,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,                       ,C                             ,                    ,                        ,                       ,                             ,                     ,                                          ,C                         ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,                         ,                       ,F                                       ,                   ,                             ,                       ,                                  ,                           ,C                                     ,                               ,C                      ,                   ,                       ,                                  ,F                                       ,                       ,                          ,F                        ,                                     ,C                         ,F                           ,                     ,C                        ,C                        ,F                     ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL2               ,              ,157, 953,C, 10,R, 1,  79.00,    264.4900,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,                       ,C                             ,                    ,                        ,                       ,                             ,                     ,                                          ,                          ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,F                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,F                      ,                   ,F                      ,                                  ,                                        ,                       ,                          ,                         ,                                     ,F                         ,                            ,                     ,C                        ,C                        ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL2               ,              ,157, 953,C, 10,R,CC,  19.00,    267.8900,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,C                      ,C                             ,                    ,                        ,                       ,                             ,                     ,                                          ,                          ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,C                         ,F                        ,                       ,                                        ,                   ,                             ,                       ,                                  ,R                          ,                                      ,                               ,C                      ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,C                        ,C                        ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 11,R, 1, 121.00,    274.6100,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,                       ,F                             ,                    ,                        ,                       ,                             ,R                    ,                                          ,F                         ,A                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,F                        ,                       ,F                                       ,                   ,                             ,                       ,                                  ,R                          ,R                                     ,                               ,C                      ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,F                           ,R                    ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 11,R, 2, 115.00,    276.0500,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,                       ,C                             ,                    ,                        ,                       ,                             ,R                    ,                                          ,F                         ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,F                         ,C                        ,                       ,F                                       ,                   ,F                            ,                       ,                                  ,R                          ,                                      ,                               ,C                      ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 11,R, 3, 140.00,    277.8000,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,R                      ,F                             ,                    ,                        ,                       ,                             ,                     ,                                          ,F                         ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,F                                       ,F                         ,C                        ,                       ,C                                       ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,C                      ,                   ,                       ,                                  ,C                                       ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 11,R, 4, 133.00,    279.2300,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,                       ,C                             ,                    ,                        ,                       ,                             ,C                    ,                                          ,                          ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,C                        ,                       ,C                                       ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,C                      ,                   ,                       ,                                  ,C                                       ,                       ,C                         ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 11,R,CC,   0.00,    279.8800,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,F                                ,                  ,                       ,C                             ,                    ,                        ,                       ,                             ,F                    ,                                          ,A                         ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,C                        ,                       ,F                                       ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,C                      ,                   ,                       ,                                  ,F                                       ,                       ,C                         ,                         ,F                                    ,A                         ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 12,R, 1,  97.00,    283.9700,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,R                      ,C                             ,                    ,                        ,                       ,                             ,R                    ,                                          ,C                         ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,F                         ,C                        ,                       ,C                                       ,                   ,                             ,                       ,                                  ,F                          ,                                      ,                               ,A                      ,                   ,                       ,                                  ,F                                       ,                       ,F                         ,R                        ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 12,R, 2,  15.00,    284.6500,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,R                      ,                              ,                    ,                        ,                       ,                             ,                     ,                                          ,C                         ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,F                         ,C                        ,                       ,C                                       ,                   ,                             ,                       ,                                  ,                           ,F                                     ,                               ,A                      ,                   ,                       ,                                  ,C                                       ,R                      ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 12,R,CC,  18.00,    286.6100,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,                       ,F                             ,                    ,                        ,                       ,                             ,F                    ,                                          ,                          ,F                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,C                        ,                       ,                                        ,                   ,                             ,                       ,                                  ,R                          ,C                                     ,                               ,C                      ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 13,R, 1,  23.00,    292.9300,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,F                                ,                  ,R                      ,C                             ,                    ,                        ,                       ,                             ,                     ,                                          ,F                         ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,                         ,                       ,C                                       ,                   ,                             ,                       ,                                  ,F                          ,F                                     ,                               ,C                      ,                   ,                       ,                                  ,F                                       ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 13,R, 3,  24.00,    295.9400,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,R                      ,F                             ,                    ,                        ,                       ,                             ,                     ,                                          ,C                         ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,C                        ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,C                                     ,                               ,C                      ,                   ,                       ,                                  ,F                                       ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 13,R, 5,  33.00,    299.0300,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,A                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,F                      ,C                             ,                    ,                        ,                       ,                             ,F                    ,                                          ,C                         ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,R                         ,C                        ,                       ,C                                       ,                   ,                             ,                       ,                                  ,R                          ,C                                     ,                               ,A                      ,                   ,                       ,                                  ,C                                       ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 13,R,CC,  15.00,    300.9700,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                      ,                                          ,                   ,                       ,F                       ,                       ,F                        ,                            ,R                                ,                  ,F                      ,F                             ,                    ,                        ,                       ,                             ,R                    ,                                          ,                          ,R                                ,F                ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,F                        ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,F                                     ,                               ,F                      ,R                  ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 14,R, 1,  92.00,    303.3200,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,R                        ,                            ,F                                ,                  ,                       ,C                             ,                    ,                        ,                       ,                             ,C                    ,                                          ,C                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,C                                     ,                               ,C                      ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 14,R, 2,  41.00,    304.3100,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,R                                         ,                   ,                       ,                        ,                       ,                         ,                            ,                                 ,                  ,                       ,C                             ,                    ,                        ,                       ,                             ,A                    ,                                          ,F                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,                         ,                       ,                                        ,                   ,                             ,                       ,R                                 ,F                          ,F                                     ,                               ,F                      ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 14,R,CC,   0.00,    305.1700,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                      ,                                          ,                   ,                       ,F                       ,                       ,F                        ,                            ,                                 ,                  ,                       ,                              ,                    ,                        ,R                      ,                             ,                     ,                                          ,C                         ,                                 ,F                ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,R                        ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,C                                     ,                               ,R                      ,                   ,F                      ,R                                 ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL1               ,              ,157, 953,C, 15,R, 1,  67.00,    312.7700,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,C                ,                      ,                                          ,                   ,                       ,                        ,                       ,                         ,                            ,                                 ,                  ,R                      ,F                             ,                    ,                        ,                       ,                             ,F                    ,                                          ,C                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,                         ,                       ,F                                       ,                   ,                             ,                       ,R                                 ,                           ,C                                     ,                               ,C                      ,R                  ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
