Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus abies/neoabies,Rhabdosphaera clavigera,Reticulofenestra umbilica,Reticulofenestra sp. (<5 microns),Reticulofenestra sp. (5-7 microns),Pontosphaera segmenta,Helicosphaera sp.,Helicosphaera kamptneri,Helicosphaera compacta,Gephyrocapsa spp. (large >5.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Ericsonia formosa,Discoaster spp. (5 rays),Discoaster sp.,Discoaster saipanensis,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster deflandrei,Discoaster brouweri,Discoaster barbadiensis,Discoaster asymmetricus,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Coccolithus pelagicus,Clausicoccus fenestratus,Ceratolithus sp.,Calcidiscus macintyrei,Calcidiscus leptoporus,Braarudosphaera sp.,Zygrhablithus bijugatus,Sphenolithus conicus,Discoaster tanii,Cyclicargolithus abisectus,Sphenolithus dissimilis,Pseudoemiliania lacunosa,Hayaster perplexus,Umbilicosphaera mirabilis,Oolithotus fragilis,Helicosphaera granulata,Discoaster variabilis,Discoaster surculus,Calcidiscus sp.,Amaurolithus delicatus,Reticulofenestra pseudoumbilica (<7 microns),Micrantholithus sp.,Dictyococcites sp.,Sphenolithus heteromorphus,Pontosphaera sp.,Ceratolithus rugosus,Sphenolithus distentus,Coronocyclus nitescens,Discoaster nodifer,Helicosphaera euphratis,Bramletteius serraculoides,Lanternithus minutus,Cribrocentrum reticulatum,Chiasmolithus oamaruensis,Sphenolithus pseudoradians,Discoaster adamanteus,Syracosphaera pulchra,Sphenolithus ciperoensis,Reticulofenestra hampdenensis,Pedinocyclus larvalis,Calcidiscus protoannulus,Blackites sp.,Sphenolithus radians,Cruciplacolithus cruciformis,Scapholithus fossilis,Syracosphaera sp.,Scyphosphaera sp.,Pontosphaera discopora,Pontosphaera japonica,Helicosphaera recta,Oolithotus sp.,Sphenolithus delphix,Umbellosphaera irregularis,Emiliania huxleyi,Gephyrocapsa spp. small (<3.5 microns),Braarudosphaera bigelowii,Discoaster challengeri,Ceratolithus cristatus,Helicosphaera inversa,Syracosphaera clava,Discoaster quadramus,Discoaster triradiatus,Discoaster binodosus,Helicosphaera sellii,Discoaster tamalis,Catinaster coalitus,Discosphaera tubifera,Discoaster bramlettei,Scyphosphaera globulata,Catinaster umbrellus,Ceratolithus simplex,Discoaster berggrenii,Ceratolithus telesmus,Pontosphaera indooceanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14              ,              ,134, 829,A,  6,R, 5,  35.00,     47.4500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,-                          ,C                      ,                         ,S                                ,S                                 ,                     ,                 ,C                      ,                      ,                                      ,A                                      ,                 ,                        ,rS            ,                      ,rC                     ,rS                      ,                     ,rC                 ,                       ,                       ,                        ,                       ,rS                         ,C                    ,                        ,                ,R                     ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rS                      ,                  ,S                        ,                   ,                       ,rC                   ,rR                 ,               ,                      ,                                            ,                   ,C                 ,rS                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,                 ,                 ,S                     ,R                    ,                   ,              ,                    ,                          ,                 ,A                                     ,                         ,                      ,                      ,                     ,R                  ,                    ,                      ,                    ,                    ,rR                ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14              ,              ,134, 829,A,  6,R, 6,  35.00,     48.9500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,S                      ,                         ,S                                ,S                                 ,                     ,                 ,C                      ,                      ,                                      ,A                                      ,                 ,                        ,rC            ,                      ,rS                     ,rS                      ,rR                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,R                     ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rC                      ,                  ,C                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,                  ,rS                        ,R               ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,                 ,                 ,R                     ,R                    ,                   ,              ,                    ,                          ,                 ,A                                     ,                         ,                      ,                      ,                     ,                   ,                    ,rR                    ,                    ,R                   ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14              ,              ,134, 829,A,  6,R, 7,  35.00,     50.4500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,C                      ,                         ,S                                ,S                                 ,                     ,                 ,C                      ,                      ,                                      ,A                                      ,                 ,                        ,rC            ,                      ,rC                     ,rS                      ,                     ,rC                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,R                     ,C                     ,                   ,                       ,                    ,                ,rR                        ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,S                 ,rS                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,                 ,                 ,R                     ,                     ,                   ,              ,                    ,                          ,                 ,V                                     ,                         ,                      ,R                     ,R                    ,                   ,                    ,rR                    ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14              ,              ,134, 829,A,  7,R, 1,  14.00,     50.9400,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,S                      ,                         ,S                                ,R                                 ,                     ,                 ,S                      ,                      ,                                      ,C                                      ,                 ,rR                      ,rS            ,                      ,rR                     ,rS                      ,rR                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,                     ,                        ,                ,R                     ,S                     ,                   ,                       ,                    ,                ,                          ,                       ,rS                      ,                  ,C                        ,R                  ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,C                 ,rS                        ,S               ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,C                    ,                 ,                 ,                      ,R                    ,                   ,              ,                    ,                          ,                 ,A                                     ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14              ,              ,134, 829,A,  7,R, 2,  20.00,     52.5000,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,S                      ,                         ,S                                ,S                                 ,                     ,                 ,C                      ,                      ,                                      ,C                                      ,                 ,                        ,rS            ,                      ,rS                     ,rS                      ,                     ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,S                 ,rS                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,                 ,                 ,                      ,                     ,                   ,              ,                    ,S                         ,                 ,V                                     ,                         ,                      ,                      ,                     ,R                  ,                    ,rR                    ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,Early Miocene    ,CP19              ,CN1           ,134, 829,A,  8,R,CC,   6.00,     60.5600,Staerker ,Nannofossils                                 ,S              ,G                 ,                         ,C                      ,                           ,                       ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,                        ,R             ,                      ,                       ,                        ,C                    ,                   ,                       ,                       ,R                       ,                       ,C                          ,S                    ,S                       ,                ,                      ,R                     ,                   ,                       ,                    ,                ,C                         ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,R                 ,                          ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,R                     ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,Early Miocene    ,CP19              ,CN1           ,134, 829,A,  8,R,CC,  29.00,     60.7900,Staerker ,Nannofossils                                 ,S              ,F                 ,                         ,C                      ,                           ,                       ,                         ,S                                ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,                        ,C             ,                      ,                       ,                        ,C                    ,                   ,                       ,                       ,R                       ,                       ,C                          ,S                    ,C                       ,                ,                      ,S                     ,                   ,                       ,                    ,                ,C                         ,                       ,                        ,S                 ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,S                 ,                          ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,Early Miocene    ,CP19              ,CN1           ,134, 829,A,  9,R,CC,  10.00,     70.2000,Staerker ,Nannofossils                                 ,S              ,F                 ,                         ,C                      ,                           ,                       ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,                        ,S             ,                      ,                       ,                        ,S                    ,                   ,                       ,                       ,S                       ,                       ,C                          ,S                    ,R                       ,                ,                      ,S                     ,                   ,                       ,                    ,                ,S                         ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,R               ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,Early Miocene    ,CP19              ,CN1           ,134, 829,A, 10,R, 1,  20.00,     79.9000,Staerker ,Nannofossils                                 ,S              ,F                 ,                         ,C                      ,                           ,                       ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,                        ,S             ,                      ,                       ,                        ,S                    ,                   ,                       ,                       ,C                       ,                       ,A                          ,C                    ,S                       ,                ,                      ,                      ,                   ,                       ,                    ,                ,C                         ,S                      ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,Early Miocene    ,CP19              ,CN1           ,134, 829,A, 11,R,CC,   8.00,     89.3800,Staerker ,Nannofossils                                 ,S              ,F                 ,                         ,C                      ,                           ,                       ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,                        ,S             ,                      ,                       ,                        ,S                    ,                   ,                       ,                       ,S                       ,                       ,C                          ,S                    ,R                       ,                ,                      ,                      ,                   ,                       ,                    ,                ,S                         ,S                      ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A, 12,R, 1,  80.00,     99.8000,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,S                      ,                      ,                                      ,C                                      ,                 ,                        ,rS            ,                      ,rS                     ,rS                      ,rR                   ,rS                 ,                       ,                       ,                        ,                       ,rR                         ,R                    ,                        ,R               ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rR                   ,rR                 ,               ,                      ,                                            ,                   ,S                 ,rR                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,S                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,A                ,A                                     ,                         ,                      ,R                     ,                     ,R                  ,                    ,                      ,                    ,                    ,                  ,                   ,S                    ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A, 12,R, 2,  80.00,    101.3000,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,S                                     ,C                                      ,                 ,                        ,rS            ,                      ,rS                     ,rR                      ,rR                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rR                   ,                   ,               ,                      ,                                            ,                   ,C                 ,rS                        ,R               ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,S                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,A                ,A                                     ,                         ,                      ,                      ,                     ,R                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A, 12,R, 3,  80.00,    102.8000,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,                                      ,C                                      ,                 ,rR                      ,rS            ,                      ,rS                     ,rR                      ,rS                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,R               ,R                     ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,S                 ,rR                        ,R               ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,C                    ,                 ,                 ,                      ,R                    ,                   ,              ,                    ,                          ,S                ,A                                     ,                         ,                      ,R                     ,                     ,R                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A, 12,R, 4,  80.00,    104.3000,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,                                      ,C                                      ,                 ,                        ,rS            ,                      ,rS                     ,rR                      ,rR                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rR                      ,                  ,C                        ,                   ,                       ,rR                   ,rR                 ,               ,                      ,                                            ,                   ,                  ,rR                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,C                    ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,S                ,A                                     ,                         ,                      ,                      ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A, 12,R, 5,  80.00,    105.8000,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,S                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,                                      ,C                                      ,                 ,                        ,rS            ,                      ,rR                     ,rR                      ,rR                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rR                      ,                  ,S                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,S                 ,rR                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,                 ,                 ,                      ,R                    ,                   ,              ,                    ,                          ,S                ,A                                     ,                         ,                      ,                      ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A, 12,R, 6,  80.00,    107.3000,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,R                                     ,C                                      ,                 ,                        ,rS            ,                      ,rR                     ,rR                      ,                     ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rR                      ,                  ,C                        ,                   ,                       ,rR                   ,                   ,               ,                      ,                                            ,                   ,S                 ,rR                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,                 ,                 ,                      ,                     ,                   ,              ,                    ,R                         ,S                ,A                                     ,                         ,                      ,                      ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A, 12,R, 7,  24.00,    108.2400,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rS                         ,S                      ,                         ,S                                ,R                                 ,                     ,                 ,S                      ,                      ,                                      ,C                                      ,                 ,                        ,rS            ,                      ,rS                     ,rR                      ,rS                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,                     ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rR                      ,                  ,C                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,S                 ,rR                        ,                ,                    ,                      ,                      ,rR                ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,S                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,R                    ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,S                ,A                                     ,                         ,                      ,R                     ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
