Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus aff. ciperoensis,Reticulofenestra umbilica,Markalius inversus,Holococcolith type A,Helicosphaera compacta,Ericsonia obruta,Discoaster tanii,Discoaster deflandrei,Discoaster barbadiensis,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus eopelagicus,Coronocyclus nitescens,Zygrhablithus bijugatus,Ericsonia subdisticha,Discoaster nodifer,Discoaster adamanteus,Calcidiscus kingii,Coccolithus miopelagicus,Triquetrorhabdulus milowii,Triquetrorhabdulus carinatus,Sphenolithus ciperoensis,Cyclicargolithus abisectus,Sphenolithus aff. distentus,Ericsonia formosa,Discoaster saipanensis,Bramletteius serraculoides,Braarudosphaera bigelowii,Pedinocyclus larvalis,Helicosphaera reticulata,Helicosphaera perch-nielseniae,Crassidiscus backmanii,Coccolithus fuscus,Catinaster umbrellus,Sphenolithus dissimilis,Helicosphaera euphratis,Sphenolithus conicus,Sphenolith (unspecified taxon or taxa),Pontosphaera spp.,Cyclicargolithus abisectus (> 10 microns),Cyclicargolithus abisectus (< 10 microns),Clausicoccus fenestratus,Ilselithina fusa,Discoaster woodringii,Discoaster extensus-dilatus group,Thoracosphaera spp.,Discoaster aff. druggii,Reticulofenestrid taxa,Discoaster moorei,Sphenolithus delphix,Sphenolithus capricornutus,Reticulofenestra daviesii,Hayella cf. aperta,Helicosphaera recta,Coccolithus formosus,Discoaster multiradiatus,Discoaster druggii,Sphenolithus dissimilis/belemnos,Sphenolithus calyculus,Triquetrorhabdulus serratus,Sphenolithus belemnos,Dictyococcites spp.,Ceratolithus cristatus,Coccolithus radiatus,Triquetrorhabdulus auritus,Discoaster variabilis,Discoaster musicus,Calcidiscus leptoporus,Sphenolithus heteromorphus,Discoaster exilis,Helicosphaera carteri,Triquetrorhabdulus curvus,Discoaster formosus,Discoaster signus-tuberi,Discoaster brouweri,Calcidiscus premacintyrei,Discoaster intercalaris,Discoaster bollii,Triquetrorhabdulus rugosus/rioensis,Reticulofenestra pseudoumbilicus,Discoaster pansus,Discoaster kugleri,Calcidiscus macintyrei,Discoaster aulakos,Catinaster coalitus,Discoaster pseudovariabilis,Discoaster calcaris,Discoaster aff. intercalaris,Discoaster bellus,Discoaster neohamatus,Discoaster hamatus,Discoaster asymmetricus,Catinaster calyculus,Minylitha convallis,Discoaster surculus,Discoaster prepentaradiatus,Discoaster pentaradiatus,Discoaster sp. 1,Discoaster icarus,Catinaster spp.,Discoaster triradiatus,Discoaster challengeri,Discoaster quinqueramus/berggrenii,Discoaster tamalis,Discoaster sp. 2,Amaurolithus primus,Amaurolithus amplificus,Amaurolithus delicatus,Syracosphaera spp.,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus rugosus,Amaurolithus tricorniculatus,Discoaster tristellifer,Pseudoemiliania lacunosa,Gephyrocapsa (small),Gephyrocapsa oceanica s.l.,Helicosphaera sellii,Gephyrocapsa (large),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12a             ,              ,115, 708,A,  6,H, 2, 130.00,     50.0000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,F                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,R                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,F                     ,                    ,                          ,                     ,                  ,C                     ,                          ,                 ,F                    ,                         ,                   ,                        ,A                  ,                         ,C                      ,                 ,                                   ,                                ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,R                      ,                    ,                   ,F                  ,                           ,C                       ,                ,                 ,               ,                      ,                      ,                                  ,R                 ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,C                       ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12a             ,              ,115, 708,A,  6,H, 3,  71.00,     50.9100,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,F                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,R                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,F                     ,F                   ,                          ,                     ,                  ,C                     ,                          ,                 ,                     ,                         ,                   ,                        ,A                  ,                         ,                       ,                 ,                                   ,R                               ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,F                      ,                    ,                   ,C                  ,                           ,C                       ,                ,                 ,               ,R                     ,R                     ,                                  ,R                 ,                ,                   ,                       ,R                     ,                  ,                   ,                    ,R                   ,                            ,R                      ,C                       ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12a             ,              ,115, 708,A,  6,H, 5,  20.00,     52.3000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,C                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,                                      ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,                      ,F                   ,                          ,F                    ,                  ,C                     ,                          ,                 ,R                    ,                         ,                   ,                        ,A                  ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,C                  ,                           ,A                       ,                ,                 ,               ,                      ,                      ,                                  ,R                 ,                ,                   ,                       ,                      ,                  ,                   ,                    ,F                   ,                            ,                       ,C                       ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12a             ,              ,115, 708,A,  6,H, 5, 119.00,     53.2900,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,                                      ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,R                  ,                       ,A                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,F                     ,                    ,                          ,R                    ,                  ,C                     ,                          ,                 ,                     ,                         ,                   ,                        ,A                  ,                         ,C                      ,                 ,                                   ,                                ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,F                      ,                    ,                   ,C                  ,                           ,A                       ,                ,                 ,               ,R                     ,                      ,                                  ,F                 ,                ,                   ,                       ,                      ,                  ,                   ,                    ,F                   ,                            ,                       ,A                       ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12a             ,              ,115, 708,A,  6,H, 6,  99.00,     54.5900,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,                                      ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,C                     ,                    ,                          ,F                    ,                  ,C                     ,                          ,                 ,R                    ,                         ,                   ,                        ,A                  ,                         ,F                      ,                 ,                                   ,                                ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,F                      ,                    ,                   ,C                  ,                           ,A                       ,                ,                 ,               ,                      ,                      ,                                  ,R                 ,                ,                   ,                       ,                      ,                  ,                   ,                    ,F                   ,                            ,                       ,C                       ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12a             ,              ,115, 708,A,  6,H,CC,  30.00,     57.2600,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,                                      ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,F                     ,R                   ,                          ,C                    ,                  ,C                     ,                          ,                 ,                     ,                         ,                   ,                        ,C                  ,                         ,F                      ,                 ,                                   ,                                ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,F                      ,                    ,                   ,C                  ,                           ,C                       ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,R                  ,                       ,                      ,                  ,                   ,                    ,F                   ,                            ,                       ,C                       ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN11              ,              ,115, 708,A,  7,H, 2, 130.00,     59.6000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,R                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,F                     ,                    ,                          ,C                    ,                  ,C                     ,                          ,                 ,                     ,                         ,                   ,                        ,C                  ,                         ,F                      ,                 ,                                   ,C                               ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,F                      ,                    ,                   ,C                  ,                           ,C                       ,                ,                 ,R              ,R                     ,                      ,R                                 ,R                 ,                ,                   ,                       ,                      ,                  ,                   ,R                   ,C                   ,R                           ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN11              ,              ,115, 708,A,  7,H, 3, 135.00,     61.1500,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,R                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,F                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,                      ,                    ,                          ,C                    ,                  ,C                     ,                          ,                 ,                     ,                         ,                   ,                        ,C                  ,                         ,F                      ,                 ,                                   ,C                               ,                 ,                  ,R                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,R                      ,                    ,                   ,C                  ,                           ,C                       ,                ,                 ,               ,R                     ,R                     ,                                  ,                  ,                ,cf                 ,                       ,                      ,                  ,                   ,R                   ,C                   ,                            ,F                      ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN11              ,              ,115, 708,A,  7,H, 4,  68.00,     61.9800,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,C                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,F                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,                      ,                    ,                          ,C                    ,                  ,R                     ,                          ,                 ,                     ,                         ,                   ,                        ,C                  ,                         ,F                      ,                 ,                                   ,C                               ,                 ,                  ,R                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,C                  ,                           ,C                       ,                ,                 ,               ,R                     ,R                     ,R                                 ,                  ,                ,                   ,                       ,R                     ,                  ,                   ,                    ,C                   ,                            ,R                      ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN11              ,              ,115, 708,A,  7,H, 5, 132.00,     64.1200,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,F                      ,                           ,R                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,A                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,                      ,                    ,                          ,C                    ,                  ,F                     ,                          ,                 ,F                    ,                         ,                   ,                        ,C                  ,                         ,                       ,                 ,R                                  ,A                               ,                 ,                  ,F                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,C                  ,                           ,C                       ,                ,                 ,               ,R                     ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,C                   ,                            ,F                      ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN11              ,              ,115, 708,A,  7,H, 6, 134.00,     65.6400,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,A                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,                      ,                    ,                          ,C                    ,                  ,F                     ,                          ,                 ,                     ,                         ,                   ,                        ,A                  ,                         ,C                      ,                 ,                                   ,A                               ,                 ,                  ,F                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,C                  ,                           ,C                       ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,cf                 ,                       ,                      ,                  ,                   ,                    ,F                   ,                            ,R                      ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN11              ,              ,115, 708,A,  7,H, 7,  53.00,     66.3300,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,C                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,A                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,                      ,                    ,                          ,C                    ,                  ,C                     ,                          ,                 ,                     ,                         ,                   ,                        ,R                  ,                         ,                       ,                 ,                                   ,C                               ,                 ,                  ,F                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,C                  ,                           ,C                       ,                ,                 ,               ,R                     ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,C                   ,                            ,F                      ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10c             ,              ,115, 708,A,  8,H, 1, 100.00,     67.4000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,R                      ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,C                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,A                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,                      ,F                   ,                          ,F                    ,                  ,C                     ,                          ,                 ,                     ,                         ,                   ,                        ,C                  ,                         ,                       ,                 ,                                   ,C                               ,                 ,                  ,F                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,C                  ,                           ,C                       ,                ,                 ,               ,R                     ,                      ,                                  ,                  ,                ,R                  ,                       ,R                     ,                  ,cf                 ,                    ,R                   ,R                           ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10c             ,              ,115, 708,A,  8,H, 1, 130.00,     67.7000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,F                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,A                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,                      ,                    ,                          ,F                    ,                  ,F                     ,                          ,                 ,                     ,                         ,                   ,                        ,C                  ,                         ,F                      ,                 ,                                   ,F                               ,                 ,                  ,R                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,C                  ,                           ,C                       ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,R                  ,                       ,                      ,                  ,                   ,R                   ,F                   ,R                           ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
