Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Orbulina suturalis,Globoturborotalita woodi,Globorotaloides variabilis,Globorotalia praescitula,Globorotalia praemenardii,Globorotalia mayeri,Globoquadrina venezuelana,Globigerinoides subquadratus,Globigerinoides sacculifer,Globigerinita glutinata,Globigerinella praesiphonifera,Globigerinella obesa,Fohsella fohsi,Dentoglobigerina altispira,Globigerinoides mitra,Globigerina bulloides,Fohsella praefohsi,Fohsella lenguaensis,Globorotaloides hexagona,Globoquadrina dehiscens,Globigerinoides obliquus,Globoturborotalita apertura,Globigerinita uvula,Clavatorella bermudezi,Sphaeroidinellopsis disjuncta,Orbulina universa,Globorotalia menardii,Globoturborotalita decoraperta,Globorotalia scitula,Globorotalia panda,Globigerinella pseudobesa,Neogloboquadrina nympha,Neogloboquadrina humerosa,Globorotalia limbata,Globoturborotalita druryi,Globorotalia miozea,Globoturborotalita nepenthes,Globigerinoides bollii,Globigerinella aequilateralis,Globorotalia siakensis,Candeina nitida,Globorotalia merotumida,Neogloboquadrina acostaensis,Globorotalia plesiotumida,Beella praedigitata,Orbulina bilobata,Globorotalia cibaoensis,Neogloboquadrina dutertrei,Globorotalia juanai,Globigerinoides seigliei,Globorotalia margaritae,Globigerinoides extremus,Globigerinoides bulloideus,Sphaeroidinellopsis paenedehiscens,Globorotalia tumida,Sphaeroidinella dehiscens,Globigerinoides conglobatus,Neogloboquadrina pachyderma (sinistral),Pulleniatina primalis,Globorotalia crassaformis,Globorotalia multicamerata,Globorotalia exilis,Pulleniatina praecursor,Pulleniatina obliquiloculata,Globorotalia pseudomiocenica,Globigerinoides ruber,Globorotalia puncticulata,Globorotalia miocenica,Globorotalia triangula,Globorotalia pertenuis,Globorotalia hirsuta,Globorotalia inflata,Globigerinoides sacculifer fistulosus,Globorotalia theyeri,Beella digitata,Globoturborotalita rubescens,Neogloboquadrina pachyderma (dextral),Globorotalia crassula,Globorotalia truncatulinoides,Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL3               ,              ,159, 959,B,  5,H, 7,  51.00,     43.0100,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,R                        ,                  ,                        ,                          ,                        ,                         ,                   ,C                        ,                            ,C                         ,F                      ,                              ,                    ,              ,                          ,                     ,                     ,                  ,                    ,R                       ,                       ,                        ,R                          ,                   ,                      ,                             ,R                ,F                    ,R                             ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,R                     ,R                            ,                      ,               ,                       ,R                           ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,                        ,                          ,F                                 ,                   ,F                        ,                           ,                                       ,                     ,                         ,C                         ,                   ,                       ,                            ,F                           ,C                    ,                         ,R                     ,                      ,R                     ,F                   ,F                   ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL3               ,              ,159, 959,B,  5,H,CC,  20.00,     43.2500,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,R                        ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,C                         ,                       ,                              ,                    ,              ,R                         ,                     ,                     ,                  ,                    ,F                       ,                       ,                        ,R                          ,                   ,                      ,                             ,F                ,                     ,                              ,F                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,                      ,R                            ,                      ,               ,                       ,                            ,R                        ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,F                       ,                          ,                                  ,                   ,                         ,                           ,                                       ,                     ,                         ,C                         ,R                  ,                       ,                            ,                            ,F                    ,                         ,R                     ,                      ,R                     ,R                   ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11b             ,CN12a         ,159, 959,B,  6,H, 1,  59.00,     43.5900,Norris   ,Planktonic Foraminifers                      ,               ,                  ,R                             ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,A                         ,F                      ,                              ,                    ,              ,R                         ,                     ,R                    ,                  ,                    ,R                       ,                       ,                        ,R                          ,                   ,                      ,                             ,R                ,                     ,                              ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,R                     ,R                            ,                      ,               ,                       ,F                           ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,R                       ,                          ,                                  ,                   ,R                        ,                           ,                                       ,R                    ,F                        ,F                         ,                   ,                       ,                            ,C                           ,F                    ,R                        ,                      ,R                     ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 37 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL3               ,              ,159, 959,B,  6,H, 2,  59.00,     45.0900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,R                        ,                  ,                        ,                          ,                        ,                         ,                   ,R                        ,                            ,C                         ,F                      ,                              ,                    ,              ,F                         ,                     ,R                    ,                  ,                    ,R                       ,                       ,                        ,R                          ,                   ,                      ,                             ,R                ,F                    ,                              ,R                   ,                  ,                         ,                       ,F                        ,                    ,                         ,                   ,                            ,R                     ,R                            ,                      ,R              ,                       ,                            ,F                        ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,R                       ,                          ,                                  ,                   ,R                        ,R                          ,                                       ,                     ,R                        ,F                         ,                   ,                       ,                            ,                            ,R                    ,R                        ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL3               ,              ,159, 959,B,  6,H, 3,  59.00,     46.5900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,R                        ,                  ,                        ,                          ,                        ,                         ,                   ,F                        ,                            ,C                         ,F                      ,                              ,                    ,              ,F                         ,                     ,F                    ,                  ,                    ,F                       ,                       ,                        ,R                          ,                   ,                      ,                             ,                 ,                     ,                              ,R                   ,                  ,                         ,                       ,F                        ,                    ,                         ,                   ,                            ,R                     ,F                            ,                      ,F              ,                       ,                            ,R                        ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,F                       ,                          ,                                  ,F                  ,                         ,R                          ,                                       ,                     ,R                        ,                          ,                   ,                       ,                            ,C                           ,C                    ,                         ,R                     ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL3               ,              ,159, 959,B,  6,H, 4,  59.00,     48.0900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,R                        ,                  ,                        ,                          ,                        ,                         ,                   ,F                        ,                            ,C                         ,F                      ,                              ,                    ,              ,F                         ,                     ,R                    ,                  ,                    ,R                       ,                       ,                        ,F                          ,                   ,                      ,                             ,F                ,                     ,R                             ,F                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,R                     ,R                            ,                      ,               ,                       ,                            ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,R                       ,                          ,                                  ,                   ,                         ,R                          ,                                       ,F                    ,F                        ,R                         ,                   ,                       ,R                           ,F                           ,C                    ,R                        ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL3               ,              ,159, 959,B,  6,H, 5,  59.00,     49.5900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,R                        ,                  ,                        ,                          ,                        ,                         ,                   ,R                        ,                            ,A                         ,F                      ,                              ,                    ,              ,F                         ,                     ,R                    ,                  ,                    ,R                       ,R                      ,                        ,R                          ,                   ,                      ,                             ,R                ,F                    ,R                             ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,R                     ,F                            ,                      ,R              ,                       ,R                           ,R                        ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,                        ,                          ,R                                 ,                   ,R                        ,                           ,                                       ,                     ,F                        ,                          ,                   ,                       ,                            ,F                           ,F                    ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL3               ,              ,159, 959,B,  6,H, 6,  59.00,     51.0900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,F                        ,                            ,A                         ,F                      ,                              ,                    ,              ,F                         ,                     ,R                    ,                  ,                    ,R                       ,                       ,F                       ,                           ,                   ,                      ,                             ,R                ,C                    ,R                             ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,                      ,R                            ,                      ,R              ,                       ,                            ,                         ,                   ,                 ,                       ,C                         ,                   ,                        ,                       ,F                       ,                          ,R                                 ,F                  ,                         ,                           ,                                       ,                     ,                         ,                          ,                   ,                       ,                            ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,PL2               ,              ,159, 959,B,  6,H, 7,  54.00,     52.5400,Norris   ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,R                        ,                  ,                        ,                          ,                        ,                         ,                   ,F                        ,                            ,C                         ,                       ,                              ,                    ,              ,                          ,                     ,F                    ,                  ,                    ,R                       ,                       ,F                       ,R                          ,                   ,                      ,                             ,R                ,                     ,                              ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,R                     ,R                            ,                      ,               ,                       ,                            ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,R                      ,F                       ,                          ,R                                 ,F                  ,                         ,                           ,                                       ,F                    ,F                        ,                          ,                   ,                       ,R                           ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,PL2               ,              ,159, 959,B,  6,H,CC,  22.00,     52.8000,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,R                        ,                            ,C                         ,                       ,                              ,                    ,              ,                          ,                     ,                     ,                  ,                    ,                        ,                       ,C                       ,                           ,                   ,                      ,                             ,F                ,F                    ,                              ,R                   ,                  ,R                        ,                       ,                         ,                    ,                         ,                   ,                            ,                      ,R                            ,                      ,               ,                       ,                            ,F                        ,                   ,                 ,                       ,C                         ,                   ,                        ,                       ,                        ,                          ,R                                 ,C                  ,R                        ,                           ,                                       ,                     ,F                        ,                          ,                   ,                       ,                            ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,PL2               ,              ,159, 959,B,  7,H, 1,  59.00,     53.0900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,R                        ,                            ,A                         ,R                      ,R                             ,                    ,              ,C                         ,                     ,F                    ,                  ,                    ,R                       ,                       ,                        ,R                          ,                   ,                      ,                             ,                 ,                     ,R                             ,                    ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,                      ,F                            ,                      ,R              ,                       ,                            ,R                        ,                   ,                 ,                       ,A                         ,                   ,                        ,F                      ,F                       ,R                         ,F                                 ,C                  ,                         ,                           ,                                       ,F                    ,F                        ,                          ,                   ,                       ,R                           ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,PL2               ,              ,159, 959,B,  7,H, 2,  59.00,     54.5900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,R                        ,                            ,C                         ,F                      ,R                             ,                    ,              ,F                         ,                     ,F                    ,                  ,                    ,R                       ,                       ,F                       ,F                          ,                   ,                      ,                             ,R                ,F                    ,R                             ,R                   ,                  ,                         ,                       ,R                        ,                    ,                         ,                   ,                            ,R                     ,R                            ,                      ,               ,                       ,                            ,R                        ,                   ,                 ,                       ,C                         ,                   ,                        ,R                      ,F                       ,                          ,R                                 ,C                  ,R                        ,                           ,                                       ,                     ,F                        ,R                         ,                   ,                       ,                            ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,PL2               ,              ,159, 959,B,  7,H, 3,  59.00,     56.0900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,R                        ,                  ,                        ,                          ,                        ,                         ,                   ,R                        ,                            ,C                         ,T                      ,                              ,                    ,              ,                          ,                     ,C                    ,                  ,                    ,R                       ,                       ,F                       ,                           ,                   ,                      ,                             ,R                ,F                    ,R                             ,                    ,                  ,                         ,                       ,F                        ,                    ,                         ,                   ,                            ,R                     ,F                            ,                      ,               ,                       ,                            ,                         ,                   ,                 ,                       ,C                         ,                   ,                        ,R                      ,                        ,                          ,                                  ,C                  ,R                        ,                           ,                                       ,F                    ,F                        ,                          ,                   ,R                      ,                            ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,PL2               ,              ,159, 959,B,  7,H, 4,  59.00,     57.5900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,R                        ,                  ,                        ,                          ,                        ,                         ,                   ,F                        ,                            ,C                         ,                       ,                              ,R                   ,              ,F                         ,                     ,                     ,                  ,                    ,F                       ,                       ,F                       ,                           ,                   ,                      ,                             ,F                ,C                    ,R                             ,R                   ,                  ,                         ,                       ,F                        ,                    ,                         ,                   ,                            ,                      ,R                            ,                      ,               ,                       ,F                           ,R                        ,                   ,                 ,                       ,F                         ,                   ,                        ,F                      ,C                       ,                          ,R                                 ,                   ,                         ,                           ,                                       ,F                    ,F                        ,                          ,                   ,                       ,                            ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,PL2               ,              ,159, 959,B,  7,H, 5,  59.00,     59.0900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,R                        ,                            ,C                         ,R                      ,                              ,                    ,              ,R                         ,                     ,F                    ,                  ,                    ,R                       ,                       ,F                       ,                           ,                   ,                      ,                             ,F                ,                     ,R                             ,R                   ,                  ,                         ,                       ,C                        ,                    ,                         ,                   ,                            ,                      ,R                            ,                      ,               ,                       ,R                           ,R                        ,                   ,                 ,                       ,C                         ,                   ,                        ,R                      ,F                       ,                          ,                                  ,                   ,                         ,F                          ,                                       ,F                    ,F                        ,                          ,F                  ,                       ,                            ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Pl1b              ,              ,159, 959,B,  7,H, 6,  59.00,     60.5900,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,F                             ,F                        ,                  ,                        ,                          ,                        ,                         ,                   ,R                        ,                            ,C                         ,R                      ,                              ,R                   ,              ,C                         ,                     ,                     ,                  ,                    ,R                       ,                       ,C                       ,R                          ,                   ,                      ,                             ,R                ,C                    ,                              ,R                   ,                  ,                         ,                       ,C                        ,                    ,                         ,                   ,T                           ,                      ,R                            ,                      ,               ,                       ,                            ,R                        ,                   ,                 ,                       ,C                         ,                   ,                        ,R                      ,R                       ,                          ,                                  ,                   ,R                        ,R                          ,                                       ,                     ,R                        ,                          ,                   ,                       ,                            ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Pl1b              ,              ,159, 959,B,  7,H, 7,  59.00,     62.0900,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,R                             ,F                        ,                  ,                        ,                          ,                        ,                         ,                   ,R                        ,                            ,C                         ,R                      ,                              ,R                   ,              ,F                         ,                     ,R                    ,                  ,                    ,R                       ,                       ,C                       ,R                          ,                   ,                      ,                             ,R                ,C                    ,                              ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,                      ,R                            ,                      ,R              ,                       ,                            ,R                        ,                   ,                 ,                       ,C                         ,                   ,                        ,R                      ,F                       ,                          ,                                  ,R                  ,R                        ,R                          ,                                       ,F                    ,R                        ,R                         ,                   ,                       ,                            ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Pl1b              ,              ,159, 959,B,  7,H,CC,  22.00,     62.3500,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,R                        ,                  ,                        ,                          ,                        ,                         ,                   ,R                        ,                            ,C                         ,                       ,                              ,                    ,              ,                          ,                     ,                     ,                  ,                    ,F                       ,                       ,C                       ,                           ,                   ,                      ,                             ,F                ,F                    ,                              ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,C                           ,                      ,R                            ,                      ,               ,                       ,                            ,C                        ,                   ,                 ,                       ,F                         ,                   ,                        ,                       ,C                       ,                          ,F                                 ,F                  ,                         ,                           ,                                       ,R                    ,R                        ,                          ,                   ,                       ,                            ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Pl1b              ,              ,159, 959,B,  8,H, 1,  59.00,     62.5900,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,R                             ,F                        ,                  ,                        ,                          ,                        ,                         ,                   ,R                        ,                            ,C                         ,R                      ,                              ,                    ,              ,R                         ,                     ,R                    ,                  ,                    ,R                       ,                       ,C                       ,F                          ,                   ,                      ,                             ,                 ,C                    ,                              ,                    ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,R                           ,F                     ,F                            ,                      ,               ,                       ,F                           ,R                        ,R                  ,                 ,                       ,C                         ,                   ,                        ,F                      ,C                       ,                          ,R                                 ,                   ,R                        ,R                          ,                                       ,F                    ,                         ,                          ,                   ,                       ,                            ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Pl1b              ,              ,159, 959,B,  8,H, 2,  59.00,     64.0900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,F                        ,                  ,                        ,                          ,                        ,                         ,                   ,F                        ,                            ,C                         ,F                      ,                              ,R                   ,              ,F                         ,                     ,F                    ,                  ,                    ,F                       ,                       ,C                       ,R                          ,R                  ,                      ,                             ,F                ,C                    ,F                             ,                    ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,T                           ,F                     ,R                            ,                      ,R              ,                       ,F                           ,F                        ,                   ,                 ,                       ,C                         ,                   ,                        ,F                      ,C                       ,                          ,F                                 ,R                  ,                         ,R                          ,R                                      ,                     ,                         ,                          ,                   ,                       ,                            ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
