Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum speculum,Distephanus speculum pentagonus,Distephanus speculum minutus,Distephanus speculum (w/ small double aw.; curved long sp.),Distephanus speculum (w/ small aw.; curved long sp.>br.width),Distephanus septenarius,Distephanus crux (w/ large aw.; equal sp.),Distephanus crux (small; w/ long major sp.),Distephanus boliviensis (w/ large aw.)      ,Distephanus boliviensis,Parathranium cf. clathratum,Parathranium bispinum,Falsebrioid Falsebrioid,Falsebria cf. arborea,Falsebria arborea,Ebriopsis crenulata,Ebriopsis cornuta,Distephanus speculum speculum (coronoid)  ,Distephanus speculum f. speculum ,Distephanus speculum f. pentagonus,Distephanus speculum constrictus formae diversae,Distephanus speculum constrictus f. constrictus,Distephanus crux,Distephanus aculeatus f. binoculus,Distephanus aculeatus f. aculeatus,Corbisema triacantha,Ammodochium serotinum,Actiniscus sp.,Actiniscus pentasterias,Pseudammodochium species diversae,Hermesinella conata,Dictyocha species diversae,Distephanus sulcatus,Distephanus speculum f. coronata,Distephanus speculum (w/ 3aw.),Distephanus crux (very large; w/ medium aw.; equal sp.),Distephanus crux (small; w/ large aw.; long major sp.),Distephanus crux (small w/ equal sp.),Distephanus crux (large; w/ small aw.; long major sp.; short minor sp.),Distephanus crux (large),Distephanus crux (large aw. Long major sp. Shot minor sp.),Distephanus crux (bolivienoid),Distephanus boliviensis (robust and large),Bachmannocena triangula,Dictyocha perlaevis,Cannopilus hemisphaericus f. hemisphaericus,Actiniscus cf. flosculus,Thranium cf. crassipes,Pseudammodochium robustum,Naviculopsis species diversae,Hermesinum obliquum,Haplohermesinum hovassei,Distephanus speculum  f. cannopileus-hexacanthus,Dictyocha varia,Ammodochium pyramidale,Distephanus speculum (w/ long curved major spines),Distephanus speculum (bolivienoid w/ large w.),Distephanus frugalis (w/ 2aw.),Distephanus frugalis,Dictyocha fibula,Pseudammodochium fenestratum,Hermesinella fenestrata,Dictyocha messanensis messanensis,Actiniscus tetrasterias,Ebriopsoid skeletons,Corbisema species diversae,Ditripodium latum,Mesocena quadrangula,Distephanus speculum octonarius f. septenarius,Comment
  SR,Late Pliocene    ,                 ,Ds. speculum      ,A. serotinum  ,104, 644,A, 21,H, 1,  66.00,    185.4600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,+                                ,                                  ,                                                ,                                               ,                ,                                  ,+                                 ,                    ,4                    ,3             ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,1                  ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 1; ebridian/actiniscidians specimens counted = 7; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. speculum      ,              ,104, 644,A, 22,H, 1,  66.00,    187.4600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,+               ,                                  ,                                  ,                    ,                     ,              ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 0; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. speculum      ,A. serotinum  ,104, 644,A, 23,H, 1,  55.00,    194.6500,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,2             ,                       ,                                 ,                   ,1                         ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,cf                 ,                                           ,1                       ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 2; ebridian/actiniscidians specimens counted = 3; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. speculum      ,A. serotinum  ,104, 644,A, 23,H, 2,  55.00,    196.1500,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,1                                 ,                                                ,                                               ,                ,                                  ,                                  ,                    ,1                    ,1             ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,1                                ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 2; ebridian/actiniscidians specimens counted = 2; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,104, 644,A, 24,H, 3,  70.00,    204.8000,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,              ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,1                         ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 1; ebridian/actiniscidians specimens counted = 0; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,104, 644,A, 25,H, 1,  66.00,    206.6600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,              ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,+                            ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 0; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,104, 644,A, 26,H, 2,  48.00,    212.4800,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,+                   ,                     ,              ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,1                           ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 1; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,104, 644,A, 30,H, 1,  57.00,    226.6700,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,1               ,                                  ,                                  ,                    ,                     ,              ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,+                   ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted =1; ebridian/actiniscidians specimens counted = P; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. aculeatus     ,E. cornuta    ,104, 644,A, 30,H, 2,  56.00,    228.1600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,13.0%                  ,75.0%                ,4.0%             ,                   ,2.0%             ,1                                         ,1                                ,+                                 ,                                                ,                                               ,                ,1                                 ,+                                 ,                    ,3.0%                 ,3.0%          ,                       ,                                 ,                   ,1                         ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 0; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. aculeatus     ,E. cornuta    ,104, 644,A, 31,H, 2,  66.00,    234.2600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,12.0%                  ,60.0%                ,4.0%             ,2.0%               ,10.0%            ,                                          ,+                                ,+                                 ,                                                ,                                               ,+               ,1                                 ,                                  ,                    ,                     ,8.0%          ,                       ,2.0%                             ,                   ,+                         ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,2.0%                     ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 0; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. aculeatus     ,E. cornuta    ,104, 644,A, 31,H, 3,  66.00,    235.7600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,T                          ,                     ,13.0%                  ,59.0%                ,4.0%             ,                   ,8.0%             ,5                                         ,4                                ,3                                 ,                                                ,                                               ,+               ,13                                ,                                  ,                    ,T                    ,13.0%         ,                       ,T                                ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,1                                               ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,T                      ,                                 ,T                      ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 0; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. aculeatus     ,E. cornuta    ,104, 644,A, 31,H, 4,  66.00,    237.2600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,T                          ,                     ,11.0%                  ,38.0%                ,1.0%             ,                   ,8.0%             ,10                                        ,6                                ,+                                 ,                                                ,                                               ,2               ,5                                 ,1                                 ,                    ,T                    ,38.0%         ,T                      ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,5                  ,                                           ,T                       ,                      ,T                        ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,T                           ,+                      ,1                                ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 0; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A, 31,H,CC,  17.00,    237.7400,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,              ,                       ,                                 ,                   ,                          ,1                   ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,from ODP 104 SR  Chapter 28  Tables 4& 5  p 514-516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A, 32,H, 1,  70.00,    238.8000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,9                            ,                               ,4                           ,                                                           ,                                                             ,                       ,                                          ,                                           ,3                                           ,2                      ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,              ,                       ,                                 ,                   ,                          ,5                   ,                                ,1                             ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,1                                                 ,1                                             ,1                             ,1                   ,1               ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,silicoflagellate fragments = 25; from ODP 104 SR  Chapter 28  Tables 4& 5  p 514-516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. aculeatus     ,E. cornuta    ,104, 644,A, 32,H, 2,  66.00,    239.8700,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,12.0%                  ,33.0%                ,                 ,                   ,7.0%             ,13                                        ,8                                ,1                                 ,                                                ,                                               ,3               ,3                                 ,1                                 ,                    ,25.0%                ,19.0%         ,3.0%                   ,                                 ,                   ,1                         ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,T                       ,                      ,+                        ,                             ,                   ,                        ,                                                ,cf             ,T                     ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 0; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A, 32,H, 3,  70.00,    241.4100,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,1                           ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,1                      ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,              ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,silicoflagellate fragments = 6; from ODP 104 SR  Chapter 28  Tables 4& 5  p 514-516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. aculeatus     ,E. cornuta    ,104, 644,A, 32,H, 4,  20.00,    242.4100,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,13.0%                  ,41.0%                ,2.0%             ,                   ,2.0%             ,11                                        ,1                                ,                                  ,                                                ,                                               ,1               ,6                                 ,                                  ,2                   ,1.0%                 ,36.0%         ,3.0%                   ,                                 ,+                  ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,1.0%                    ,                      ,+                        ,                             ,                   ,1.0%                    ,1                                               ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 0; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. aculeatus     ,E. cornuta    ,104, 644,A, 33,H, 1,  68.00,    244.3800,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,1.0%                 ,11.0%                  ,28                   ,                 ,                   ,8.0%             ,7                                         ,1                                ,+                                 ,                                                ,                                               ,+               ,2                                 ,+                                 ,                    ,1.0%                 ,41.0%         ,5.0%                   ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,1                                          ,                        ,+                     ,3.0%                     ,1                            ,2.0%               ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 0; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A, 33,H, 1,  70.00,    244.4000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,1                           ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,1                      ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,              ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,silicoflagellate fragments = 5; from ODP 104 SR  Chapter 28  Tables 4& 5  p 514-516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. aculeatus     ,E. cornuta    ,104, 644,A, 34,H, 2,  68.00,    248.1800,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,7.0%                   ,41.0%                ,+                ,                   ,8.0%             ,3                                         ,1                                ,                                  ,                                                ,                                               ,2               ,2                                 ,1                                 ,                    ,3.0%                 ,37.0%         ,3.0%                   ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,+                  ,1                                          ,1.0%                    ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 0; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A, 34,H, 2,  70.00,    248.2000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,8                           ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,1                      ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,              ,                       ,                                 ,                   ,                          ,7                   ,1                               ,1                             ,1                                                      ,7                                                     ,2                                    ,3                                                                      ,3                       ,2                                                         ,1                             ,9                                         ,2                      ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,silicoflagellate fragments = 62; from ODP 104 SR  Chapter 28  Tables 4& 5  p 514-516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. aculeatus     ,E. cornuta    ,104, 644,A, 34,H, 4,  66.00,    250.0100,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,7.0%                   ,67.0%                ,                 ,                   ,2.0%             ,4                                         ,1                                ,                                  ,                                                ,1                                              ,+               ,2                                 ,                                  ,                    ,                     ,20.0%         ,2.0%                   ,1.0%                             ,1.0%               ,1                         ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 0; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
