Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix miocenica	Thalassiothrix longissima	Thalassiosira vulnifica	Thalassiosira sp. cf. T.vulnifica	Thalassiosira praevulnifica	Thalassiosira oestrupii	Thalassiosira nativa	Thalassiosira lineata	Thalassiosira lentiginosa var. ovalis	Thalassiosira lentiginosa	Thalassiosira kolbei	Thalassiosira insigna	Thalassiosira elliptipora (very elongate aerolae)	Thalassiosira elliptipora	Thalassiosira convexa var. aspinosa	Thalassiosira convexa	Thalassionema nitzschioides  var. parva	Thalassionema nitzschioides	Stephanopyxis turris	Simonseniella barboi	Rouxia spp.	Rouxia sp. 1	Rouxia naviculoides	Rouxia californica	Rocella gelida	Rhizosolenia styliformis	Rhizosolenia sp. A	Rhizosolenia hebetata f. semispina	Rhizosolenia hebetata f. hiemalis	Nitzschia weaveri	Nitzschia sp. cf. N.interfrigidaria	Nitzschia sp. aff. N.praeinterfrigidaria	Nitzschia reinholdii	Nitzschia praeinterfrigidaria	Nitzschia marina	Nitzschia kerguelenis	Nitzschia jouseae	Nitzschia interfrigidaria	Nitzschia fossilis	Nitzschia cylindrica	Nitzschia clementia	Nitzschia angulata	Neobrunia mirabilis	Hemidiscus triangularus	Hemidiscus karstenii f.1	Hemidiscus karstenii	Hemidiscus cuneiformis	Eucampia antarctica	Ethmodiscus sp. (fragments)	Denticulopsis hustedtii	Denticulopsis dimorpha	Cosmiodiscus intersectus	Coscinodiscus tabularis	Coscinodiscus marginatus	Coscinodiscus lineatus	Coscinodiscus endoi	Charcotia actinochilus	Chaetoceros sp. (spines)	Asteromphalus parvulus	Asteromphalus kennettii	Asteromphalus hookeri	Actinocyclus ingens (ovate form)	Actinocyclus ingens	Actinocyclus ellipticus	Actinocyclus divisus	Coscinodiscus insignis	Actinocyclus ingens var. planus	Comment

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  7	H	 5	  59.00	     61.2900	Ciesielski	Diatoms                                      	               	G                 	-                       	C                        	-                      	-                                	-                          	R                      	R                   	-                    	R                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	S                 	-                  	-                      	-                       	-                   	-                     	-                  	S                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	A                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  7	H	 6	  59.00	     62.7900	Ciesielski	Diatoms                                      	               	M                 	-                       	C                        	-                      	-                                	-                          	-                      	-                   	-                    	-                                    	C                        	-                   	-                    	-                                                	S                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	C                 	-                  	-                      	-                       	-                   	-                     	S                  	S                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	D                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  8	H	 1	  80.00	     65.0000	Ciesielski	Diatoms                                      	               	F                 	-                       	D                        	-                      	-                                	-                          	-                      	R                   	-                    	-                                    	F                        	-                   	-                    	-                                                	S                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	R                                	-                	-                                  	-                                       	-                   	-                            	-               	A                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	-                  	S                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	A                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  8	H	 2	  80.00	     66.5000	Ciesielski	Diatoms                                      	               	M                 	-                       	F                        	-                      	-                                	-                          	-                      	R                   	-                    	-                                    	F                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	S                 	-                  	-                      	-                       	-                   	-                     	R                  	S                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	D                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  8	H	 3	  80.00	     68.0000	Ciesielski	Diatoms                                      	               	G                 	-                       	F                        	-                      	-                                	-                          	-                      	-                   	-                    	-                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	F                 	-                  	-                      	-                       	-                   	-                     	-                  	-                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  8	H	 4	  80.00	     69.5000	Ciesielski	Diatoms                                      	               	G                 	-                       	C                        	-                      	-                                	-                          	F                      	S                   	-                    	F                                    	-                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	A                    	-                	-                        	-                 	-                   	-                  	S                 	-                  	-                      	-                       	-                   	-                     	R                  	S                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	D                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  8	H	 5	  80.00	     71.0000	Ciesielski	Diatoms                                      	               	M                 	-                       	C                        	-                      	VR                               	-                          	-                      	R                   	-                    	-                                    	F                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	rS                  	-          	-           	-                  	-                 	rVR           	S                       	VR                	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	F                 	-                  	-                      	-                       	-                   	-                     	R                  	S                          	-                      	-                     	-                       	-                      	S                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	D                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  8	H	 6	  80.00	     72.5000	Ciesielski	Diatoms                                      	               	F                 	-                       	A                        	-                      	-                                	-                          	S                      	S                   	-                    	S                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	A                    	-                	-                        	-                 	-                   	-                  	S                 	-                  	-                      	-                       	-                   	-                     	-                  	S                          	-                      	-                     	-                       	-                      	S                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	D                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  9	H	 1	  80.00	     74.5000	Ciesielski	Diatoms                                      	               	M                 	-                       	A                        	-                      	-                                	-                          	F                      	-                   	-                    	F                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	D                    	-                	-                        	-                 	-                   	-                  	F                 	-                  	-                      	-                       	-                   	-                     	-                  	S                          	-                      	-                     	-                       	-                      	S                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	A                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  9	H	 2	  80.00	     76.0000	Ciesielski	Diatoms                                      	               	M                 	-                       	C                        	-                      	-                                	-                          	C                      	F                   	-                    	-                                    	A                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	S                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	A                    	-                	-                        	-                 	-                   	-                  	C                 	-                  	-                      	-                       	-                   	-                     	-                  	-                          	-                      	-                     	-                       	-                      	S                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	D                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  9	H	 3	  80.00	     77.5000	Ciesielski	Diatoms                                      	               	M                 	-                       	C                        	-                      	-                                	-                          	C                      	S                   	-                    	S                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	F                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	D                    	-                	-                        	-                 	-                   	-                  	F                 	-                  	-                      	-                       	-                   	-                     	-                  	S                          	-                      	-                     	-                       	-                      	C                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	A                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  9	H	 4	  80.00	     79.0000	Ciesielski	Diatoms                                      	               	M                 	-                       	C                        	-                      	-                                	-                          	F                      	S                   	-                    	R                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	R                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	A                    	-                	-                        	-                 	-                   	-                  	F                 	-                  	-                      	-                       	-                   	-                     	-                  	R                          	-                      	-                     	-                       	-                      	S                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  9	H	 4	  85.00	     79.0500	Fenner   	Diatoms                                      	               	                  	                        	                         	.1%                    	                                 	                           	                       	                    	                     	                                     	                         	                    	                     	                                                 	                         	                                   	                     	                                       	                           	                    	                    	           	            	                   	                  	              	                        	                  	                                  	                                 	                 	                                   	                                        	                    	                             	                	                     	                 	                         	                  	                    	                   	                  	                   	                       	                        	                    	                      	                   	                           	                       	                      	                        	                       	                        	                      	                   	                      	                        	                      	                       	                     	                                	                   	                       	                    	                      	12.6%                          	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  9	H	 5	  80.00	     80.5000	Ciesielski	Diatoms                                      	               	M                 	-                       	C                        	-                      	-                                	-                          	F                      	S                   	-                    	R                                    	A                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	R                       	-                 	-                                 	R                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	A                 	-                  	-                      	-                       	-                   	-                     	VR                 	F                          	-                      	-                     	-                       	-                      	F                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	A                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  9	H	 5	  85.00	     80.5500	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                                 	                           	                       	                    	                     	                                     	                         	                    	                     	                                                 	                         	                                   	                     	                                       	                           	                    	                    	           	            	                   	                  	              	                        	                  	                                  	                                 	                 	                                   	                                        	                    	                             	                	                     	                 	                         	                  	                    	                   	                  	                   	                       	                        	                    	                      	                   	                           	                       	                      	                        	                       	                        	                      	                   	                      	                        	                      	                       	                     	                                	                   	                       	                    	                      	13.4%                          	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  9	H	 6	  80.00	     82.0000	Ciesielski	Diatoms                                      	               	M                 	-                       	C                        	-                      	-                                	-                          	C                      	-                   	-                    	F                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	C                 	-                  	-                      	-                       	-                   	-                     	-                  	F                          	-                      	-                     	-                       	-                      	F                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  9	H	 6	  85.00	     82.0500	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                                 	                           	                       	                    	                     	                                     	                         	                    	                     	                                                 	                         	                                   	                     	                                       	                           	                    	                    	           	            	                   	                  	              	                        	                  	                                  	                                 	                 	                                   	                                        	                    	                             	                	                     	                 	                         	                  	                    	                   	                  	                   	                       	                        	                    	                      	                   	                           	                       	                      	                        	                       	                        	                      	                   	                      	                        	                      	                       	                     	                                	                   	                       	                    	                      	15.7%                          	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	 10	H	 1	  79.00	     83.9900	Ciesielski	Diatoms                                      	               	M                 	-                       	S                        	-                      	-                                	-                          	S                      	S                   	-                    	F                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	F                          	-                   	-                   	-          	-           	-                  	-                 	-             	R                       	-                 	-                                 	S                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	C                 	-                  	-                      	-                       	-                   	-                     	-                  	S                          	-                      	-                     	-                       	-                      	S                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	D                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	 10	H	 1	 130.00	     84.5000	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                                 	                           	                       	                    	                     	                                     	                         	                    	                     	                                                 	                         	                                   	                     	                                       	                           	                    	                    	           	            	                   	                  	              	                        	                  	                                  	                                 	                 	                                   	                                        	                    	                             	                	                     	                 	                         	                  	                    	                   	                  	                   	                       	                        	                    	                      	                   	                           	                       	                      	                        	                       	                        	                      	                   	                      	                        	                      	                       	                     	                                	                   	                       	                    	                      	13.4%                          	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	 10	H	 2	  79.00	     85.4900	Ciesielski	Diatoms                                      	               	F                 	-                       	D                        	-                      	-                                	-                          	C                      	C                   	-                    	-                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	C                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	C                 	-                  	-                      	-                       	-                   	-                     	-                  	S                          	-                      	-                     	-                       	-                      	S                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	 10	H	 2	 130.00	     86.0000	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                                 	                           	                       	                    	                     	                                     	                         	                    	                     	                                                 	                         	                                   	                     	                                       	                           	                    	                    	           	            	                   	                  	              	                        	                  	                                  	                                 	                 	                                   	                                        	                    	                             	                	                     	                 	                         	                  	                    	                   	                  	                   	                       	                        	                    	                      	                   	                           	                       	                      	                        	                       	                        	                      	                   	                      	                        	                      	                       	                     	                                	                   	                       	                    	                      	31.2%                          	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	 10	H	 3	  79.00	     86.9900	Ciesielski	Diatoms                                      	               	M                 	-                       	D                        	-                      	-                                	-                          	R                      	S                   	-                    	S                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	C                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	R                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	C                 	-                  	-                      	-                       	-                   	-                     	-                  	S                          	-                      	-                     	-                       	-                      	S                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	A                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	 10	H	 3	 130.00	     87.5000	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                                 	                           	                       	                    	                     	                                     	                         	                    	                     	                                                 	                         	                                   	                     	                                       	                           	                    	                    	           	            	                   	                  	              	                        	                  	                                  	                                 	                 	                                   	                                        	                    	                             	                	                     	                 	                         	                  	                    	                   	                  	                   	                       	                        	                    	                      	                   	                           	                       	                      	                        	                       	                        	                      	                   	                      	                        	                      	                       	                     	                                	                   	                       	                    	                      	13.1%                          	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  IR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	 10	H	 4	  79.00	     88.4900	Ciesielski	Diatoms                                      	               	M                 	-                       	C                        	-                      	-                                	-                          	S                      	S                   	-                    	S                                    	F                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	A                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	R                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	S                 	-                  	-                      	-                       	-                   	-                     	-                  	R                          	-                      	-                     	-                       	-                      	S                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	A                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763
