Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Paramesocena circulus,Hermesinum adriaticum,Ebriopsis antiqua cornuta,Ebriopsis antiqua antiqua,Ammodochium rectangulare,Distephanus jimlingii,Distephanus speculum,Distephanus quinquangellus,Dictyocha pentagona,Distephanus speculum cannopiloides,Mesocena elliptica,Dictyocha fibula,Dictyocha subarctios,Mesocena quadrangula,Dictyocha mandrai,Comment
  SR,                 ,                 ,                  ,              ,128, 799,A, 41,X, 3,  80.00,    369.1000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,F                        ,R                        ,R                       ,R                    ,                    ,R                         ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 41,X, 5,  80.00,    372.1000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,G                 ,                     ,                     ,F                        ,F                        ,C                       ,R                    ,R                   ,R                         ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 41,X,CC,  34.00,    375.1400,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 42,X,CC,  34.00,    384.9100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,R                    ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 43,X,CC,  25.00,    394.3200,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 45,X,CC,  11.00,    413.5800,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 46,X,CC,  36.00,    423.4400,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 47,X,CC,  17.00,    433.0300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 48,X, 1,  79.00,    433.6900,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 48,X, 3,  79.00,    436.6900,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,R                    ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 48,X,CC,  24.00,    437.3500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 49,X, 1,  90.00,    443.5000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,F                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 49,X,CC,  40.00,    443.9700,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,R                    ,                     ,                         ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 50,X, 1,  81.00,    453.1100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,R                    ,R                        ,R                        ,C                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 50,X, 2,  93.00,    454.7300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,R                    ,                     ,R                        ,F                        ,C                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 50,X, 3,  81.00,    456.1100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,R                    ,R                    ,R                        ,R                        ,F                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
