Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiniferites spp.	Spiniferites ramosus	Membranophoridium aspinatum	Chiropteridium galea species complex	Spiniferella cornuta	Palaeocystodinium golzowense	Lingulodinium machaerophorum	Distatodinium biffii	Cordosphaeridium minimum	Areoligera semicirculata	Selenopemphix spp.	Distatodinium spp.	Dapsilidinium pastielsii	Spiniferites pseudofurcatus	Reticulatosphaera actinocoronata	Palaeocystodinium sp.1	Lejeunecysta spp.	Hystrichokolpoma rigaudiae	Protoperidinium spp. "round browns"	Artemisiocysta cladodichotoma	Thalassiphora pelagica	Dinopterygium cladoides	Deflandrea phosphoritica species complex	Caligodinium amiculum	Tectatodinium pellitum	Systematophora placacantha	Operculodinium centrocarpum	Impagidinium spp.	Heteraulacacysta campanula	Distatodinium paradoxum	Deflandrea heterophlycta	Apteodinium australiense	Spiniferites mirabilis	Operculodinium spp.	Phthanoperidinium comatum	Tuberculodinium vancampoae	Polykrikos spp.	Phthanoperidinium alectrolophum	Selenopemphix nephroides	Nematosphaeropsis lemniscata	Phthanoperidinium spp.	Batiacasphaera gemmata	Spiniferites membranosus	Operculodinium? eirikianum	Svalbardella sp.1	Batiacasphaera spp.	Impagidinium japonicum	Batiacasphaera sphaerica	Trinovantedinium glorianum	Quinquecuspis spp.	Melitasphaeridium choanophorum	Artemisiocysta spp.	Systematophora spp.	Labyrinthodinium truncatum	Hystrichosphaeropsis obscura	Cribroperidinium tenuitabulatum	Achomosphaera sp.1	Selenopemphix subinerme	Selenopemphix brevispinosa	Evittosphaerula? sp. 2 	Amiculosphaera umbracula	Vozzhennikovia spp.	Trinovantedinium papulum	Nematosphaeropsis rigida	Cristadinium cristatoserratum	Batiacasphaera micropapillata	Achomosphaera ramulifera	Operculodinium? cf. longispinigerum	Phelodinium spp.	Barssidinium graminosum	Hystrichokolpoma spp.	Impagidinium strialatum	Areosphaeridium spp.	Operculodinium israelianum	Dapsilidinium spp.	Achomosphaera andalousiensis	Hystrichokolpoma pacificum	Comment
  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 21	X	 3	 119.00	    191.2900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	R                   	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	R                     	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 21	X	 4	 134.00	    192.9400	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	R                     	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 22	X	 1	 120.00	    197.9000	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	                    	                           	                                    	                    	                            	                            	                    	                        	R                       	R                 	                  	R                       	                           	                                	R                     	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	R                       	                            	                      	                      	                        	                          	R                	R                  	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 22	X	 2	 133.00	    199.5300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	R                   	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	R                      	                        	                        	R                     	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 22	X	 4	 121.00	    202.4100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	R                      	                                        	                     	                      	                          	                           	                 	                          	R                      	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	R                     	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 22	X	CC	  30.00	    204.7800	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	R                           	                            	                    	R                       	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	R                         	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 23	X	 1	  88.00	    207.1800	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	                    	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	R                      	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	R                     	                      	R                       	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 23	X	 4	  92.00	    211.7200	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	F                   	                           	R                                   	R                   	R                           	                            	                    	R                       	R                       	                  	                  	R                       	F                          	R                               	R                     	R                	R                         	R                                  	                             	                      	R                      	                                        	R                    	R                     	                          	F                          	R                	                          	R                      	R                       	                        	                      	                   	                         	                          	               	                               	                        	                            	R                     	R                     	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 23	X	 6	  91.00	    214.7100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	R                   	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	R                     	                   	                         	                          	               	                               	                        	                            	R                     	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 24	X	 2	  41.00	    217.9100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	R                      	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 24	X	 5	 112.00	    223.1200	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	R                   	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	R                     	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 24	X	CC	   0.00	    225.4100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	R                                   	                    	R                           	                            	                    	                        	R                       	                  	                  	                        	R                          	                                	                      	                 	R                         	                                   	                             	                      	                       	                                        	R                    	                      	R                         	                           	                 	                          	                       	                        	                        	R                     	                   	                         	                          	               	                               	R                       	R                           	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 25	X	 1	  42.00	    226.0200	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	                    	                           	R                                   	                    	R                           	                            	                    	                        	R                       	                  	                  	                        	R                          	                                	R                     	R                	                          	R                                  	                             	                      	                       	                                        	R                    	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 25	X	 2	  41.00	    227.5100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	R                   	                           	R                                   	                    	R                           	                            	                    	                        	                        	R                 	                  	                        	R                          	                                	R                     	R                	R                         	R                                  	R                            	                      	                       	                                        	R                    	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 25	X	 3	   8.00	    228.6800	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	R                   	                           	R                                   	R                   	R                           	                            	R                   	R                       	                        	R                 	                  	                        	R                          	R                               	R                     	R                	R                         	R                                  	                             	                      	                       	                                        	R                    	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 25	X	 4	   8.00	    230.1800	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	R                   	                           	R                                   	                    	R                           	                            	R                   	R                       	R                       	R                 	                  	                        	R                          	R                               	                      	R                	R                         	R                                  	R                            	                      	                       	                                        	R                    	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 25	X	 5	  13.00	    231.7300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	F                	F                   	                           	R                                   	                    	F                           	                            	R                   	F                       	R                       	                  	                  	R                       	R                          	R                               	F                     	F                	R                         	F                                  	                             	                      	                       	                                        	R                    	                      	F                         	                           	R                	                          	R                      	                        	                        	                      	                   	                         	                          	               	                               	                        	R                           	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 25	X	 6	  15.00	    233.2500	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	R                                   	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 26	X	 1	  52.00	    235.7200	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	R                      	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 26	X	 3	  61.00	    238.8100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	C                           	                            	                    	                        	                        	R                 	                  	                        	                           	                                	F                     	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	A                         	                           	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	R                     	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 27	X	 3	  23.00	    248.1300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	C                   	                           	F                                   	R                   	R                           	                            	R                   	R                       	F                       	                  	                  	                        	C                          	R                               	R                     	R                	                          	R                                  	R                            	                      	                       	                                        	R                    	R                     	R                         	F                          	                 	                          	R                      	                        	                        	                      	                   	                         	                          	               	                               	R                       	R                           	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 27	X	CC	  43.00	    252.8300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	R                           	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	R                	                          	                                   	                             	                      	                       	                                        	                     	                      	F                         	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	R                              	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 28	X	CC	  38.00	    263.6200	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	R                           	                            	                    	R                       	                        	                  	                  	                        	R                          	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 29	X	 1	  73.00	    264.9300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	R                                   	                    	                            	                            	                    	                        	R                       	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 29	X	CC	  32.00	    274.0500	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	R                                   	                    	R                           	                            	                    	                        	                        	                  	                  	R                       	                           	                                	R                     	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 30	X	 2	  92.00	    276.3200	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	R                   	                           	                                    	                    	R                           	R                           	                    	R                       	R                       	R                 	R                 	R                       	R                          	R                               	R                     	                 	R                         	                                   	                             	                      	R                      	                                        	R                    	                      	R                         	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	R              	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 30	X	 3	 104.00	    277.9400	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	F                   	                           	F                                   	                    	F                           	F                           	R                   	                        	R                       	R                 	R                 	F                       	F                          	R                               	F                     	R                	R                         	R                                  	                             	                      	F                      	                                        	R                    	                      	                          	                           	R                	                          	F                      	                        	                        	                      	                   	                         	R                         	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 30	X	CC	  34.00	    283.7100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	R                           	                            	                    	                        	                        	                  	                  	R                       	                           	R                               	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	R                         	                           	R                	                          	                       	                        	                        	                      	R                  	R                        	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 31	X	 3	 137.00	    287.8700	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	                    	                        	                        	R                 	                  	                        	                           	                                	                      	R                	                          	R                                  	R                            	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	R                  	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 31	X	CC	  30.00	    293.2800	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	R                           	                            	                    	                        	                        	                  	                  	                        	R                          	                                	                      	                 	R                         	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	R                      	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 32	X	 3	  62.00	    296.8200	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	R                   	                           	R                                   	                    	R                           	                            	                    	                        	                        	                  	                  	                        	                           	                                	R                     	R                	                          	                                   	                             	                      	                       	                                        	R                    	                      	R                         	                           	                 	                          	R                      	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 33	X	 3	 135.00	    307.1500	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	R                   	                           	R                                   	                    	R                           	                            	                    	                        	                        	R                 	                  	                        	                           	                                	R                     	R                	                          	                                   	                             	                      	                       	                                        	R                    	                      	                          	                           	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 33	X	 6	  97.00	    311.2700	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	R                      	                        	                        	R                     	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 34	X	 3	  56.00	    316.0600	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	F                	C                   	                           	R                                   	R                   	R                           	R                           	                    	R                       	R                       	F                 	R                 	R                       	C                          	R                               	F                     	F                	R                         	R                                  	                             	                      	R                      	C                                       	R                    	R                     	R                         	C                          	R                	R                         	R                      	R                       	C                       	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Early Oligocene  	                 	Oli3              	              	151	 908	A	 35	X	 2	  29.00	    321.9900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	                    	                           	                                    	                    	R                           	                            	                    	                        	R                       	                  	                  	                        	R                          	                                	                      	                 	R                         	                                   	                             	                      	                       	                                        	R                    	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

