Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Reticulofenestra hesslandii	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coccolithus pelagicus	Chiasmolithus altus	Sphenolithus moriformis	Discoaster sp.	Chiasmolithus solitus	Zygrhablithus bijugatus	Reticulofenestra samodurovii	Reticulofenestra reticulata	Reticulofenestra bisecta	Calcidiscus leptoporus	Isthmolithus recurvus	Calcidiscus macintyrei	Reticulofenestra daviesii	Helicosphaera sp.	Coccolithus pelagicus floralis	Coccolithus formosus	Discoaster lodoensis	Chiasmolithus oamaruensis	Reticulofenestra perplexa	Reticulofenestra producta	Coccolithus pataecus	Reticulofenestra gelida	Reticulofenestra pseudoumbilica	Pontosphaera sp.	Reticulofenestra cf. producta	Pseudoemiliania lacunosa	Comment
  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 16	H	 2	   2.00	    139.2200	Wei      	Nannofossils                                 	V              	M                 	rR                       	V                          	C                          	                          	C                    	rF                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 16	H	 3	   2.00	    140.7200	Wei      	Nannofossils                                 	V              	M                 	                         	V                          	C                          	                          	C                    	                   	                       	              	                     	                       	                            	                           	                        	R                     	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 16	H	 4	   2.00	    142.2200	Wei      	Nannofossils                                 	V              	M                 	rR                       	V                          	F                          	R                         	V                    	                   	rR                     	              	                     	                       	rR                          	                           	                        	F                     	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 16	H	 5	   2.00	    143.7200	Wei      	Nannofossils                                 	V              	M                 	                         	A                          	                           	                          	V                    	                   	                       	              	                     	                       	                            	                           	                        	F                     	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 16	H	 6	   2.00	    145.2200	Wei      	Nannofossils                                 	V              	M                 	rR                       	C                          	                           	                          	V                    	rR                 	                       	              	                     	                       	rF                          	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 16	H	 7	   2.00	    146.7200	Wei      	Nannofossils                                 	V              	M                 	                         	A                          	                           	                          	A                    	                   	                       	              	                     	                       	                            	                           	                        	F                     	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN1               	CN3           	120	 751	A	 17	H	 1	  22.00	    147.4200	Wei      	Nannofossils                                 	V              	M                 	rR                       	V                          	F                          	C                         	A                    	                   	                       	R             	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN1               	CN3           	120	 751	A	 17	H	 2	   5.00	    148.7500	Wei      	Nannofossils                                 	V              	M                 	                         	V                          	V                          	C                         	V                    	rR                 	                       	R             	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN1               	CN3           	120	 751	A	 17	H	 3	  63.00	    150.8300	Wei      	Nannofossils                                 	V              	M                 	rR                       	A                          	A                          	C                         	A                    	rR                 	rR                     	R             	                     	                       	                            	                           	rR                      	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN1               	CN3           	120	 751	A	 17	H	 4	   5.00	    151.7500	Wei      	Nannofossils                                 	V              	M                 	rR                       	A                          	V                          	C                         	V                    	rR                 	                       	              	                     	                       	rR                          	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN1               	CN3           	120	 751	A	 17	H	 5	   5.00	    153.2500	Wei      	Nannofossils                                 	V              	M                 	                         	A                          	V                          	F                         	V                    	                   	rR                     	R             	                     	                       	                            	                           	rR                      	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN1               	CN3           	120	 751	A	 18	H	 1	  63.00	    157.3300	Wei      	Nannofossils                                 	V              	M                 	rR                       	                           	A                          	                          	V                    	rR                 	rR                     	F             	                     	rR                     	rR                          	rR                         	rR                      	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN1               	CN3           	120	 751	A	 18	H	 2	   5.00	    158.2500	Wei      	Nannofossils                                 	V              	M                 	                         	A                          	A                          	                          	V                    	rR                 	                       	R             	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN1               	CN3           	120	 751	A	 18	H	 3	  63.00	    160.3300	Wei      	Nannofossils                                 	V              	M                 	rR                       	V                          	A                          	F                         	A                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN1               	CN3           	120	 751	A	 18	H	 4	   5.00	    161.2500	Wei      	Nannofossils                                 	V              	M                 	                         	V                          	A                          	F                         	V                    	rR                 	                       	              	rR                   	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN1               	CN3           	120	 751	A	 18	H	 5	  63.00	    163.3300	Wei      	Nannofossils                                 	V              	M                 	rR                       	V                          	A                          	F                         	A                    	                   	rR                     	R             	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN1               	CN3           	120	 751	A	 18	H	 7	  63.00	    166.3300	Wei      	Nannofossils                                 	V              	M                 	rR                       	A                          	C                          	F                         	A                    	rR                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

