Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spirosigmoilinella sp.	Martinottiella communis	Uvigerina pygmaea	Melonis zaandamae	Cibicides spp.	Eponides umbonatus	Cassidulina subglobosa	Epistominella exigua	Cassidulina reniforme	Uvigerina pygmaea langeri	Pullenia bulloides	Cassidulina laevigata	Islandiella spp.	Alabamina spp.	Spirosigmoilinella spp.	Elphidium spp.	Valvulineria spp.	Elphidium excavatum	Cibicides wuellerstorfi	Stensioeina granulata incondita	Bolivinoides draco militaris	Bolivinoides decoratus	Silicosigmoilina spp.	Bulimina marginata	Comment
  SR	                 	                 	A2                	              	104	 642	B	 11	H	 5	  46.00	     91.8600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	9.0%             	              	                  	36.0%                 	27.0%               	7.0%                 	                         	                  	9.0%                 	                	              	                       	              	                 	2.0%               	                       	                               	                            	                      	                     	                  	Other taxa = 10%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	A2                	              	104	 642	B	 11	H	 6	  46.00	     93.3600	Osterman 	Benthic Foraminifers                         	F              	M                 	                      	                       	                 	T                	33.3%         	                  	T                     	                    	                     	                         	T                 	4.8%                 	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Trace unidentified benthic forams; 23% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A2                	              	104	 642	B	 11	H	 7	  46.00	     94.8600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	+                	              	                  	                      	                    	+                    	                         	                  	+                    	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = %; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 11	H	CC	  12.00	     95.2000	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	1.1%                  	65.9%               	                     	                         	                  	7.6%                 	                	              	                       	              	                 	14.1%              	2.8%                   	                               	                            	                      	                     	                  	Other taxa = 8.5%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	A2                	              	104	 642	B	 11	H	CC	  21.00	     95.2900	Osterman 	Benthic Foraminifers                         	R              	M                 	                      	                       	                 	T                	              	                  	T                     	T                   	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Trace unidentified benthic forams; 25% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A2                	              	104	 642	B	 12	H	 1	  67.00	     95.5700	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	+                 	+                     	                    	                     	                         	                  	                     	                	              	                       	              	                 	+                  	+                      	                               	                            	                      	                     	                  	Other taxa = +; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 12	H	 3	  67.00	     98.5700	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	+                   	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = +; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 12	H	 5	  67.00	    101.5700	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	+             	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 12	H	 6	  67.00	    103.0700	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	11.6%            	.8%           	.4%               	13.9%                 	51.7%               	2.3%                 	                         	                  	5.0%                 	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 14.3%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 12	H	 7	  17.00	    104.0700	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	4.0%             	6.0%          	1.0%              	15.0%                 	63.0%               	1.0%                 	                         	                  	5.0%                 	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 5%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	A2                	              	104	 642	B	 12	H	 7	  29.00	    104.1900	Osterman 	Benthic Foraminifers                         	R              	M                 	                      	                       	                 	                 	              	                  	T                     	T                   	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A2                	              	104	 642	B	 13	H	 1	  74.00	    104.9400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	6.1%             	3.2%          	                  	21.2%                 	10.8%               	                     	                         	8.0%              	37.5%                	T               	              	T                      	              	3.0%             	                   	                       	                               	                            	                      	                     	                  	Other taxa = 11.2%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 13	H	 2	  74.00	    106.4400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	4.0%             	10.0%         	1.0%              	28.0%                 	32.0%               	                     	                         	                  	16.0%                	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 9%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 13	H	 3	  74.00	    107.9400	Osterman 	Benthic Foraminifers                         	               	                  	                      	T                      	                 	5.0%             	6.0%          	                  	15.0%                 	71.0%               	                     	                         	2.0%              	5.0%                 	                	              	T                      	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 8%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 13	H	 4	  74.00	    109.4400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	3.0%             	8.0%          	+                 	16.0%                 	36.0%               	15.0%                	                         	                  	18.0%                	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 4%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 13	H	 5	  74.00	    110.9400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	3.8%             	1.8%          	                  	18.5%                 	60.3%               	4.1%                 	                         	                  	3.1%                 	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 8.4%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 13	H	 6	  74.00	    112.4400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	4.0%             	4.0%          	                  	11.0%                 	41.0%               	9.0%                 	                         	                  	18.0%                	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 13%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	B                 	              	104	 642	B	 13	H	CC	  21.00	    113.9400	Osterman 	Benthic Foraminifers                         	R              	M                 	                      	                       	                 	T                	T             	                  	                      	T                   	                     	                         	T                 	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	88% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A2                	              	104	 642	B	 14	H	 1	  79.00	            	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	+                   	+                    	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = +; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	B                 	              	104	 642	B	 15	H	 1	  74.00	    124.2400	Osterman 	Benthic Foraminifers                         	C              	M                 	                      	                       	3.0%             	4.0%             	7.0%          	                  	29.0%                 	34.0%               	3.0%                 	2.0%                     	T                 	                     	                	              	                       	              	3.0%             	                   	                       	                               	                            	                      	                     	                  	12% Unidentified benthic forams;  65% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A2                	              	104	 642	B	 15	H	 2	  74.00	    125.7400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	8.9%             	5.2%             	6.8%          	.3%               	48.2%                 	14.8%               	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 15.5%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	B                 	              	104	 642	B	 15	H	 3	  74.00	    127.2400	Osterman 	Benthic Foraminifers                         	A              	M                 	                      	                       	3.0%             	3.0%             	3.0%          	T                 	15.0%                 	65.0%               	3.0%                 	2.0%                     	3.0%              	                     	                	              	                       	              	2.0%             	                   	                       	                               	                            	                      	                     	                  	9% Unidentified benthic forams;  50% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A2                	              	104	 642	B	 15	H	CC	   7.00	    127.8700	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	1.4%             	3.1%             	.6%           	                  	47.5%                 	35.8%               	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 11.6%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	B                 	              	104	 642	B	 15	H	CC	  13.00	    127.9300	Osterman 	Benthic Foraminifers                         	A              	G                 	                      	                       	                 	                 	              	                  	25.0%                 	69.0%               	                     	                         	T                 	                     	                	              	                       	T             	                 	                   	                       	                               	                            	                      	                     	                  	5% Unidentified benthic forams;  60% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  IR	                 	                 	B                 	              	104	 642	B	 16	H	 1	  69.00	    128.7900	Osterman 	Benthic Foraminifers                         	C              	M                 	                      	                       	2.0%             	4.0%             	3.0%          	T                 	32.0%                 	53.0%               	1.0%                 	                         	3.0%              	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	11% Unidentified benthic forams;  62% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A2                	              	104	 642	B	 16	H	 2	  69.00	    130.2900	Osterman 	Benthic Foraminifers                         	               	                  	                      	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 57%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 16	H	 3	  69.00	    131.7900	Osterman 	Benthic Foraminifers                         	               	                  	                      	T                      	+                	                 	+             	                  	                      	+                   	                     	                         	                  	+                    	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = +; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 16	H	 5	  69.00	    134.0400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	+                	+                	+             	                  	+                     	+                   	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = %; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 16	H	 6	  69.00	    135.5400	Osterman 	Benthic Foraminifers                         	               	                  	                      	4.8%                   	18.2%            	34.9%            	20.0%         	4.4%              	                      	4.1%                	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 18.4%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 16	H	 7	  69.00	    137.0400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	13.0%            	9.0%             	17.0%         	1.0%              	                      	44.0%               	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 16%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 16	H	CC	   8.00	    137.7200	Osterman 	Benthic Foraminifers                         	               	                  	                      	4.6%                   	12.0%            	24.0%            	17.8%         	13.7%             	                      	3.4%                	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 24.5%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	B                 	              	104	 642	B	 16	H	CC	  32.00	    137.9600	Osterman 	Benthic Foraminifers                         	C              	M                 	                      	                       	                 	5.0%             	              	                  	4.0%                  	83.0%               	                     	                         	                  	                     	                	              	T                      	              	                 	                   	                       	                               	                            	                      	                     	                  	7% Unidentified benthic forams;  90% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	B                 	              	104	 642	B	 17	H	 1	  71.00	    138.7100	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	14.0%            	7.0%             	3.0%          	11.0%             	1.0%                  	52.0%               	1.0%                 	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 11%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 17	H	 2	  71.00	    140.2100	Osterman 	Benthic Foraminifers                         	               	                  	                      	8.5%                   	                 	17.8%            	16.3%         	32.6%             	.8%                   	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 24%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 17	H	 3	  71.00	    141.7100	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	7.0%             	6.0%          	11.0%             	1.0%                  	58.0%               	3.0%                 	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 14%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 17	H	 4	  71.00	    143.2100	Osterman 	Benthic Foraminifers                         	               	                  	                      	28.7%                  	                 	9.6%             	              	20.6%             	                      	24.3%               	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 16.8%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 17	H	 5	  71.00	    144.7100	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	1.0%             	4.0%             	14.0%         	32.0%             	2.0%                  	27.0%               	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 20%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 17	H	 6	  71.00	    146.2100	Osterman 	Benthic Foraminifers                         	               	                  	                      	17.7%                  	15.2%            	4.9%             	15.2%         	4.9%              	                      	10.4%               	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 31.7%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 17	H	CC	  13.00	    147.5300	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	34.0%            	5.0%             	9.0%          	5.0%              	1.0%                  	31.0%               	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 15%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	B                 	              	104	 642	B	 17	H	CC	  25.00	    147.6500	Osterman 	Benthic Foraminifers                         	F              	M                 	                      	T                      	                 	10.0%            	8.0%          	                  	                      	12.0%               	                     	29.0%                    	7.0%              	                     	T               	T             	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	30% Unidentified benthic forams;  53% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-130

  SR	                 	                 	B                 	              	104	 642	B	 18	H	 1	  72.00	    148.5200	Osterman 	Benthic Foraminifers                         	               	                  	.7%                   	1.9%                   	6.3%             	18.1%            	23.1%         	1.9%              	1.7%                  	16.1%               	                     	                         	                  	1.7%                 	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 18.5%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 18	H	 2	  72.00	    150.0200	Osterman 	Benthic Foraminifers                         	               	                  	                      	3.0%                   	3.0%             	2.0%             	27.0%         	                  	3.0%                  	43.0%               	2.0%                 	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 17%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 18	H	 3	  72.00	    151.5200	Osterman 	Benthic Foraminifers                         	               	                  	1.0%                  	2.9%                   	2.4%             	4.8%             	24.9%         	                  	1.7%                  	47.5%               	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 14.8%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 18	H	 4	  72.00	    153.0200	Osterman 	Benthic Foraminifers                         	               	                  	1.0%                  	3.0%                   	5.0%             	6.0%             	18.0%         	8.0%              	3.0%                  	33.0%               	6.0%                 	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 17%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 18	H	 5	  82.00	    154.6200	Osterman 	Benthic Foraminifers                         	               	                  	1.5%                  	.6%                    	22.5%            	6.5%             	4.4%          	27.8%             	5.6%                  	8.0%                	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 23.1%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 18	H	 6	  72.00	    156.0200	Osterman 	Benthic Foraminifers                         	               	                  	1.0%                  	3.0%                   	11.0%            	8.0%             	4.0%          	7.0%              	7.0%                  	20.0%               	5.0%                 	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 34%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 18	H	CC	   0.00	    157.3300	Osterman 	Benthic Foraminifers                         	               	                  	.6%                   	2.3%                   	23.0%            	8.1%             	7.3%          	17.7%             	2.9%                  	1.2%                	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 38.9%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	B                 	              	104	 642	B	 18	H	CC	   5.00	    157.3800	Osterman 	Benthic Foraminifers                         	F              	M                 	                      	T                      	                 	T                	T             	                  	                      	T                   	                     	T                        	T                 	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	58% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	B                 	              	104	 642	B	 19	H	 1	  72.00	    158.4200	Osterman 	Benthic Foraminifers                         	               	                  	1.0%                  	1.0%                   	32.0%            	9.0%             	8.0%          	6.0%              	3.0%                  	1.0%                	3.0%                 	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 36%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 19	H	 2	  89.00	    160.0900	Osterman 	Benthic Foraminifers                         	               	                  	1.6%                  	4.3%                   	33.6%            	3.7%             	5.3%          	28.9%             	1.3%                  	.7%                 	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 20.6%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 19	H	 3	  72.00	    161.4200	Osterman 	Benthic Foraminifers                         	               	                  	2.0%                  	6.0%                   	59.0%            	5.0%             	8.0%          	                  	3.0%                  	6.0%                	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 11%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	B                 	              	104	 642	B	 19	H	 4	  72.00	    162.9200	Osterman 	Benthic Foraminifers                         	               	                  	.7%                   	4.0%                   	61.6%            	2.0%             	2.7%          	14.8%             	2.7%                  	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 11.5%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 19	H	 5	  72.00	    164.4200	Osterman 	Benthic Foraminifers                         	               	                  	40.0%                 	40.0%                  	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 20%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 19	H	 6	  72.00	    165.9200	Osterman 	Benthic Foraminifers                         	               	                  	30.3%                 	63.6%                  	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 19	H	CC	   1.00	    167.1600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	C1                	              	104	 642	B	 19	H	CC	   8.00	    167.2300	Osterman 	Benthic Foraminifers                         	R              	P                 	                      	T                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	100% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	C1                	              	104	 642	B	 20	H	 1	  71.00	    168.1100	Osterman 	Benthic Foraminifers                         	               	                  	13.6%                 	86.4%                  	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 20	H	 2	  71.00	    169.6100	Osterman 	Benthic Foraminifers                         	               	                  	                      	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 20	H	 3	  71.00	    171.1100	Osterman 	Benthic Foraminifers                         	               	                  	                      	100.0%                 	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 20	H	 4	  71.00	    172.6100	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 20	H	 5	  71.00	    174.1100	Osterman 	Benthic Foraminifers                         	               	                  	21.6%                 	71.6%                  	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 6.8%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 20	H	 6	  71.00	    175.6100	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 20	H	CC	   9.00	    177.0600	Osterman 	Benthic Foraminifers                         	               	                  	15.1%                 	84.9%                  	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	C1                	              	104	 642	B	 20	H	CC	  20.00	    177.1700	Osterman 	Benthic Foraminifers                         	R              	M                 	                      	100.0%                 	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	100% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	C1                	              	104	 642	B	 21	H	 1	  74.00	    177.8400	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 21	H	 2	  74.00	    179.3400	Osterman 	Benthic Foraminifers                         	               	                  	                      	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = +; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 21	H	 3	  74.00	    180.8400	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 21	H	 4	  74.00	    182.3400	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 21	H	 5	  74.00	    183.8400	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 22	H	 1	  70.00	    187.4000	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 22	H	 2	  70.00	    188.9000	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = +; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 22	H	 3	  70.00	    190.4000	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

