Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Syracosphaera pulchra,Sphenolithus neoabies,Sphenolithus abies,Reticulofenestra spp. small,Reticulofenestra pseudoumbilicus,Reticulofenestra minutula,Reticulofenestra minuta,Pontosphaera japonica,Helicosphaera kamptneri,Gephyrocapsa spp.,Florisphaera profunda,Discoaster variabilis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Dictyococcites productus,Calcidiscus macintyrei,Calcidiscus leptoporus,Scapholithus fossilis,Discoaster quadramus,Coccolithus pelagicus,Rhabdosphaera procera,Angulolithina arca,Helicosphaera inversa,Discoaster challengeri,Ceratolithus rugosus,Pseudoemiliania lacunosa,Discoaster triradiatus,Helicosphaera sellii,Discoaster asymmetricus,Syracosphaera histrica,Discoaster tamalis,Rhabdosphaera clavigera,Ceratolithus cristatus,Helicosphaera wallichii,Pyrocyclus ranginess,Gephyrocapsa caribbeanica,Umbellosphaera irregularis,Gephyrocapsa oceanica,Emiliania huxleyi,Comment
  SR,Early Pliocene   ,                 ,CN11b             ,              ,159, 959,C,  7,H, 3,  80.00,     53.6000,Shin     ,Nannofossils                                 ,               ,                  ,1.6%                   ,                     ,.3%                  ,6.8%              ,.6%                        ,                                ,10.6%                    ,.7%                    ,                     ,                       ,6.2%             ,45.4%                ,                     ,                   ,.8%                     ,.8%                ,                        ,R                     ,1.2%                  ,.2%                  ,                    ,                     ,                     ,                  ,2.8%                 ,R                     ,                    ,.7%                     ,R                     ,                    ,.2%                    ,.4%                   ,R                 ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11b             ,              ,159, 959,C,  7,H, 4,  80.00,     55.1000,Shin     ,Nannofossils                                 ,               ,                  ,.1%                    ,                     ,2.2%                 ,4.2%              ,1.2%                       ,.6%                             ,7.2%                     ,9.6%                   ,.2%                  ,.2%                    ,12.7%            ,55.2%                ,                     ,                   ,.4%                     ,R                  ,                        ,.2%                   ,R                     ,                     ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,3.2%                    ,                      ,                    ,R                      ,                      ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11b             ,              ,159, 959,C,  7,H, 5,  80.00,     56.6000,Shin     ,Nannofossils                                 ,               ,                  ,1.2%                   ,                     ,1.6%                 ,4.4%              ,3.2%                       ,.6%                             ,13.8%                    ,7.6%                   ,.4%                  ,1.6%                   ,.2%              ,52.4%                ,                     ,                   ,1.2%                    ,R                  ,                        ,.1%                   ,.1%                   ,R                    ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,7.4%                    ,                      ,                    ,                       ,.4%                   ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11b             ,              ,159, 959,C,  7,H, 6,  80.00,     58.1000,Shin     ,Nannofossils                                 ,               ,                  ,.8%                    ,                     ,6.4%                 ,3.2%              ,6.2%                       ,R                               ,.4%                      ,15.4%                  ,.2%                  ,3.4%                   ,1.4%             ,49.6%                ,                     ,                   ,.1%                     ,.6%                ,                        ,.8%                   ,1.2%                  ,R                    ,                    ,                     ,                     ,                  ,                     ,                      ,.2%                 ,5.2%                    ,                      ,R                   ,.2%                    ,                      ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11b             ,              ,159, 959,C,  8,H, 1,  80.00,     60.1000,Shin     ,Nannofossils                                 ,               ,                  ,.6%                    ,.2%                  ,3.6%                 ,4.8%              ,11.2%                      ,R                               ,7.2%                     ,14.8%                  ,R                    ,4.2%                   ,.6%              ,50.1%                ,                     ,                   ,.8%                     ,R                  ,                        ,.4%                   ,1.4%                  ,                     ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,R                       ,R                     ,                    ,                       ,                      ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,159, 959,C,  8,H, 2,  80.00,     61.6000,Shin     ,Nannofossils                                 ,               ,                  ,.6%                    ,                     ,5.2%                 ,3.6%              ,.3%                        ,.2%                             ,.8%                      ,5.4%                   ,                     ,.3%                    ,.6%              ,.4%                  ,                     ,R                  ,1.4%                    ,.2%                ,                        ,.2%                   ,1.4%                  ,                     ,                    ,                     ,                     ,                  ,                     ,                      ,.2%                 ,                        ,                      ,                    ,                       ,                      ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,159, 959,C,  8,H, 3,  80.00,     63.1000,Shin     ,Nannofossils                                 ,               ,                  ,.8%                    ,                     ,1.8%                 ,2.2%              ,25.3%                      ,.8%                             ,6.5%                     ,14.6%                  ,                     ,                       ,.4%              ,40.4%                ,R                    ,.4%                ,2.4%                    ,.6%                ,                        ,.6%                   ,1.1%                  ,                     ,                    ,                     ,.2%                  ,                  ,2.2%                 ,R                     ,                    ,                        ,                      ,                    ,                       ,                      ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,159, 959,C,  8,H, 4,  80.00,     64.6000,Shin     ,Nannofossils                                 ,               ,                  ,.8%                    ,.2%                  ,5.9%                 ,1.2%              ,21.8%                      ,1.6%                            ,16.3%                    ,6.5%                   ,1.2%                 ,5.3%                   ,.4%              ,32.8%                ,                     ,R                  ,2.4%                    ,.8%                ,                        ,1.2%                  ,1.4%                  ,                     ,                    ,.2%                  ,.2%                  ,.2%               ,                     ,                      ,                    ,                        ,                      ,                    ,                       ,                      ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,159, 959,C,  8,H, 5,  80.00,     66.1000,Shin     ,Nannofossils                                 ,               ,                  ,R                      ,R                    ,5.2%                 ,.2%               ,1.9%                       ,.4%                             ,20.4%                    ,.1%                    ,.2%                  ,.3%                    ,1.4%             ,.3%                  ,                     ,R                  ,2.2%                    ,.4%                ,.8%                     ,.4%                   ,1.2%                  ,.2%                  ,R                   ,R                    ,                     ,                  ,                     ,                      ,                    ,                        ,                      ,                    ,                       ,                      ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,159, 959,C,  8,H, 6,  80.00,     67.6000,Shin     ,Nannofossils                                 ,               ,                  ,.2%                    ,R                    ,3.8%                 ,1.4%              ,25.7%                      ,1.6%                            ,22.3%                    ,8.6%                   ,R                    ,6.0%                   ,.8%              ,23.5%                ,R                    ,R                  ,3.6%                    ,.4%                ,.2%                     ,1.0%                  ,1.2%                  ,                     ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,                        ,                      ,                    ,                       ,                      ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
