Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitellinata angustiumbilicata,Paragloborotalia pseudokugleri,Paragloborotalia nana,Paragloborotalia mayeri,Paragloborotalia kugleri,Neogloboquadrina continuosa,Globorotaloides suteri,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinita uvula,Globigerinita glutinata,Globigerina woodi,Globigerina sellii,Catapsydrax unicavus,Catapsydrax dissimilis,Cassigerinella chipolensis,Streptochilus spp.,Tenuitella munda,Globigerina tripartita,Globigerina praebulloides,Globigerina euapertura,Globoquadrina dehiscens,Globoquadrina cf. G. extans,Globigerinoides trilobus,Globigerinoides primordius,Globigerinella obesa,Globigerina connecta,Dentoglobigerina altispira,Tenuitella clemenciae,Globorotalia peripheroronda,Globorotalia birnageae,Globigerinoides parawoodi,Globigerinoides altiapertura,Globigerinoides subquadratus,Globoquadrina binaiensis,Globigerinoides sacculifer,Globigerinoides obliquus,Globigerina quinqueloba,Globorotalia praescitula,Catapsydrax parvulus,Turborotalita humilis,Sphaeroidinella disjuncta,Globigerinatella insueta,Globigerina druryi,Globigerinoides diminutus,Globigerinoides sicana/bisphericus,Praeorbulina sicana,Globorotaloides hexagona,Globigerina bulloides,Globorotalia cf. Gr. zealandica,Globorotalia cf. Gr. miozea,Globorotalia archeomenardii,Globigerinoides bollii,Globorotalia praemenardii,Sphaeroidinellopsis seminulina,Globorotalia peripheroacuta,Globorotaloides variabilis,Orbulina universa,Globorotalia praefohsi,Orbulina suturalis,Globorotalia lenguaensis,Globorotalia fohsi fohsi,Sphaeroidinellopsis kochi,Globorotalia menardii,Globorotalia scitula,Globigerina decoraperta,Globorotalia challengeri,Globigerinoides bulloideus,Globigerina nepenthes,Globigerina apertura,Globigerinella aequilateralis,Neogloboquadrina acostaensis,Globorotalia merotumida,Neogloboquadrina humerosa,Sphaeroidinellopsis paenedehiscens,Globorotalia limbata,Globigerinoides ruber,Globigerinoides extremus,Globorotalia juanai,Candeina nitida,Globorotalia cibaoensis,Globorotalia plesiotumida,Neogloboquadrina dutertrei,Globorotalia pseudomiocenica,Globorotalia pertenuis,Globorotalia anfracta,Globorotalia multicamerata,Pulleniatina primalis,Globigerinoides conglobatus,Globorotalia crassula,Globoquadrina conglomerata,Pulleniatina praespectabilis,Globorotalia tumida,Globorotalia margaritae,Beella praedigitata,Globorotalia inflata,Pulleniatina spectabilis,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Globorotalia ungulata,Globigerinella calida,Globorotalia crassaformis,Globigerinoides fistulosus,Globigerina rubescens,Globorotalia tosaensis,Globorotalia truncatulinoides,Beella digitata,Globorotalia bermudezi,Globigerinoides tenellus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,130, 806,B, 20,H,CC,  13.00,    187.4400,Chaisson ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,F                        ,R                           ,                   ,R                      ,R                ,                  ,                    ,                      ,                          ,F                 ,                ,                      ,                         ,                      ,                       ,                           ,R                       ,                          ,                    ,                    ,C                         ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,C                         ,F                       ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,F                             ,                           ,                          ,F                ,                      ,R                 ,R                       ,                        ,R                        ,C                    ,                    ,R                      ,                        ,                          ,                     ,C                   ,R                            ,F                           ,                       ,R                        ,R                                 ,                    ,                     ,R                       ,                   ,R              ,R                      ,R                        ,F                         ,R                           ,?                     ,                     ,                          ,F                    ,?                          ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,130, 806,B, 21,H, 2,  30.00,    188.8000,Chaisson ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,F                        ,                            ,                   ,C                      ,R                ,                  ,                    ,                      ,                          ,C                 ,                ,                      ,                         ,                      ,                       ,                           ,R                       ,                          ,R                   ,                    ,F                         ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,F                         ,R                       ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,R                ,                      ,                  ,R                       ,                        ,                         ,R                    ,                    ,                       ,                        ,                          ,R                    ,C                   ,R                            ,R                           ,                       ,R                        ,                                  ,                    ,                     ,R                       ,                   ,R              ,R                      ,                         ,R                         ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 806,B, 21,H, 2,  44.00,    188.9400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,                       ,                 ,                  ,                    ,                      ,                          ,369               ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,                          ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,                     ,                    ,                       ,                        ,                          ,                     ,                    ,                             ,                            ,                       ,                         ,                                  ,                    ,                     ,                        ,                   ,               ,                       ,                         ,                          ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,Total count = 1621.from 130SR.Chapter 12.Table 1.pages 236-237.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 806,B, 21,H, 4,  44.00,    191.9400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,                       ,                 ,                  ,                    ,                      ,                          ,175               ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,                          ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,                     ,                    ,                       ,                        ,                          ,                     ,                    ,                             ,                            ,                       ,                         ,                                  ,                    ,                     ,                        ,                   ,               ,                       ,                         ,                          ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,Total count = 676.from 130SR.Chapter 12.Table 1.pages 236-237.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,130, 806,B, 21,H, 5,  30.00,    193.3000,Chaisson ,Planktonic Foraminifers                      ,               ,G                 ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,R                        ,                            ,                   ,C                      ,R                ,                  ,                    ,                      ,                          ,C                 ,                ,                      ,                         ,                      ,                       ,                           ,R                       ,                          ,                    ,                    ,C                         ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,C                         ,F                       ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,R                    ,                               ,                           ,                           ,                      ,                         ,F                             ,                           ,                          ,F                ,                      ,R                 ,                        ,                        ,                         ,C                    ,R                   ,R                      ,                        ,                          ,R                    ,C                   ,R                            ,R                           ,                       ,                         ,R                                 ,R                   ,                     ,R                       ,R                  ,               ,R                      ,                         ,                          ,                            ,                      ,                     ,                          ,C                    ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,130, 806,B, 21,H,CC,  10.00,    196.8700,Chaisson ,Planktonic Foraminifers                      ,               ,G                 ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,F                        ,                            ,                   ,F                      ,R                ,                  ,                    ,                      ,                          ,C                 ,                ,                      ,                         ,                      ,                       ,                           ,R                       ,                          ,                    ,                    ,R                         ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,F                         ,F                       ,                       ,                        ,                    ,R                    ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,R                             ,                           ,                          ,F                ,                      ,R                 ,R                       ,                        ,                         ,F                    ,                    ,R                      ,                        ,                          ,R                    ,C                   ,R                            ,                            ,R                      ,                         ,R                                 ,R                   ,                     ,R                       ,R                  ,R              ,                       ,R                        ,R                         ,R                           ,R                     ,                     ,                          ,F                    ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,130, 806,B, 22,H, 2,  30.00,    198.3000,Chaisson ,Planktonic Foraminifers                      ,               ,G                 ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,R                        ,                            ,                   ,C                      ,F                ,                  ,                    ,                      ,                          ,C                 ,                ,                      ,                         ,                      ,R                      ,                           ,R                       ,                          ,                    ,                    ,C                         ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,C                         ,F                       ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,R                    ,                               ,                           ,                           ,                      ,                         ,R                             ,                           ,                          ,R                ,                      ,R                 ,R                       ,                        ,                         ,C                    ,                    ,R                      ,                        ,                          ,R                    ,F                   ,R                            ,                            ,                       ,                         ,R                                 ,R                   ,                     ,R                       ,                   ,R              ,                       ,                         ,                          ,R                           ,R                     ,                     ,                          ,F                    ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 806,B, 22,H, 2,  44.00,    198.4400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,                       ,                 ,                  ,                    ,                      ,                          ,388               ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,                          ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,                     ,                    ,                       ,                        ,                          ,                     ,                    ,                             ,                            ,                       ,                         ,                                  ,                    ,                     ,                        ,                   ,               ,                       ,                         ,                          ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,Total count = 942.from 130SR.Chapter 12.Table 1.pages 236-237.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 806,B, 22,H, 4,  44.00,    201.4400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,                       ,                 ,                  ,                    ,                      ,                          ,30                ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,                          ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,                     ,                    ,                       ,                        ,                          ,                     ,                    ,                             ,                            ,                       ,                         ,                                  ,                    ,                     ,                        ,                   ,               ,                       ,                         ,                          ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,Total count = 671.from 130SR.Chapter 12.Table 1.pages 236-237.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,130, 806,B, 22,H, 5,  30.00,    202.8000,Chaisson ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,R                        ,                            ,                   ,C                      ,R                ,                  ,                    ,                      ,                          ,C                 ,                ,                      ,                         ,                      ,R                      ,                           ,R                       ,                          ,                    ,                    ,C                         ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,F                         ,F                       ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,R                             ,                           ,                          ,R                ,                      ,                  ,R                       ,                        ,                         ,F                    ,                    ,R                      ,                        ,                          ,R                    ,C                   ,R                            ,C                           ,R                      ,R                        ,R                                 ,                    ,                     ,R                       ,                   ,               ,                       ,F                        ,                          ,R                           ,R                     ,                     ,                          ,R                    ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,130, 806,B, 22,H,CC,  20.00,    206.3800,Chaisson ,Planktonic Foraminifers                      ,               ,G                 ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,R                        ,                            ,                   ,C                      ,R                ,                  ,                    ,                      ,                          ,C                 ,                ,                      ,                         ,                      ,                       ,                           ,R                       ,                          ,                    ,                    ,C                         ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,F                         ,R                       ,                       ,                        ,                    ,F                    ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,R                             ,                           ,                          ,R                ,                      ,                  ,R                       ,                        ,                         ,R                    ,R                   ,R                      ,                        ,                          ,                     ,C                   ,R                            ,C                           ,                       ,R                        ,                                  ,                    ,                     ,R                       ,                   ,               ,R                      ,                         ,R                         ,                            ,                      ,                     ,                          ,R                    ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,130, 806,B, 23,H, 2,  30.00,    207.8000,Chaisson ,Planktonic Foraminifers                      ,               ,G                 ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,R                        ,R                           ,                   ,F                      ,R                ,                  ,                    ,                      ,                          ,C                 ,                ,                      ,                         ,                      ,R                      ,                           ,R                       ,                          ,R                   ,                    ,F                         ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,C                         ,R                       ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,R                    ,                               ,                           ,                           ,                      ,                         ,R                             ,                           ,R                         ,R                ,                      ,                  ,F                       ,                        ,                         ,C                    ,R                   ,R                      ,                        ,                          ,                     ,F                   ,R                            ,C                           ,R                      ,R                        ,R                                 ,R                   ,                     ,R                       ,                   ,               ,R                      ,R                        ,R                         ,R                           ,                      ,                     ,                          ,?                    ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 806,B, 23,H, 3,  45.00,    209.4500,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,                       ,                 ,                  ,                    ,                      ,                          ,194               ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,                          ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,                     ,                    ,                       ,                        ,                          ,                     ,                    ,                             ,                            ,                       ,                         ,                                  ,                    ,                     ,                        ,                   ,               ,                       ,                         ,                          ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,Total count = 975.from 130SR.Chapter 12.Table 1.pages 236-237.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,130, 806,B, 23,H, 5,  30.00,    212.3000,Chaisson ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,R                        ,R                           ,                   ,F                      ,R                ,                  ,                    ,                      ,                          ,F                 ,                ,                      ,                         ,                      ,R                      ,                           ,R                       ,                          ,                    ,                    ,C                         ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,C                         ,R                       ,                       ,                        ,                    ,R                    ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,R                    ,                               ,                           ,                           ,                      ,                         ,R                             ,                           ,                          ,R                ,                      ,                  ,F                       ,                        ,                         ,F                    ,R                   ,                       ,                        ,                          ,R                    ,F                   ,R                            ,C                           ,R                      ,R                        ,R                                 ,                    ,                     ,R                       ,R                  ,R              ,R                      ,F                        ,                          ,R                           ,                      ,                     ,R                         ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,130, 806,B, 23,H,CC,  15.00,    215.9500,Chaisson ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,F                        ,?                           ,R                  ,F                      ,F                ,                  ,                    ,                      ,                          ,C                 ,                ,                      ,                         ,                      ,R                      ,                           ,R                       ,                          ,                    ,                    ,C                         ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,F                         ,R                       ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,R                       ,R                    ,                               ,                           ,                           ,                      ,                         ,R                             ,                           ,R                         ,R                ,                      ,                  ,R                       ,                        ,R                        ,C                    ,R                   ,R                      ,                        ,                          ,?                    ,C                   ,R                            ,C                           ,R                      ,R                        ,R                                 ,                    ,                     ,R                       ,                   ,               ,R                      ,F                        ,                          ,R                           ,R                     ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
